stream,tag,value,n,loser_share_pct,trade_share_pct,lift,WR_inside,PF_inside,expR_inside,WR_outside,PF_outside,expR_outside,n_losers_inside
unfiltered_705,after_first_loss,no,28,4.2,4.0,1.062,39.3,0.873,-0.069,43.0,1.255,0.113,17
unfiltered_705,month,6,56,7.7,7.9,0.968,44.6,1.172,0.081,42.7,1.243,0.108,31
unfiltered_705,month,7,55,6.7,7.8,0.859,50.9,1.786,0.281,42.2,1.2,0.091,27
unfiltered_705,month,8,64,9.4,9.1,1.039,40.6,1.154,0.071,43.1,1.246,0.109,38
unfiltered_705,month,9,68,7.9,9.6,0.823,52.9,1.839,0.316,41.8,1.184,0.083,32
unfiltered_705,month,10,58,9.9,8.2,1.206,31.0,0.695,-0.176,43.9,1.302,0.131,40
unfiltered_705,month,11,46,6.7,6.5,1.027,41.3,1.003,0.002,42.9,1.254,0.113,27
unfiltered_705,month,12,62,8.4,8.8,0.959,45.2,1.358,0.149,42.6,1.226,0.102,34
unfiltered_705,month,1,58,9.7,8.2,1.176,32.8,0.794,-0.112,43.7,1.286,0.125,39
unfiltered_705,month,2,55,7.9,7.8,1.018,41.8,1.433,0.163,42.9,1.223,0.101,32
unfiltered_705,month,3,63,8.4,8.9,0.944,46.0,1.462,0.206,42.5,1.215,0.096,34
unfiltered_705,month,4,55,7.2,7.8,0.922,47.3,1.454,0.206,42.5,1.218,0.097,29
unfiltered_705,month,5,65,9.9,9.2,1.077,38.5,1.099,0.042,43.3,1.25,0.112,40
unfiltered_705,year,2021,80,11.4,11.3,1.006,42.5,1.406,0.163,42.9,1.218,0.099,46
unfiltered_705,year,2022,133,19.6,18.9,1.039,40.6,1.077,0.036,43.4,1.277,0.122,79
unfiltered_705,year,2023,150,20.6,21.3,0.968,44.7,1.206,0.096,42.3,1.246,0.109,83
unfiltered_705,year,2024,132,20.8,18.7,1.113,36.4,0.956,-0.023,44.3,1.313,0.135,84
unfiltered_705,year,2025,142,18.4,20.1,0.912,47.9,1.669,0.249,41.6,1.15,0.07,74
unfiltered_705,year,2026,68,9.2,9.6,0.952,45.6,1.324,0.146,42.5,1.228,0.102,37
kept_583,time_pocket,30-60m(10:00-10:30),177,25.2,30.4,0.831,54.2,1.97,0.337,40.9,1.159,0.073,81
kept_583,time_pocket,0-30m(09:30-10:00),239,43.6,41.0,1.064,41.4,1.273,0.121,47.4,1.426,0.176,140
kept_583,time_pocket,60-90m(10:30-11:00),82,16.5,14.1,1.174,35.4,0.928,-0.036,46.5,1.446,0.184,53
kept_583,time_pocket,120-150m(11:30-12:00),15,2.8,2.6,1.09,40.0,1.2,0.077,45.1,1.364,0.155,9
kept_583,time_pocket,90-120m(11:00-11:30),53,9.3,9.1,1.028,43.4,0.978,-0.011,45.1,1.406,0.169,30
kept_583,time_pocket,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,time_pocket,150m+(12:00+),1,0.0,0.2,0.0,100.0,,1.5,44.8,1.355,0.151,0
kept_583,direction,short,314,52.6,53.9,0.978,46.2,1.456,0.181,43.5,1.264,0.121,169
kept_583,direction,long,269,47.4,46.1,1.026,43.5,1.264,0.121,46.2,1.456,0.181,152
kept_583,stop_bucket,0-30,182,34.0,31.2,1.088,40.1,1.273,0.126,47.1,1.406,0.165,109
kept_583,stop_bucket,30-45,138,25.2,23.7,1.066,41.3,1.213,0.101,46.1,1.414,0.169,81
kept_583,stop_bucket,60-75,70,11.2,12.0,0.934,48.6,1.516,0.219,44.4,1.339,0.144,36
kept_583,stop_bucket,75-90,44,5.6,7.5,0.743,59.1,2.097,0.342,43.8,1.317,0.138,18
kept_583,stop_bucket,45-60,81,15.6,13.9,1.121,38.3,1.043,0.019,46.0,1.414,0.175,50
