key,achievable,missing,fill_instant,exit_instant,hold_time_min,first_surface_poll,first_tail3_poll,staleness_min,freshness_passed,pushed_out_of_tail3,direction,backtest_R,r_1mtruth,win
2021-08-26T10:35:00-04:00,True,False,2021-08-26 10:35:00-04:00,2021-08-26 12:10:00-04:00,95.0,2021-08-26 10:35:00-04:00,2021-08-26 10:35:00-04:00,0.0,True,False,short,-0.01,,False
2021-09-02T10:25:00-04:00,False,True,2021-09-02 10:25:00-04:00,2021-09-02 13:45:00-04:00,200.0,2021-09-02 11:05:00-04:00,2021-09-02 11:05:00-04:00,40.0,False,False,short,1.492,,True
2021-09-03T10:35:00-04:00,True,False,2021-09-03 10:35:00-04:00,2021-09-03 14:30:00-04:00,235.0,2021-09-03 10:35:00-04:00,2021-09-03 10:35:00-04:00,0.0,True,False,long,1.065,,True
2021-09-10T10:25:00-04:00,False,True,2021-09-10 10:25:00-04:00,2021-09-10 11:25:00-04:00,60.0,2021-09-10 11:05:00-04:00,2021-09-10 11:05:00-04:00,40.0,False,False,short,1.495,,True
2021-09-15T09:50:00-04:00,False,True,2021-09-15 09:50:00-04:00,2021-09-15 12:55:00-04:00,185.0,2021-09-15 10:35:00-04:00,2021-09-15 10:35:00-04:00,45.0,False,False,short,-1.01,,False
2021-09-21T10:00:00-04:00,True,False,2021-09-21 10:00:00-04:00,2021-09-21 10:05:00-04:00,5.0,2021-09-21 10:00:00-04:00,2021-09-21 10:00:00-04:00,0.0,True,False,long,-1.022,,False
2021-09-22T09:55:00-04:00,True,False,2021-09-22 09:55:00-04:00,2021-09-22 09:55:00-04:00,0.0,2021-09-22 09:55:00-04:00,2021-09-22 09:55:00-04:00,0.0,True,False,short,-1.036,,False
2021-09-22T10:10:00-04:00,True,False,2021-09-22 10:10:00-04:00,2021-09-22 14:05:00-04:00,235.0,2021-09-22 10:10:00-04:00,2021-09-22 10:10:00-04:00,0.0,True,False,long,1.155,,True
2021-09-23T11:05:00-04:00,True,False,2021-09-23 11:05:00-04:00,2021-09-23 11:20:00-04:00,15.0,2021-09-23 11:05:00-04:00,2021-09-23 11:05:00-04:00,0.0,True,False,long,-0.023,,False
2021-09-24T09:45:00-04:00,True,False,2021-09-24 09:45:00-04:00,2021-09-24 09:55:00-04:00,10.0,2021-09-24 09:45:00-04:00,2021-09-24 09:45:00-04:00,0.0,True,False,long,1.488,,True
2021-09-24T10:30:00-04:00,True,False,2021-09-24 10:30:00-04:00,2021-09-24 12:20:00-04:00,110.0,2021-09-24 10:30:00-04:00,2021-09-24 10:30:00-04:00,0.0,True,False,long,1.492,,True
2021-09-27T11:05:00-04:00,True,False,2021-09-27 11:05:00-04:00,2021-09-27 11:40:00-04:00,35.0,2021-09-27 11:05:00-04:00,2021-09-27 11:05:00-04:00,0.0,True,False,long,-1.016,,False
2021-09-29T10:30:00-04:00,True,False,2021-09-29 10:30:00-04:00,2021-09-29 10:30:00-04:00,0.0,2021-09-29 10:30:00-04:00,2021-09-29 10:30:00-04:00,0.0,True,False,long,1.489,,True
2021-09-30T09:40:00-04:00,True,False,2021-09-30 09:40:00-04:00,2021-09-30 10:55:00-04:00,75.0,2021-09-30 09:40:00-04:00,2021-09-30 09:40:00-04:00,0.0,True,False,long,-0.01,,False
2021-10-01T09:50:00-04:00,False,True,2021-10-01 09:50:00-04:00,2021-10-01 13:45:00-04:00,235.0,2021-10-01 10:35:00-04:00,2021-10-01 10:35:00-04:00,45.0,False,False,short,-0.005,,False
2021-10-06T09:55:00-04:00,True,False,2021-10-06 09:55:00-04:00,2021-10-06 10:00:00-04:00,5.0,2021-10-06 09:55:00-04:00,2021-10-06 09:55:00-04:00,0.0,True,False,long,-1.023,,False
2021-10-08T09:40:00-04:00,True,False,2021-10-08 09:40:00-04:00,2021-10-08 09:55:00-04:00,15.0,2021-10-08 09:40:00-04:00,2021-10-08 09:40:00-04:00,0.0,True,False,short,1.494,,True
2021-10-12T09:50:00-04:00,True,False,2021-10-12 09:50:00-04:00,2021-10-12 13:45:00-04:00,235.0,2021-10-12 09:50:00-04:00,2021-10-12 09:50:00-04:00,0.0,True,False,short,0.957,,True
2021-10-15T09:55:00-04:00,True,False,2021-10-15 09:55:00-04:00,2021-10-15 10:00:00-04:00,5.0,2021-10-15 09:55:00-04:00,2021-10-15 09:55:00-04:00,0.0,True,False,short,1.487,,True
2021-10-20T10:20:00-04:00,True,False,2021-10-20 10:20:00-04:00,2021-10-20 10:20:00-04:00,0.0,2021-10-20 10:20:00-04:00,2021-10-20 10:20:00-04:00,0.0,True,False,short,-1.199,,False
2021-10-22T10:45:00-04:00,True,False,2021-10-22 10:45:00-04:00,2021-10-22 11:10:00-04:00,25.0,2021-10-22 10:45:00-04:00,2021-10-22 10:45:00-04:00,0.0,True,False,long,-1.035,,False
2021-10-25T10:00:00-04:00,True,False,2021-10-25 10:00:00-04:00,2021-10-25 11:50:00-04:00,110.0,2021-10-25 10:00:00-04:00,2021-10-25 10:00:00-04:00,0.0,True,False,short,-1.019,,False
2021-11-01T09:50:00-04:00,False,True,2021-11-01 09:50:00-04:00,2021-11-01 13:00:00-04:00,190.0,2021-11-01 10:35:00-04:00,2021-11-01 10:35:00-04:00,45.0,False,False,short,-0.01,,False
2021-11-03T09:50:00-04:00,True,False,2021-11-03 09:50:00-04:00,2021-11-03 10:00:00-04:00,10.0,2021-11-03 09:50:00-04:00,2021-11-03 09:50:00-04:00,0.0,True,False,short,1.488,,True
2021-11-08T10:05:00-05:00,False,True,2021-11-08 10:05:00-05:00,2021-11-08 11:25:00-05:00,80.0,2021-11-08 10:50:00-05:00,2021-11-08 10:50:00-05:00,45.0,False,False,short,-0.016,,False
