label,n_trades,wr_pct,pf_pts,pf_R,exp_R,total_R,total_pts,maxdd_R,maxdd_pts,best_trade_pts,worst_trade_pts,section,avg_stop_pts,median_stop_pts,avg_hold_min,median_hold_min,trading_days_spanned,vpc_fire_days,trades_per_week,vpc_days_a_sleeps_vs_honest583,vpc_days_a_sleeps_vs_honest583_pct,vpc_days_a_sleeps_vs_unfiltered705,vpc_days_a_sleeps_vs_unfiltered705_pct,side,year,year_month,entry_hour_et
2024-05,7.0,28.6,0.379,0.446,-0.2934,-2.05,-162.18,-3.362,-208.7,98.0,-65.44,by_month,,,,,,,,,,,,,,2024-05,
2024-06,6.0,66.7,0.633,1.103,0.0337,0.2,-65.12,-1.646,-155.6,81.5,-99.37,by_month,,,,,,,,,,,,,,2024-06,
2024-07,10.0,50.0,5.094,4.631,1.1183,11.18,910.8,-2.068,-157.4,429.75,-79.01,by_month,,,,,,,,,,,,,,2024-07,
2024-08,8.0,50.0,2.662,3.156,0.6292,5.03,455.35,-1.006,-133.8,375.25,-133.83,by_month,,,,,,,,,,,,,,2024-08,
2024-09,9.0,33.3,0.287,0.231,-0.4577,-4.12,-338.82,-4.815,-390.7,59.95,-113.25,by_month,,,,,,,,,,,,,,2024-09,
2024-10,6.0,33.3,0.48,0.558,-0.1679,-1.01,-113.6,-1.911,-167.9,71.25,-86.87,by_month,,,,,,,,,,,,,,2024-10,
2024-11,5.0,60.0,1.764,3.171,0.3835,1.92,132.71,-0.831,-167.3,132.0,-167.34,by_month,,,,,,,,,,,,,,2024-11,
2024-12,10.0,70.0,3.68,2.87,0.5126,5.13,702.32,-1.827,-157.5,370.48,-157.48,by_month,,,,,,,,,,,,,,2024-12,
2025-01,5.0,40.0,0.334,0.243,-0.3416,-1.71,-173.96,-2.178,-251.6,77.59,-105.73,by_month,,,,,,,,,,,,,,2025-01,
2025-02,8.0,37.5,2.178,2.594,0.3824,3.06,262.73,-0.424,-80.9,226.0,-80.91,by_month,,,,,,,,,,,,,,2025-02,
2025-03,5.0,60.0,2.547,3.726,0.6245,3.12,332.84,-1.145,-215.2,269.25,-179.23,by_month,,,,,,,,,,,,,,2025-03,
2025-04,9.0,44.4,0.703,0.659,-0.158,-1.42,-242.62,-3.47,-561.5,256.12,-223.07,by_month,,,,,,,,,,,,,,2025-04,
2025-05,4.0,25.0,0.408,0.253,-0.3369,-1.35,-90.3,-1.805,-152.5,62.18,-86.18,by_month,,,,,,,,,,,,,,2025-05,
2025-06,9.0,33.3,0.53,0.751,-0.1051,-0.95,-161.22,-3.804,-343.2,92.0,-108.74,by_month,,,,,,,,,,,,,,2025-06,
2025-07,8.0,37.5,0.549,0.643,-0.1359,-1.09,-105.01,-2.01,-151.9,103.0,-89.64,by_month,,,,,,,,,,,,,,2025-07,
2025-08,3.0,33.3,2.391,2.032,0.2831,0.85,117.82,-0.823,-84.7,202.5,-45.52,by_month,,,,,,,,,,,,,,2025-08,
2025-09,11.0,36.4,0.783,1.372,0.1567,1.72,-110.18,-1.51,-170.4,134.5,-148.56,by_month,,,,,,,,,,,,,,2025-09,
2025-10,10.0,80.0,13.298,9.894,1.0559,10.56,1203.38,-1.01,-78.8,625.75,-78.83,by_month,,,,,,,,,,,,,,2025-10,
2025-11,7.0,42.9,0.625,0.849,-0.0441,-0.31,-179.46,-1.457,-408.8,138.62,-291.64,by_month,,,,,,,,,,,,,,2025-11,
2025-12,7.0,71.4,7.668,4.772,0.5806,4.06,639.18,-0.882,-82.2,419.75,-82.21,by_month,,,,,,,,,,,,,,2025-12,
2026-01,5.0,40.0,0.379,0.645,-0.1469,-0.73,-162.25,-1.06,-174.2,71.54,-127.07,by_month,,,,,,,,,,,,,,2026-01,
2026-02,7.0,57.1,0.647,0.918,-0.0233,-0.16,-139.65,-1.983,-396.0,122.98,-226.15,by_month,,,,,,,,,,,,,,2026-02,
2026-03,9.0,55.6,1.261,1.758,0.2377,2.14,147.34,-2.007,-406.0,238.0,-217.0,by_month,,,,,,,,,,,,,,2026-03,
2026-04,8.0,50.0,2.668,3.274,0.6668,5.33,425.13,-1.266,-117.3,265.0,-109.01,by_month,,,,,,,,,,,,,,2026-04,
2026-05,15.0,46.7,0.713,0.538,-0.2097,-3.15,-256.82,-3.897,-479.7,234.5,-187.66,by_month,,,,,,,,,,,,,,2026-05,
2026-06,7.0,42.9,2.714,2.124,0.4088,2.86,984.99,-1.329,-372.2,808.25,-372.22,by_month,,,,,,,,,,,,,,2026-06,
10:00,339.0,45.1,1.262,1.306,0.1105,37.45,3638.39,-12.645,-1045.8,808.25,-372.22,by_hour,,,,,,,,,,,,,,,10.0
11:00,44.0,43.2,1.949,1.916,0.3649,16.06,1485.56,-5.329,-466.4,625.75,-190.3,by_hour,,,,,,,,,,,,,,,11.0
12:00,6.0,66.7,1.405,3.033,0.6832,4.1,93.35,-2.016,-230.7,208.75,-164.54,by_hour,,,,,,,,,,,,,,,12.0
13:00,11.0,36.4,0.927,1.142,0.0805,0.89,-39.92,-2.024,-234.4,269.25,-171.91,by_hour,,,,,,,,,,,,,,,13.0
14:00,7.0,28.6,0.475,0.497,-0.362,-2.53,-264.46,-2.736,-236.5,226.0,-148.56,by_hour,,,,,,,,,,,,,,,14.0
15:00,1.0,100.0,,,0.0812,0.08,6.25,0.0,0.0,6.25,6.25,by_hour,,,,,,,,,,,,,,,15.0
