label,a_budget,a_cap,v_budget,v_cap,n_starts,e_paid,med_paid,mean_paid,med_months,mean_months,bust_pct,closed_max_pct,data_end_pct,safety_net_pct,med_days_to_safety_net,payout_eligibility_pct,first_payout_pct,second_payout_pct,full_ladder_pct,maxdd_median,maxdd_worst,worst_day,worst_start_year,worst_start_year_bust_pct,trades_per_month,mean_risk_per_month,a_vpc_coactive_pearson,a_vpc_coactive_n,per_start_year,family
A@400/4+VPC@250/2,400,4,250.0,2.0,42,6412,4545,6412,14.7,15.6,54.8,38.1,7.1,85.7,110.5,78.6,78.6,71.4,38.1,3808.0,5512.0,-748.0,2023,100.0,14.99,3588.0,0.471,120.0,"{2022: {'n': 12, 'bust_pct': 66.7}, 2023: {'n': 12, 'bust_pct': 100.0}, 2024: {'n': 12, 'bust_pct': 25.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@400/4+VPC@300/2,400,4,300.0,2.0,42,8595,12132,8595,16.1,18.9,33.3,59.5,7.1,88.1,101.0,85.7,85.7,71.4,59.5,3791.0,5881.0,-748.0,2023,83.3,15.89,3972.0,0.407,143.0,"{2022: {'n': 12, 'bust_pct': 8.3}, 2023: {'n': 12, 'bust_pct': 83.3}, 2024: {'n': 12, 'bust_pct': 25.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@480/4 (VPC OFF),480,4,,,42,8292,10336,8292,17.5,19.3,26.2,71.4,2.4,85.7,156.0,85.7,85.7,76.2,71.4,3285.0,4149.0,-882.0,2023,75.0,9.59,2910.0,,,"{2022: {'n': 12, 'bust_pct': 8.3}, 2023: {'n': 12, 'bust_pct': 75.0}, 2024: {'n': 12, 'bust_pct': 8.3}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@480/4+VPC@100/1,480,4,100.0,1.0,42,9308,11883,9308,17.8,20.3,23.8,73.8,2.4,85.7,163.5,85.7,85.7,76.2,73.8,3432.0,4149.0,-882.0,2023,75.0,10.02,2942.0,-0.333,11.0,"{2022: {'n': 12, 'bust_pct': 0.0}, 2023: {'n': 12, 'bust_pct': 75.0}, 2024: {'n': 12, 'bust_pct': 8.3}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@480/4+VPC@150/1,480,4,150.0,1.0,42,9161,12336,9161,16.1,18.7,28.6,71.4,0.0,85.7,129.5,85.7,85.7,71.4,71.4,3009.0,5236.0,-882.0,2023,66.7,11.69,3157.0,0.297,48.0,"{2022: {'n': 12, 'bust_pct': 8.3}, 2023: {'n': 12, 'bust_pct': 66.7}, 2024: {'n': 12, 'bust_pct': 25.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@480/4+VPC@200/2,480,4,200.0,2.0,42,8689,12319,8689,16.7,18.1,35.7,64.3,0.0,85.7,120.0,81.0,81.0,71.4,64.3,3470.0,4965.0,-882.0,2023,83.3,13.5,3506.0,0.305,80.0,"{2022: {'n': 12, 'bust_pct': 16.7}, 2023: {'n': 12, 'bust_pct': 83.3}, 2024: {'n': 12, 'bust_pct': 25.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@480/4+VPC@250/2,480,4,250.0,2.0,42,7956,11328,7956,14.8,16.1,45.2,54.8,0.0,83.3,121.0,78.6,78.6,71.4,54.8,3774.0,5841.0,-882.0,2023,83.3,15.07,3936.0,0.462,120.0,"{2022: {'n': 12, 'bust_pct': 50.0}, 2023: {'n': 12, 'bust_pct': 83.3}, 2024: {'n': 12, 'bust_pct': 25.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-kept
A@480/4+VPC@300/2,480,4,300.0,2.0,42,8385,12191,8385,14.8,17.2,35.7,64.3,0.0,85.7,96.0,81.0,81.0,66.7,64.3,3869.0,5829.0,-882.0,2023,83.3,15.97,4320.0,0.403,143.0,"{2022: {'n': 12, 'bust_pct': 8.3}, 2023: {'n': 12, 'bust_pct': 83.3}, 2024: {'n': 12, 'bust_pct': 25.0}, 2025: {'n': 6, 'bust_pct': 16.7}}",A-kept
A-unf@250/4 (VPC OFF),250,4,,,42,5108,5000,5108,23.9,23.9,21.4,11.9,66.7,88.1,270.0,85.7,85.7,81.0,11.9,2892.0,3941.0,-446.0,2022,75.0,11.11,2030.0,,,"{2022: {'n': 12, 'bust_pct': 75.0}, 2023: {'n': 12, 'bust_pct': 0.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-unfiltered
A-unf@250/4+VPC@200/2,250,4,200.0,2.0,42,6630,7814,6630,22.2,22.1,21.4,52.4,26.2,88.1,180.0,88.1,88.1,83.3,52.4,2913.0,4031.0,-580.0,2022,75.0,15.01,2627.0,0.217,95.0,"{2022: {'n': 12, 'bust_pct': 75.0}, 2023: {'n': 12, 'bust_pct': 0.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-unfiltered
A-unf@300/4 (VPC OFF),300,4,,,42,5862,7417,5862,22.0,21.1,26.2,23.8,50.0,81.0,238.5,78.6,78.6,76.2,23.8,3325.0,4617.0,-547.0,2022,91.7,11.42,2462.0,,,"{2022: {'n': 12, 'bust_pct': 91.7}, 2023: {'n': 12, 'bust_pct': 0.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-unfiltered
A-unf@300/4+VPC@200/2,300,4,200.0,2.0,42,6610,8074,6610,20.2,19.1,26.2,50.0,23.8,83.3,157.0,83.3,83.3,78.6,50.0,3144.0,5372.0,-580.0,2022,91.7,15.33,3058.0,0.239,96.0,"{2022: {'n': 12, 'bust_pct': 91.7}, 2023: {'n': 12, 'bust_pct': 0.0}, 2024: {'n': 12, 'bust_pct': 0.0}, 2025: {'n': 6, 'bust_pct': 0.0}}",A-unfiltered
NEGATIVE CONTROL A@900/6+VPC@600/3 (eval-style thru funded sim),900,6,600.0,3.0,42,5977,1499,5977,3.9,11.4,54.8,45.2,0.0,64.3,34.0,54.8,54.8,45.2,45.2,4044.0,5855.0,-1000.0,2023,58.3,17.12,8362.0,0.385,173.0,"{2022: {'n': 12, 'bust_pct': 50.0}, 2023: {'n': 12, 'bust_pct': 58.3}, 2024: {'n': 12, 'bust_pct': 58.3}, 2025: {'n': 6, 'bust_pct': 50.0}}",negative-control
