rule,scope_n,n,wr,pf,avgR,totR,maxdd,yrs_pos,ex2024,exfri,exboth,long_avgR,short_avgR,reduction,p2r,denom_flag,artifact_count,stress_2xcost,stress_slip01,stress_slip02,note
F1.after_PDL_sweep_longs_only,5056,1286,33.903576982892695,0.9759885083670068,-0.01639998875509548,-21.09038553905279,-61.1936954984817,2,-0.03186197676734331,-0.03362966330220351,-0.04282405963916286,-0.01639998875509548,,74.56487341772151,33.903576982892695,reduction>70%,0,-0.0499072869969717,-0.026399988755095485,-0.0363999887550955,
F1.after_PDH_sweep_shorts_only,5056,1677,33.452593917710196,0.9393785414810595,-0.04227202633558763,-70.89018816478045,-100.14916487996683,3,-0.053609548745695124,-0.07946928879632828,-0.09823936778586566,,-0.04227202633558763,66.83148734177216,33.392963625521766,ok,0,-0.08812187020248116,-0.05227202633558763,-0.062272026335587656,
F1.after_PDL_sweep_block_shorts,5056,4560,34.276315789473685,0.9810522830189434,-0.012973543643072398,-59.159359012410135,-138.18525662868973,2,-0.030294459073657787,-0.0388440316627421,-0.05581736271533478,-0.0009691772342525654,-0.02574958050460949,9.810126582278478,34.25438596491228,ok,0,-0.054236560970355334,-0.022973543643072403,-0.03297354364307243,
F1.after_PDH_sweep_block_longs,5056,4465,34.288913773796196,0.9801176380620584,-0.013623997753122702,-60.831149967692866,-140.59438599401392,3,-0.0280381178020116,-0.04116008316655855,-0.051438152021493024,-0.005802322512196361,-0.018713146893244822,11.689082278481012,34.266517357222845,ok,0,-0.055915408720131204,-0.023623997753122714,-0.033623997753122734,
F2.after_ONL_sweep_longs_only,3029,1212,35.89108910891089,1.0706265730822668,0.04661077554884639,56.492259965201825,-25.340051659160565,5,0.02533277485226779,0.010513840451038552,0.0002314100825036292,0.04661077554884639,,59.986794321558264,35.89108910891089,ok,0,0.016488877830366032,0.03661077554884638,0.02661077554884636,
F2.after_ONH_sweep_shorts_only,3029,1309,35.14132925897632,1.024672860991244,0.01662843923292501,21.76662695589884,-47.27779950778529,4,0.01930254592218107,-0.009230424920641389,-0.01306948594948365,,0.01662843923292501,56.78441729943876,35.064935064935064,"one-year-carry,Friday-only",0,-0.020982999303439543,0.006628439232925,-0.0033715607670750237,
F2.after_ONL_sweep_block_shorts,3029,2424,35.10726072607261,1.0314697297911182,0.021076599051837987,51.08967610165528,-56.66218031001958,4,0.009558286042097986,-0.006614824759787083,-0.02019551201189437,0.03685075812307184,-0.002245930617900413,19.973588643116535,35.06600660066007,Friday-only,0,-0.011064623678502252,0.011076599051837974,0.0010765990518379583,
F2.after_ONH_sweep_block_longs,3029,2391,35.131744040150565,1.0291924355464594,0.019595301220602,46.85236521845938,-31.971625424899436,3,0.012212527883934203,-0.010877754960726432,-0.017684346107447374,0.045194660014143316,0.006528793384100827,21.063057114559257,35.089920535340866,Friday-only,0,-0.014761718763312946,0.009595301220601989,-0.00040469877939802354,
F3.longs_only_above_open,5056,513,32.94346978557505,0.9408338850845706,-0.04082147550408183,-20.941416933593977,-45.44836254834144,4,-0.03831844557189405,-0.048052398250701865,-0.040692759643885724,-0.04082147550408183,,89.85363924050634,32.94346978557505,reduction>70%,0,-0.06994704457541513,-0.05082147550408184,-0.06082147550408187,
F3.shorts_only_below_open,5056,540,38.333333333333336,1.1842664545391128,0.11746055496275588,63.428699679888176,-26.874842505335266,4,0.13777793253163367,0.07489263950693359,0.10587360091865736,,0.11746055496275588,89.31962025316456,38.333333333333336,reduction>70%,0,0.08492110992551173,0.10746055496275589,0.09746055496275587,
F3.longs_only_above_prevclose,5056,398,33.91959798994975,0.9814831163816247,-0.012605569904169132,-5.017016821859315,-28.728194549846535,4,-0.031714330311981356,0.007579309863984829,-0.01021380158940645,-0.012605569904169132,,92.12816455696202,33.91959798994975,reduction>70%,0,-0.042799079506830706,-0.02260556990416912,-0.03260556990416915,
F3.shorts_only_below_prevclose,5056,950,36.84210526315789,1.0995260051929623,0.06545013433402659,62.17762761732526,-47.31185986803321,5,0.06858761532301293,0.03762164940998083,0.04101765288948754,,0.06545013433402659,81.21044303797468,36.84210526315789,reduction>70%,0,0.0256371107733163,0.05545013433402657,0.04545013433402656,
F3.longs_only_above_BOTH,5056,374,34.75935828877005,1.019299038143968,0.012966402799121304,4.849434646871368,-32.938361482733214,4,-0.003489812870512892,0.02307574694957597,0.0042506968583584746,0.012966402799121304,,92.60284810126582,34.75935828877005,"reduction>70%,one-year-carry",0,-0.01684794306485897,0.0029664027991213315,-0.007033597200878688,
F3.shorts_only_below_BOTH,5056,515,38.05825242718446,1.170618838300071,0.10928427741777588,56.28140287015458,-32.588241516276796,3,0.14361522193524626,0.05832681496433735,0.09997669914425,,0.10928427741777588,89.81408227848101,38.05825242718446,reduction>70%,0,0.07682098202001779,0.09928427741777587,0.08928427741777586,
