rule,n,days,tpd,wr,pf,avgR,totR,maxdd,yrs_pos,ex2024,exfri,exboth,reduction,r_removed,r_kept,bleed_days_improved,gooddays_survive,denom_flag
A.max_trades_1,961,961,1.0,35.37981269510926,1.0589071513612591,0.038924334453317874,37.40628540963848,-47.63367814539046,4,-0.013354088150833257,0.02421846216901975,-0.012844457862625459,40.82512315270937,30.29806801873186,37.40628540963848,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
A.max_trades_2,1453,961,1.5119667013527576,35.237439779766,1.052593541348405,0.03482794595792968,50.605005476871824,-57.95026040173429,2,-0.019586996953878437,0.019699761005567386,-0.034296721004199365,10.529556650246308,17.099347951498515,50.605005476871824,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
A.max_trades_3,1598,961,1.6628511966701354,35.356695869837296,1.058014003304405,0.03834870505957663,61.281230685203454,-45.30004960467801,4,-0.008953294829378771,0.021904830278518587,-0.023463064504912763,1.6009852216748777,6.423122743166886,61.281230685203454,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
A.max_trades_4,1621,961,1.6867845993756503,35.471930906847625,1.063344514683463,0.04179912306637548,67.75637849059466,-45.24420283037287,2,-0.006849125305592611,0.025096672289902353,-0.0205835147091123,0.1847290640394128,-0.0520250622243168,67.75637849059466,no,yes,REJECTED_DENOMINATOR_TRICK (profit from one year)
A.max_trades_unlimited(baseline),1624,961,1.6899063475546305,35.467980295566505,1.063175177569165,0.04168987280072065,67.70435342837034,-45.24420283037287,2,-0.00763729512819871,0.025794940515370506,-0.02155627869931136,0.0,0.0,67.70435342837034,no,yes,REJECTED_DENOMINATOR_TRICK (profit from one year)
B.signal_1_only,961,961,1.0,35.37981269510926,1.0589071513612591,0.038924334453317874,37.40628540963848,-47.63367814539046,4,-0.013354088150833257,0.02421846216901975,-0.012844457862625459,40.82512315270937,30.29806801873186,37.40628540963848,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
B.signal_1-2,1453,961,1.5119667013527576,35.237439779766,1.052593541348405,0.03482794595792968,50.605005476871824,-57.95026040173429,2,-0.019586996953878437,0.019699761005567386,-0.034296721004199365,10.529556650246308,17.099347951498515,50.605005476871824,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
B.signal_1-3,1598,961,1.6628511966701354,35.356695869837296,1.058014003304405,0.03834870505957663,61.281230685203454,-45.30004960467801,4,-0.008953294829378771,0.021904830278518587,-0.023463064504912763,1.6009852216748777,6.423122743166886,61.281230685203454,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
B.standalone_sig#1,961,961,1.0,35.37981269510926,1.0589071513612591,0.038924334453317874,37.40628540963848,-47.63367814539046,4,-0.013354088150833257,0.02421846216901975,-0.012844457862625459,40.82512315270937,30.29806801873186,37.40628540963848,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
B.standalone_sig#2,492,492,1.0,34.959349593495936,1.0403400699171443,0.02682666680331977,13.198720067233328,-19.168491942500665,3,-0.03135683218742035,0.01084679546084438,-0.07492194432855499,69.70443349753694,54.505633361137015,13.198720067233328,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
