model,n,n_skipped_rule,n_skipped_busy,n_frozen,wr_pct,pf_R,avgR,totR,maxDD_R,avg_win_R,avg_loss_R,yrs_pos,n_years,avgR_ex2024,avgR_exFri,avgR_exBoth,long_avgR,short_avgR,nyam_avgR,nyam_avgR_ex2024,dol_exists_pct,avg_dol_dist_R,dol_bucket_lt0_5,dol_bucket_0_5_1,dol_bucket_1_2,dol_bucket_2_3,dol_bucket_gt3,pct_horizon_timeout,pct_dol_before_stop,pct_dol_before_2R,pct_2R_before_dol,pct_neither_before_stop,artifact_count
fixed_1R,5056,0,0,5056,50.35601265822785,0.9342706494656698,-0.033998733786383524,-171.8975980239551,180.1938282933928,0.9596763080404016,-1.0419256885636725,1,6,-0.050011134052542414,-0.050150756965546474,-0.0665226975093935,-0.015005757412899959,-0.050506122863669976,0.020607822700687613,-0.01923709437571545,99.92088607594937,1.1263423554229568,62.33174980205859,13.558986539984163,10.352335708630244,4.592240696753761,9.164687252573238,0.0,69.73475851148059,84.54077593032461,12.569279493269992,28.57990506329114,0
fixed_1.25R,5056,0,0,5056,45.272943037974684,0.9605866871120478,-0.0224777685965101,-113.64759802395507,123.39262112517447,1.2100633041090545,-1.0420970369098594,1,6,-0.042280430375892776,-0.03996623743523255,-0.06150498794622941,-0.003202269535401022,-0.03923070696718198,0.03435284262100636,-0.017245062503205486,99.92088607594937,1.1263423554229568,62.33174980205859,13.558986539984163,10.352335708630244,4.592240696753761,9.164687252573238,0.0,69.73475851148059,84.54077593032461,12.569279493269992,28.57990506329114,0
fixed_1.5R,5056,0,0,5056,41.04034810126582,0.9754018880099632,-0.015110284419294913,-76.39759802395508,125.8948030020894,1.4599682819848399,-1.041875807830425,1,6,-0.04027166485361374,-0.03289698270242642,-0.05958645193678431,0.0030716564535398514,-0.03091277720747773,0.02817754381622548,-0.022723150152607875,99.92088607594937,1.1263423554229568,62.33174980205859,13.558986539984163,10.352335708630244,4.592240696753761,9.164687252573238,0.0,69.73475851148059,84.54077593032461,12.569279493269992,28.57990506329114,0
fixed_2R_baseline,5056,0,0,5056,34.35522151898734,0.9845696251001572,-0.010550042728997606,-53.3410160378119,128.37880819110956,1.9594375242317121,-1.0415438371883987,2,6,-0.02869226821710457,-0.033855525717044206,-0.0499937718895588,-0.0009691772342525684,-0.01887707222184254,0.036987569303192164,-0.008722570485134576,99.92088607594937,1.1263423554229568,62.33174980205859,13.558986539984163,10.352335708630244,4.592240696753761,9.164687252573238,0.01977848101265823,69.73475851148059,84.54077593032461,12.569279493269992,28.57990506329114,0
fixed_2.5R,4306,0,750,5056,29.145378541569904,0.9684542594724218,-0.02329224529147422,-100.29640822508799,141.45300146098435,2.4534659863521173,-1.0420833238600444,1,6,-0.04693787366276357,-0.04619615131065158,-0.06411537777460649,-0.015287083884892937,-0.030228663866140863,0.02753333241252865,-0.011963943763630214,99.93032977241059,1.1893551234471975,61.724378340692546,13.409249360910994,10.481059725772717,4.60144085521729,9.783871717406461,0.13934045517882027,69.67232163606786,83.91819660701836,13.08389495700674,28.49512308406874,0
fixed_3R,4011,0,1045,5056,25.479930191972077,0.9656680246459163,-0.026663354692495863,-106.94671567160091,167.5158159055087,2.9433751251754154,-1.0421800246239128,2,6,-0.056335564638141135,-0.05138460856408938,-0.07390607063548137,-0.02264200803132777,-0.0301476485422376,-0.013140238453530574,-0.06923897551297258,99.925205684368,1.2145736419882884,61.32734530938124,13.348303393213573,10.553892215568862,4.640718562874251,10.129740518962075,0.2742458239840439,69.56087824351297,83.50798403193613,13.373253493013973,28.57142857142857,0
partial_50@1R_50@2R,5056,0,0,5056,34.35522151898734,0.951106646545414,-0.02565862216226391,-129.72999365240634,135.64582037569716,1.452847296986069,-0.7994352963293787,1,6,-0.04268363964991175,-0.04540914745308088,-0.06162170430233051,-0.011068207872580223,-0.038339607003316165,0.026939764007871132,-0.0156997898686842,99.92088607594937,1.1263423554229568,62.33174980205859,13.558986539984163,10.352335708630244,4.592240696753761,9.164687252573238,0.01977848101265823,69.73475851148059,84.54077593032461,12.569279493269992,28.57990506329114,0
partial_50@1R_50@3R,4011,0,1045,5056,25.50486163051608,0.9367146177282919,-0.033494991028981395,-134.34840901724436,137.73832127687137,1.9438412047712301,-0.7104745520409012,1,6,-0.058076381881473266,-0.05218202035451538,-0.07287471308229727,-0.020143906135052295,-0.045063032011994866,-0.0007847583109030673,-0.04753189919163522,99.925205684368,1.2145736419882884,61.32734530938124,13.348303393213573,10.553892215568862,4.640718562874251,10.129740518962075,0.2742458239840439,69.56087824351297,83.50798403193613,13.373253493013973,28.57142857142857,0
partial_33@1R_33@2R_34@3R,4011,0,1045,5056,33.83196210421342,0.9403485441675006,-0.03468075251044676,-139.10449831940196,149.30093511479694,1.6159545279059706,-0.8786566664234379,1,6,-0.05962193602448768,-0.05481647752454829,-0.0753103037577106,-0.02469945810433385,-0.04332904017176934,0.0017867585081400338,-0.0401669771032797,99.925205684368,1.2145736419882884,61.32734530938124,13.348303393213573,10.553892215568862,4.640718562874251,10.129740518962075,0.2742458239840439,69.56087824351297,83.50798403193613,13.373253493013973,28.57142857142857,0
partial_50@0.75R_50@1.5R,5056,0,0,5056,41.04034810126582,0.9309154537080716,-0.0328412616048548,-166.04541867414588,171.36997555616665,1.0782963289823129,-0.8062765183872678,1,6,-0.05354789204007054,-0.050965875098700784,-0.07256556092527915,-0.018501163160987363,-0.04530468912482979,0.008084451447352408,-0.034112955289964615,99.92088607594937,1.1263423554229568,62.33174980205859,13.558986539984163,10.352335708630244,4.592240696753761,9.164687252573238,0.0,69.73475851148059,84.54077593032461,12.569279493269992,28.57990506329114,0
