cell,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_long,n_short,slip_0.015R_pf,slip_0.03R_pf,labels,per_year_pf,per_year_n,window,trend_gate,pullback,entry,stop,exit,stage,kill_gate_verdict
W4_1300_1530|TG2_first30m|PB1_touch_vwap|E1_next_open|S2_atr2.5|X3_trail5.0,1591,2.939,37.6,0.765,-0.1442,-229.427,233.95,800,791,0.744,0.724,-,"{2016: 0.393, 2017: 0.475, 2018: 0.805, 2019: 0.642, 2020: 0.944, 2021: 0.969, 2022: 0.941, 2023: 1.012, 2024: 0.701, 2025: 1.157, 2026: 0.728}","{2016: 167, 2017: 161, 2018: 153, 2019: 148, 2020: 168, 2021: 147, 2022: 153, 2023: 155, 2024: 149, 2025: 129, 2026: 61}",W4_1300_1530,TG2_first30m,PB1_touch_vwap,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG2_first30m|PB1_touch_vwap|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1101,2.034,36.9,0.77,-0.1383,-152.25,151.32,564,537,0.749,0.729,-,"{2016: 0.412, 2017: 0.544, 2018: 0.79, 2019: 0.562, 2020: 0.971, 2021: 1.006, 2022: 1.147, 2023: 1.192, 2024: 0.616, 2025: 0.943, 2026: 0.448}","{2016: 118, 2017: 107, 2018: 104, 2019: 101, 2020: 120, 2021: 104, 2022: 110, 2023: 100, 2024: 105, 2025: 91, 2026: 41}",W4_1300_1530,TG2_first30m,PB1_touch_vwap,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG2_first30m|PB2_reclaim|E1_next_open|S2_atr2.5|X3_trail5.0,1216,2.248,38.4,0.765,-0.1397,-169.916,172.635,621,595,0.744,0.724,-,"{2016: 0.373, 2017: 0.351, 2018: 0.85, 2019: 0.623, 2020: 0.963, 2021: 0.923, 2022: 1.069, 2023: 1.126, 2024: 0.718, 2025: 1.0, 2026: 0.761}","{2016: 114, 2017: 121, 2018: 122, 2019: 111, 2020: 133, 2021: 113, 2022: 117, 2023: 121, 2024: 115, 2025: 100, 2026: 49}",W4_1300_1530,TG2_first30m,PB2_reclaim,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG2_first30m|PB2_reclaim|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1082,2.0,37.9,0.764,-0.1399,-151.344,152.616,558,524,0.743,0.722,-,"{2016: 0.361, 2017: 0.339, 2018: 0.918, 2019: 0.657, 2020: 0.96, 2021: 0.947, 2022: 1.034, 2023: 1.218, 2024: 0.661, 2025: 1.011, 2026: 0.566}","{2016: 104, 2017: 106, 2018: 101, 2019: 100, 2020: 123, 2021: 97, 2022: 109, 2023: 105, 2024: 100, 2025: 92, 2026: 45}",W4_1300_1530,TG2_first30m,PB2_reclaim,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG2_first30m|PB3_wick_close_trend|E1_next_open|S2_atr2.5|X3_trail5.0,1427,2.636,37.6,0.765,-0.1417,-202.254,201.647,726,701,0.744,0.724,-,"{2016: 0.377, 2017: 0.426, 2018: 0.88, 2019: 0.556, 2020: 0.954, 2021: 0.959, 2022: 1.135, 2023: 1.009, 2024: 0.721, 2025: 1.02, 2026: 0.642}","{2016: 142, 2017: 143, 2018: 140, 2019: 132, 2020: 155, 2021: 132, 2022: 134, 2023: 142, 2024: 133, 2025: 119, 2026: 55}",W4_1300_1530,TG2_first30m,PB3_wick_close_trend,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG2_first30m|PB3_wick_close_trend|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1205,2.226,36.8,0.759,-0.146,-175.878,174.725,620,585,0.738,0.718,-,"{2016: 0.362, 2017: 0.419, 2018: 0.931, 2019: 0.577, 2020: 0.97, 2021: 0.947, 2022: 1.123, 2023: 1.184, 2024: 0.642, 2025: 0.871, 2026: 0.555}","{2016: 121, 2017: 123, 2018: 106, 2019: 113, 2020: 140, 2021: 110, 2022: 120, 2023: 115, 2024: 107, 2025: 104, 2026: 46}",W4_1300_1530,TG2_first30m,PB3_wick_close_trend,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG3_price_vs_vwap|PB1_touch_vwap|E1_next_open|S2_atr2.5|X3_trail5.0,1586,2.929,37.1,0.799,-0.124,-196.646,235.205,798,788,0.778,0.758,-,"{2016: 0.451, 2017: 0.392, 2018: 0.762, 2019: 0.483, 2020: 0.946, 2021: 1.121, 2022: 1.392, 2023: 1.113, 2024: 0.948, 2025: 0.951, 2026: 0.689}","{2016: 163, 2017: 160, 2018: 153, 2019: 148, 2020: 168, 2021: 147, 2022: 153, 2023: 155, 2024: 149, 2025: 129, 2026: 61}",W4_1300_1530,TG3_price_vs_vwap,PB1_touch_vwap,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG3_price_vs_vwap|PB1_touch_vwap|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1287,2.377,36.5,0.785,-0.1349,-173.621,202.309,657,630,0.764,0.744,-,"{2016: 0.397, 2017: 0.43, 2018: 0.809, 2019: 0.435, 2020: 0.898, 2021: 1.148, 2022: 1.531, 2023: 1.158, 2024: 0.872, 2025: 0.841, 2026: 0.533}","{2016: 132, 2017: 128, 2018: 118, 2019: 124, 2020: 139, 2021: 126, 2022: 125, 2023: 128, 2024: 120, 2025: 99, 2026: 48}",W4_1300_1530,TG3_price_vs_vwap,PB1_touch_vwap,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG3_price_vs_vwap|PB2_reclaim|E1_next_open|S2_atr2.5|X3_trail5.0,1379,2.547,38.1,0.834,-0.0994,-137.07,183.987,704,675,0.812,0.791,-,"{2016: 0.66, 2017: 0.321, 2018: 0.718, 2019: 0.553, 2020: 1.044, 2021: 1.072, 2022: 1.117, 2023: 1.159, 2024: 1.077, 2025: 0.94, 2026: 0.912}","{2016: 139, 2017: 133, 2018: 136, 2019: 129, 2020: 145, 2021: 131, 2022: 134, 2023: 139, 2024: 127, 2025: 110, 2026: 56}",W4_1300_1530,TG3_price_vs_vwap,PB2_reclaim,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG3_price_vs_vwap|PB2_reclaim|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1235,2.281,36.6,0.806,-0.1184,-146.27,163.092,633,602,0.785,0.764,-,"{2016: 0.615, 2017: 0.321, 2018: 0.824, 2019: 0.5, 2020: 0.972, 2021: 1.065, 2022: 1.058, 2023: 1.088, 2024: 1.177, 2025: 0.859, 2026: 0.547}","{2016: 126, 2017: 115, 2018: 115, 2019: 119, 2020: 129, 2021: 119, 2022: 122, 2023: 129, 2024: 109, 2025: 101, 2026: 51}",W4_1300_1530,TG3_price_vs_vwap,PB2_reclaim,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG3_price_vs_vwap|PB3_wick_close_trend|E1_next_open|S2_atr2.5|X3_trail5.0,1586,2.929,37.1,0.799,-0.124,-196.646,235.205,798,788,0.778,0.758,-,"{2016: 0.451, 2017: 0.392, 2018: 0.762, 2019: 0.483, 2020: 0.946, 2021: 1.121, 2022: 1.392, 2023: 1.113, 2024: 0.948, 2025: 0.951, 2026: 0.689}","{2016: 163, 2017: 160, 2018: 153, 2019: 148, 2020: 168, 2021: 147, 2022: 153, 2023: 155, 2024: 149, 2025: 129, 2026: 61}",W4_1300_1530,TG3_price_vs_vwap,PB3_wick_close_trend,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG3_price_vs_vwap|PB3_wick_close_trend|E2_break_reclaim|S2_atr2.5|X3_trail5.0,1287,2.377,36.5,0.785,-0.1349,-173.621,202.309,657,630,0.764,0.744,-,"{2016: 0.397, 2017: 0.43, 2018: 0.809, 2019: 0.435, 2020: 0.898, 2021: 1.148, 2022: 1.531, 2023: 1.158, 2024: 0.872, 2025: 0.841, 2026: 0.533}","{2016: 132, 2017: 128, 2018: 118, 2019: 124, 2020: 139, 2021: 126, 2022: 125, 2023: 128, 2024: 120, 2025: 99, 2026: 48}",W4_1300_1530,TG3_price_vs_vwap,PB3_wick_close_trend,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG4_slope_drive|PB1_touch_vwap|E1_next_open|S2_atr2.5|X3_trail5.0,1231,2.274,40.6,0.824,-0.1003,-123.525,125.435,618,613,0.801,0.778,-,"{2016: 0.48, 2017: 0.638, 2018: 0.896, 2019: 0.621, 2020: 0.978, 2021: 1.204, 2022: 0.905, 2023: 1.038, 2024: 0.631, 2025: 1.066, 2026: 0.839}","{2016: 129, 2017: 123, 2018: 111, 2019: 116, 2020: 127, 2021: 120, 2022: 120, 2023: 123, 2024: 118, 2025: 100, 2026: 44}",W4_1300_1530,TG4_slope_drive,PB1_touch_vwap,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG4_slope_drive|PB1_touch_vwap|E2_break_reclaim|S2_atr2.5|X3_trail5.0,773,1.428,40.1,0.814,-0.1031,-79.715,95.153,393,380,0.791,0.768,-,"{2016: 0.396, 2017: 0.592, 2018: 0.743, 2019: 0.501, 2020: 0.993, 2021: 1.427, 2022: 1.271, 2023: 1.095, 2024: 0.572, 2025: 1.006, 2026: 0.982}","{2016: 83, 2017: 82, 2018: 74, 2019: 71, 2020: 81, 2021: 75, 2022: 76, 2023: 70, 2024: 75, 2025: 61, 2026: 25}",W4_1300_1530,TG4_slope_drive,PB1_touch_vwap,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG4_slope_drive|PB2_reclaim|E1_next_open|S2_atr2.5|X3_trail5.0,583,1.078,40.8,0.8,-0.1113,-64.861,69.847,290,293,0.777,0.754,-,"{2016: 0.348, 2017: 0.434, 2018: 0.825, 2019: 0.781, 2020: 1.091, 2021: 1.087, 2022: 1.61, 2023: 1.085, 2024: 0.429, 2025: 0.716, 2026: 0.972}","{2016: 54, 2017: 62, 2018: 55, 2019: 58, 2020: 61, 2021: 57, 2022: 52, 2023: 62, 2024: 58, 2025: 43, 2026: 21}",W4_1300_1530,TG4_slope_drive,PB2_reclaim,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG4_slope_drive|PB2_reclaim|E2_break_reclaim|S2_atr2.5|X3_trail5.0,511,0.945,40.9,0.753,-0.1355,-69.218,73.602,262,249,0.73,0.708,-,"{2016: 0.247, 2017: 0.474, 2018: 0.644, 2019: 0.598, 2020: 0.987, 2021: 1.159, 2022: 1.844, 2023: 1.093, 2024: 0.39, 2025: 0.678, 2026: 1.036}","{2016: 50, 2017: 52, 2018: 47, 2019: 52, 2020: 57, 2021: 50, 2022: 47, 2023: 49, 2024: 49, 2025: 39, 2026: 19}",W4_1300_1530,TG4_slope_drive,PB2_reclaim,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG4_slope_drive|PB3_wick_close_trend|E1_next_open|S2_atr2.5|X3_trail5.0,1003,1.853,40.9,0.827,-0.0974,-97.717,101.469,498,505,0.803,0.78,-,"{2016: 0.397, 2017: 0.54, 2018: 0.886, 2019: 0.672, 2020: 0.97, 2021: 1.276, 2022: 1.345, 2023: 0.935, 2024: 0.625, 2025: 1.066, 2026: 0.735}","{2016: 102, 2017: 103, 2018: 95, 2019: 100, 2020: 106, 2021: 94, 2022: 92, 2023: 100, 2024: 95, 2025: 81, 2026: 35}",W4_1300_1530,TG4_slope_drive,PB3_wick_close_trend,E1_next_open,S2_atr2.5,X3_trail5.0,coarse,DEAD
W4_1300_1530|TG4_slope_drive|PB3_wick_close_trend|E2_break_reclaim|S2_atr2.5|X3_trail5.0,791,1.461,40.6,0.804,-0.1086,-85.896,95.617,398,393,0.78,0.757,-,"{2016: 0.303, 2017: 0.593, 2018: 0.824, 2019: 0.57, 2020: 0.9, 2021: 1.363, 2022: 1.421, 2023: 1.079, 2024: 0.537, 2025: 0.959, 2026: 0.812}","{2016: 83, 2017: 83, 2018: 70, 2019: 78, 2020: 94, 2021: 76, 2022: 77, 2023: 71, 2024: 72, 2025: 61, 2026: 26}",W4_1300_1530,TG4_slope_drive,PB3_wick_close_trend,E2_break_reclaim,S2_atr2.5,X3_trail5.0,coarse,DEAD
