level,side,event_type,entry_type,stop_type,exit_type,filter,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_no_retest_skip,flag
pdh,upper,break_and_retest,retest_limit,beyond_extreme_2tk,2R,vwap_slope_agreement,736,1.358,0.4701,0.4365,-0.5615,-413.244,-419.862,154,dead
pdh,upper,break_and_retest,retest_limit,1.0xATR,vwap,none,391,0.721,0.3581,0.4325,-0.3144,-122.911,-133.6,221,dead
pdh,upper,break_and_retest,retest_limit,1.0xATR,vwap,ny_am_only,177,0.327,0.3785,0.2493,-0.346,-61.236,-61.356,84,dead
pdh,upper,break_and_retest,retest_limit,1.0xATR,vwap,vwap_slope_agreement,80,0.148,0.3125,0.1837,-0.3081,-24.65,-25.855,154,sub_floor
pdh,upper,break_and_retest,retest_limit,1.0xATR,prior_day_mid,none,0,0.0,,,,0.0,0.0,221,insufficient_n
pdh,upper,break_and_retest,retest_limit,1.0xATR,prior_day_mid,ny_am_only,0,0.0,,,,0.0,0.0,84,insufficient_n
pdh,upper,break_and_retest,retest_limit,1.0xATR,prior_day_mid,vwap_slope_agreement,0,0.0,,,,0.0,0.0,154,insufficient_n
pdh,upper,break_and_retest,retest_limit,1.0xATR,1.5R,none,1166,2.151,0.3988,0.5153,-0.4017,-468.326,-475.763,221,dead
pdh,upper,break_and_retest,retest_limit,1.0xATR,1.5R,ny_am_only,470,0.867,0.3553,0.4863,-0.4326,-203.339,-209.207,84,dead
pdh,upper,break_and_retest,retest_limit,1.0xATR,1.5R,vwap_slope_agreement,736,1.358,0.4117,0.5348,-0.3769,-277.367,-285.158,154,dead
pdh,upper,break_and_retest,retest_limit,1.0xATR,2R,none,1166,2.151,0.3413,0.5712,-0.389,-453.523,-463.352,221,dead
pdh,upper,break_and_retest,retest_limit,1.0xATR,2R,ny_am_only,470,0.867,0.2979,0.5341,-0.4273,-200.839,-205.817,84,dead
pdh,upper,break_and_retest,retest_limit,1.0xATR,2R,vwap_slope_agreement,736,1.358,0.3505,0.5829,-0.3733,-274.721,-282.345,154,dead
pdh,upper,first_touch_rejection,next_bar_open,beyond_extreme_2tk,vwap,none,494,0.911,0.2753,0.46,-0.5353,-264.45,-263.263,0,dead
pdh,upper,first_touch_rejection,next_bar_open,beyond_extreme_2tk,vwap,ny_am_only,292,0.539,0.3082,0.5185,-0.4222,-123.293,-126.398,0,dead
pdh,upper,first_touch_rejection,next_bar_open,beyond_extreme_2tk,vwap,vwap_slope_agreement,6,0.011,0.8333,3.9607,0.8848,5.309,0.0,0,sub_floor
pdh,upper,first_touch_rejection,next_bar_open,beyond_extreme_2tk,prior_day_mid,none,1050,1.937,0.2781,0.6107,-0.3815,-400.596,-399.207,0,dead
pdh,upper,first_touch_rejection,next_bar_open,beyond_extreme_2tk,prior_day_mid,ny_am_only,746,1.376,0.2869,0.6498,-0.3361,-250.74,-252.538,0,dead
