model,confirm,entry,filter,bucket,stop,exit,n,tr_wk,wr,pf,expR,totR,maxDD_R,flag,mirage
fill,conf15,next_open,none,0.25-0.75,open_buffer,2R,566,1.044,0.3869,0.8913,-0.0686,-38.837,-65.239,dead,False
fill,conf15,next_open,none,0.25-0.75,atr1.0,prior_close,566,1.044,0.5883,0.7591,-0.0431,-24.37,-27.945,dead,True
fill,conf15,next_open,none,0.25-0.75,atr1.0,half_gap,566,1.044,0.5495,0.4766,-0.0606,-34.286,-34.608,dead,True
fill,conf15,next_open,none,0.25-0.75,atr1.0,1.5R,566,1.044,0.4965,1.0035,0.0008,0.459,-12.534,dead,False
fill,conf15,next_open,none,0.25-0.75,atr1.0,2R,566,1.044,0.4947,0.9786,-0.0049,-2.775,-14.053,dead,False
fill,conf15,next_open,none,0.25-0.75,atr1.5,prior_close,566,1.044,0.5901,0.7649,-0.0279,-15.787,-18.181,dead,False
fill,conf15,next_open,none,0.25-0.75,atr1.5,half_gap,566,1.044,0.5495,0.4662,-0.0421,-23.826,-24.04,dead,True
fill,conf15,next_open,none,0.25-0.75,atr1.5,1.5R,566,1.044,0.4965,0.9965,-0.0005,-0.307,-9.176,dead,False
fill,conf15,next_open,none,0.25-0.75,atr1.5,2R,566,1.044,0.4965,0.9806,-0.003,-1.674,-9.176,dead,False
fill,conf15,next_open,none,0.75-1.25,open_buffer,prior_close,111,0.205,0.3604,0.8334,-0.1115,-12.372,-16.913,sub_floor,False
fill,conf15,next_open,none,0.75-1.25,open_buffer,half_gap,111,0.205,0.4685,0.7781,-0.1175,-13.039,-14.123,sub_floor,False
fill,conf15,next_open,none,0.75-1.25,open_buffer,1.5R,111,0.205,0.4414,0.9578,-0.0254,-2.815,-11.77,sub_floor,False
fill,conf15,next_open,none,0.75-1.25,open_buffer,2R,111,0.205,0.3874,0.9444,-0.0359,-3.982,-10.994,sub_floor,False
fill,conf15,next_open,none,0.75-1.25,atr1.0,prior_close,111,0.205,0.5405,1.1073,0.0248,2.751,-6.09,sub_floor,False
fill,conf15,next_open,none,0.75-1.25,atr1.0,half_gap,111,0.205,0.6216,0.8103,-0.0361,-4.007,-7.696,sub_floor,False
fill,conf15,next_open,none,0.75-1.25,atr1.0,1.5R,111,0.205,0.4955,1.2316,0.059,6.546,-5.396,sub_floor,False
fill,conf15,next_open,none,0.75-1.25,atr1.0,2R,111,0.205,0.4955,1.3106,0.0791,8.778,-5.461,sub_floor,False
fill,conf15,next_open,none,0.75-1.25,atr1.5,prior_close,111,0.205,0.5405,1.0315,0.0052,0.577,-5.216,sub_floor,False
fill,conf15,next_open,none,0.75-1.25,atr1.5,half_gap,111,0.205,0.6216,0.7605,-0.0324,-3.594,-5.954,sub_floor,False
fill,conf15,next_open,none,0.75-1.25,atr1.5,1.5R,111,0.205,0.4955,1.2129,0.0392,4.35,-5.351,sub_floor,False
fill,conf15,next_open,none,0.75-1.25,atr1.5,2R,111,0.205,0.4955,1.2221,0.0409,4.538,-5.351,sub_floor,False
