failure_def,timing,entry,stop,exit,filt,n_events_raw,n_no_fill,flags,n,tr_per_wk,wr,pf,exp_r,tot_r,maxdd_r,n_long,n_short
OR30_break_reclaim,le10bars,next_bar_open_after_reclaim,beyond_extreme_2tick,vwap_target,none,7304,123,,7128,13.161698760221578,0.17522446689113355,0.1815904063748959,-1.2121909609387111,-8640.497169571134,-8644.498749550028,3463,3665
OR30_break_reclaim,le10bars,next_bar_open_after_reclaim,beyond_extreme_2tick,vwap_target,flat_vwap_slope_only,7304,123,,3954,7.300975995779478,0.14516944865958523,0.11270594479232715,-1.3928587234785477,-5507.363392634177,-5506.568207316356,1866,2088
OR30_break_reclaim,le10bars,next_bar_open_after_reclaim,beyond_extreme_2tick,or_midpoint,none,7304,123,,7085,13.08230018464785,0.2594213126323218,0.4002478256741372,-0.8159729638217447,-5781.168448677061,-5786.143746112071,3442,3643
OR30_break_reclaim,le10bars,next_bar_open_after_reclaim,beyond_extreme_2tick,or_midpoint,flat_vwap_slope_only,7304,123,,3912,7.223423898707465,0.27275051124744376,0.3812681125893523,-0.8427353469404234,-3296.7806772309364,-3299.1109165222974,1845,2067
OR30_break_reclaim,le10bars,next_bar_open_after_reclaim,beyond_extreme_2tick,1.5R,none,7304,123,,6982,12.892112898971249,0.3334288169578917,0.24368014325358978,-0.8954213547413881,-6251.831898804371,-6251.081698402346,3385,3597
OR30_break_reclaim,le10bars,next_bar_open_after_reclaim,beyond_extreme_2tick,1.5R,flat_vwap_slope_only,7304,123,,3881,7.166183065154313,0.3398608606029374,0.2237693629499845,-0.9290775007410699,-3605.749780376092,-3608.390808532147,1829,2052
OR30_break_reclaim,le10bars,next_bar_open_after_reclaim,atr_1.0,vwap_target,none,7304,123,,5449,10.061461355842786,0.38465773536428705,0.27850487042759825,-0.0640274065660711,-348.88533837852145,-349.4263789179121,2678,2771
OR30_break_reclaim,le10bars,next_bar_open_after_reclaim,atr_1.0,vwap_target,flat_vwap_slope_only,7304,123,,3332,6.1524663677130045,0.2722088835534214,0.15462295830092385,-0.06905546105348247,-230.09279623020356,-230.1683202066329,1608,1724
OR30_break_reclaim,le10bars,next_bar_open_after_reclaim,atr_1.0,or_midpoint,none,7304,123,,4104,7.577947771036666,0.6481481481481481,0.6113023100252755,-0.03750936863830394,-153.93844889159936,-154.99685773588715,1982,2122
OR30_break_reclaim,le10bars,next_bar_open_after_reclaim,atr_1.0,or_midpoint,flat_vwap_slope_only,7304,123,,2413,4.455552624637299,0.6249481972648155,0.6022774178402834,-0.03273856117583235,-78.99814811728345,-79.72607095442923,1136,1277
