cell,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_long,n_short,slip_0.015R_pf,slip_0.03R_pf,labels,per_year_pf,per_year_n,classifier,trigger,entry,stop,exit,kill_gate_verdict
C2_vwap_slope_steep|T2_shallow_25_38|E1_next_open|ST1_swing|X2_trail3.5,493,0.919,12.6,0.967,-0.0491,-24.201,153.128,211,282,0.958,0.949,-,"{2016: 0.376, 2017: 0.375, 2018: 1.781, 2019: 2.603, 2020: 0.408, 2021: 0.163, 2022: 1.429, 2023: 1.768, 2024: 1.026, 2025: 0.331, 2026: 0.0}","{2016: 32, 2017: 45, 2018: 62, 2019: 35, 2020: 55, 2021: 48, 2022: 57, 2023: 37, 2024: 57, 2025: 47, 2026: 18}",C2_vwap_slope_steep,T2_shallow_25_38,E1_next_open,ST1_swing,X2_trail3.5,DEAD
C2_vwap_slope_steep|T2_shallow_25_38|E1_next_open|ST1_swing|X3_new_extreme,493,0.919,27.0,0.746,-0.3281,-161.744,160.13,211,282,0.737,0.728,-,"{2016: 0.261, 2017: 0.509, 2018: 0.862, 2019: 1.409, 2020: 0.801, 2021: 0.878, 2022: 0.499, 2023: 1.253, 2024: 0.987, 2025: 0.487, 2026: 0.153}","{2016: 32, 2017: 45, 2018: 62, 2019: 35, 2020: 55, 2021: 48, 2022: 57, 2023: 37, 2024: 57, 2025: 47, 2026: 18}",C2_vwap_slope_steep,T2_shallow_25_38,E1_next_open,ST1_swing,X3_new_extreme,DEAD
C2_vwap_slope_steep|T2_shallow_25_38|E1_next_open|ST2_atr1.5|X1_R2,497,0.926,38.0,0.949,-0.0348,-17.271,24.825,213,284,0.928,0.908,-,"{2016: 0.64, 2017: 0.658, 2018: 1.301, 2019: 1.077, 2020: 1.067, 2021: 1.006, 2022: 0.975, 2023: 0.953, 2024: 0.955, 2025: 0.915, 2026: 0.579}","{2016: 32, 2017: 45, 2018: 63, 2019: 36, 2020: 55, 2021: 48, 2022: 58, 2023: 37, 2024: 57, 2025: 48, 2026: 18}",C2_vwap_slope_steep,T2_shallow_25_38,E1_next_open,ST2_atr1.5,X1_R2,DEAD
C2_vwap_slope_steep|T2_shallow_25_38|E1_next_open|ST2_atr1.5|X2_trail3.5,497,0.926,33.2,1.063,0.0435,21.624,28.287,213,284,1.041,1.019,WATCHLIST_ONE_REGIME,"{2016: 0.779, 2017: 0.723, 2018: 1.738, 2019: 0.886, 2020: 1.35, 2021: 0.688, 2022: 1.448, 2023: 1.157, 2024: 1.074, 2025: 0.712, 2026: 0.393}","{2016: 32, 2017: 45, 2018: 63, 2019: 36, 2020: 55, 2021: 48, 2022: 58, 2023: 37, 2024: 57, 2025: 48, 2026: 18}",C2_vwap_slope_steep,T2_shallow_25_38,E1_next_open,ST2_atr1.5,X2_trail3.5,DEAD
C2_vwap_slope_steep|T2_shallow_25_38|E1_next_open|ST2_atr1.5|X3_new_extreme,497,0.926,55.9,0.859,-0.0705,-35.017,38.668,213,284,0.831,0.804,-,"{2016: 0.633, 2017: 0.474, 2018: 1.156, 2019: 0.793, 2020: 0.99, 2021: 0.897, 2022: 0.718, 2023: 1.058, 2024: 1.045, 2025: 0.829, 2026: 1.029}","{2016: 32, 2017: 45, 2018: 63, 2019: 36, 2020: 55, 2021: 48, 2022: 58, 2023: 37, 2024: 57, 2025: 48, 2026: 18}",C2_vwap_slope_steep,T2_shallow_25_38,E1_next_open,ST2_atr1.5,X3_new_extreme,DEAD
C2_vwap_slope_steep|T2_shallow_25_38|E2_break_pullback|ST1_swing|X1_R2,341,0.635,33.1,0.738,-0.2072,-70.671,69.465,146,195,0.723,0.708,-,"{2016: 0.394, 2017: 0.756, 2018: 0.802, 2019: 0.813, 2020: 0.788, 2021: 0.466, 2022: 0.835, 2023: 1.176, 2024: 0.821, 2025: 0.767, 2026: 0.184}","{2016: 20, 2017: 36, 2018: 45, 2019: 22, 2020: 41, 2021: 31, 2022: 37, 2023: 28, 2024: 39, 2025: 32, 2026: 10}",C2_vwap_slope_steep,T2_shallow_25_38,E2_break_pullback,ST1_swing,X1_R2,DEAD
C2_vwap_slope_steep|T2_shallow_25_38|E2_break_pullback|ST1_swing|X2_trail3.5,341,0.635,24.0,0.884,-0.1008,-34.389,48.741,146,195,0.868,0.853,-,"{2016: 0.833, 2017: 0.932, 2018: 1.37, 2019: 0.951, 2020: 1.081, 2021: 0.123, 2022: 1.463, 2023: 1.445, 2024: 0.64, 2025: 0.356, 2026: 0.0}","{2016: 20, 2017: 36, 2018: 45, 2019: 22, 2020: 41, 2021: 31, 2022: 37, 2023: 28, 2024: 39, 2025: 32, 2026: 10}",C2_vwap_slope_steep,T2_shallow_25_38,E2_break_pullback,ST1_swing,X2_trail3.5,DEAD
C2_vwap_slope_steep|T2_shallow_25_38|E2_break_pullback|ST1_swing|X3_new_extreme,341,0.635,48.7,0.641,-0.1777,-60.595,65.538,146,195,0.617,0.593,-,"{2016: 0.327, 2017: 0.361, 2018: 0.512, 2019: 0.761, 2020: 0.692, 2021: 0.645, 2022: 0.709, 2023: 0.859, 2024: 0.732, 2025: 0.823, 2026: 1.704}","{2016: 20, 2017: 36, 2018: 45, 2019: 22, 2020: 41, 2021: 31, 2022: 37, 2023: 28, 2024: 39, 2025: 32, 2026: 10}",C2_vwap_slope_steep,T2_shallow_25_38,E2_break_pullback,ST1_swing,X3_new_extreme,DEAD
C2_vwap_slope_steep|T2_shallow_25_38|E2_break_pullback|ST2_atr1.5|X1_R2,341,0.635,36.1,0.895,-0.0733,-24.99,35.477,146,195,0.875,0.856,-,"{2016: 0.732, 2017: 0.908, 2018: 1.399, 2019: 1.122, 2020: 0.755, 2021: 0.382, 2022: 1.075, 2023: 1.296, 2024: 0.941, 2025: 0.815, 2026: 0.0}","{2016: 20, 2017: 36, 2018: 45, 2019: 22, 2020: 41, 2021: 31, 2022: 37, 2023: 28, 2024: 39, 2025: 32, 2026: 10}",C2_vwap_slope_steep,T2_shallow_25_38,E2_break_pullback,ST2_atr1.5,X1_R2,DEAD
C2_vwap_slope_steep|T2_shallow_25_38|E2_break_pullback|ST2_atr1.5|X2_trail3.5,341,0.635,32.3,0.983,-0.0116,-3.941,26.385,146,195,0.963,0.942,-,"{2016: 0.934, 2017: 0.802, 2018: 1.901, 2019: 0.752, 2020: 1.051, 2021: 0.342, 2022: 1.555, 2023: 1.484, 2024: 0.772, 2025: 0.533, 2026: 0.0}","{2016: 20, 2017: 36, 2018: 45, 2019: 22, 2020: 41, 2021: 31, 2022: 37, 2023: 28, 2024: 39, 2025: 32, 2026: 10}",C2_vwap_slope_steep,T2_shallow_25_38,E2_break_pullback,ST2_atr1.5,X2_trail3.5,DEAD
C2_vwap_slope_steep|T2_shallow_25_38|E2_break_pullback|ST2_atr1.5|X3_new_extreme,341,0.635,56.0,0.647,-0.1326,-45.206,46.214,146,195,0.614,0.583,-,"{2016: 0.484, 2017: 0.357, 2018: 0.813, 2019: 0.793, 2020: 0.435, 2021: 0.636, 2022: 0.63, 2023: 1.091, 2024: 0.646, 2025: 0.855, 2026: 1.234}","{2016: 20, 2017: 36, 2018: 45, 2019: 22, 2020: 41, 2021: 31, 2022: 37, 2023: 28, 2024: 39, 2025: 32, 2026: 10}",C2_vwap_slope_steep,T2_shallow_25_38,E2_break_pullback,ST2_atr1.5,X3_new_extreme,DEAD
C2_vwap_slope_steep|T3_medium_50_618|E1_next_open|ST1_swing|X1_R2,386,0.718,32.6,0.368,-0.7299,-281.758,281.299,156,230,0.36,0.353,-,"{2016: 0.255, 2017: 0.251, 2018: 0.182, 2019: 0.274, 2020: 0.365, 2021: 0.262, 2022: 0.403, 2023: 0.822, 2024: 0.684, 2025: 0.667, 2026: 0.158}","{2016: 27, 2017: 42, 2018: 51, 2019: 26, 2020: 44, 2021: 32, 2022: 41, 2023: 27, 2024: 46, 2025: 37, 2026: 13}",C2_vwap_slope_steep,T3_medium_50_618,E1_next_open,ST1_swing,X1_R2,DEAD
C2_vwap_slope_steep|T3_medium_50_618|E1_next_open|ST1_swing|X2_trail3.5,386,0.718,12.4,0.5,-0.7715,-297.8,296.032,156,230,0.495,0.49,-,"{2016: 0.261, 2017: 0.578, 2018: 0.387, 2019: 0.308, 2020: 0.512, 2021: 0.0, 2022: 1.189, 2023: 0.54, 2024: 0.953, 2025: 0.365, 2026: 0.0}","{2016: 27, 2017: 42, 2018: 51, 2019: 26, 2020: 44, 2021: 32, 2022: 41, 2023: 27, 2024: 46, 2025: 37, 2026: 13}",C2_vwap_slope_steep,T3_medium_50_618,E1_next_open,ST1_swing,X2_trail3.5,DEAD
C2_vwap_slope_steep|T3_medium_50_618|E1_next_open|ST1_swing|X3_new_extreme,386,0.718,17.1,0.479,-0.7725,-298.193,306.648,156,230,0.474,0.468,-,"{2016: 0.459, 2017: 0.364, 2018: 0.19, 2019: 0.293, 2020: 0.806, 2021: 0.0, 2022: 0.621, 2023: 0.523, 2024: 1.102, 2025: 0.626, 2026: 0.262}","{2016: 27, 2017: 42, 2018: 51, 2019: 26, 2020: 44, 2021: 32, 2022: 41, 2023: 27, 2024: 46, 2025: 37, 2026: 13}",C2_vwap_slope_steep,T3_medium_50_618,E1_next_open,ST1_swing,X3_new_extreme,DEAD
C2_vwap_slope_steep|T3_medium_50_618|E1_next_open|ST2_atr1.5|X1_R2,389,0.724,32.6,0.699,-0.2278,-88.601,87.491,156,233,0.683,0.668,-,"{2016: 0.556, 2017: 0.548, 2018: 0.381, 2019: 0.554, 2020: 0.95, 2021: 0.497, 2022: 1.247, 2023: 1.193, 2024: 0.7, 2025: 0.875, 2026: 0.446}","{2016: 27, 2017: 42, 2018: 52, 2019: 26, 2020: 44, 2021: 32, 2022: 41, 2023: 28, 2024: 47, 2025: 37, 2026: 13}",C2_vwap_slope_steep,T3_medium_50_618,E1_next_open,ST2_atr1.5,X1_R2,DEAD
C2_vwap_slope_steep|T3_medium_50_618|E1_next_open|ST2_atr1.5|X2_trail3.5,389,0.724,29.0,0.828,-0.1302,-50.645,49.638,156,233,0.811,0.795,-,"{2016: 0.458, 2017: 0.818, 2018: 0.703, 2019: 0.664, 2020: 1.269, 2021: 0.484, 2022: 1.754, 2023: 1.015, 2024: 0.532, 2025: 0.889, 2026: 0.332}","{2016: 27, 2017: 42, 2018: 52, 2019: 26, 2020: 44, 2021: 32, 2022: 41, 2023: 28, 2024: 47, 2025: 37, 2026: 13}",C2_vwap_slope_steep,T3_medium_50_618,E1_next_open,ST2_atr1.5,X2_trail3.5,DEAD
C2_vwap_slope_steep|T3_medium_50_618|E1_next_open|ST2_atr1.5|X3_new_extreme,389,0.724,37.8,0.683,-0.2236,-86.961,87.433,156,233,0.666,0.65,-,"{2016: 0.633, 2017: 0.594, 2018: 0.401, 2019: 0.43, 2020: 0.799, 2021: 0.486, 2022: 1.215, 2023: 1.071, 2024: 0.606, 2025: 0.98, 2026: 0.749}","{2016: 27, 2017: 42, 2018: 52, 2019: 26, 2020: 44, 2021: 32, 2022: 41, 2023: 28, 2024: 47, 2025: 37, 2026: 13}",C2_vwap_slope_steep,T3_medium_50_618,E1_next_open,ST2_atr1.5,X3_new_extreme,DEAD
C2_vwap_slope_steep|T3_medium_50_618|E2_break_pullback|ST1_swing|X1_R2,225,0.431,34.2,0.744,-0.1952,-43.919,58.021,82,143,0.728,0.713,-,"{2016: 0.89, 2017: 0.909, 2018: 0.311, 2019: 0.469, 2020: 0.991, 2021: 0.1, 2022: 0.998, 2023: 0.805, 2024: 1.371, 2025: 0.681, 2026: 1.631}","{2016: 11, 2017: 23, 2018: 28, 2019: 13, 2020: 24, 2021: 17, 2022: 26, 2023: 19, 2024: 30, 2025: 26, 2026: 8}",C2_vwap_slope_steep,T3_medium_50_618,E2_break_pullback,ST1_swing,X1_R2,DEAD
C2_vwap_slope_steep|T3_medium_50_618|E2_break_pullback|ST1_swing|X2_trail3.5,225,0.431,22.7,0.797,-0.1745,-39.272,44.754,82,143,0.783,0.769,-,"{2016: 0.53, 2017: 1.298, 2018: 0.658, 2019: 1.192, 2020: 0.95, 2021: 0.0, 2022: 1.828, 2023: 0.792, 2024: 0.593, 2025: 0.538, 2026: 0.321}","{2016: 11, 2017: 23, 2018: 28, 2019: 13, 2020: 24, 2021: 17, 2022: 26, 2023: 19, 2024: 30, 2025: 26, 2026: 8}",C2_vwap_slope_steep,T3_medium_50_618,E2_break_pullback,ST1_swing,X2_trail3.5,DEAD
C2_vwap_slope_steep|T3_medium_50_618|E2_break_pullback|ST1_swing|X3_new_extreme,225,0.431,34.7,0.61,-0.2895,-65.127,69.207,82,143,0.595,0.581,-,"{2016: 0.934, 2017: 0.901, 2018: 0.205, 2019: 0.598, 2020: 0.813, 2021: 0.11, 2022: 1.024, 2023: 0.58, 2024: 0.788, 2025: 0.633, 2026: 0.795}","{2016: 11, 2017: 23, 2018: 28, 2019: 13, 2020: 24, 2021: 17, 2022: 26, 2023: 19, 2024: 30, 2025: 26, 2026: 8}",C2_vwap_slope_steep,T3_medium_50_618,E2_break_pullback,ST1_swing,X3_new_extreme,DEAD
C2_vwap_slope_steep|T3_medium_50_618|E2_break_pullback|ST2_atr1.5|X1_R2,225,0.431,35.1,0.818,-0.1276,-28.703,31.843,82,143,0.799,0.781,-,"{2016: 1.023, 2017: 0.571, 2018: 0.434, 2019: 0.505, 2020: 1.923, 2021: 0.395, 2022: 1.533, 2023: 1.142, 2024: 0.879, 2025: 0.582, 2026: 0.352}","{2016: 11, 2017: 23, 2018: 28, 2019: 13, 2020: 24, 2021: 17, 2022: 26, 2023: 19, 2024: 30, 2025: 26, 2026: 8}",C2_vwap_slope_steep,T3_medium_50_618,E2_break_pullback,ST2_atr1.5,X1_R2,DEAD
C2_vwap_slope_steep|T3_medium_50_618|E2_break_pullback|ST2_atr1.5|X2_trail3.5,225,0.431,30.2,0.917,-0.0585,-13.165,24.146,82,143,0.897,0.878,-,"{2016: 0.79, 2017: 1.041, 2018: 0.685, 2019: 0.952, 2020: 2.476, 2021: 0.358, 2022: 1.675, 2023: 0.812, 2024: 0.528, 2025: 0.628, 2026: 0.363}","{2016: 11, 2017: 23, 2018: 28, 2019: 13, 2020: 24, 2021: 17, 2022: 26, 2023: 19, 2024: 30, 2025: 26, 2026: 8}",C2_vwap_slope_steep,T3_medium_50_618,E2_break_pullback,ST2_atr1.5,X2_trail3.5,DEAD
C2_vwap_slope_steep|T3_medium_50_618|E2_break_pullback|ST2_atr1.5|X3_new_extreme,225,0.431,43.6,0.675,-0.1973,-44.402,46.531,82,143,0.655,0.635,-,"{2016: 1.093, 2017: 0.635, 2018: 0.273, 2019: 0.579, 2020: 1.369, 2021: 0.578, 2022: 1.168, 2023: 0.602, 2024: 0.601, 2025: 0.631, 2026: 0.733}","{2016: 11, 2017: 23, 2018: 28, 2019: 13, 2020: 24, 2021: 17, 2022: 26, 2023: 19, 2024: 30, 2025: 26, 2026: 8}",C2_vwap_slope_steep,T3_medium_50_618,E2_break_pullback,ST2_atr1.5,X3_new_extreme,DEAD
C3_gap_and_go|T1_first_touch_1030|E1_next_open|ST1_swing|X1_R2,535,0.993,30.8,0.379,-0.6885,-368.365,368.835,312,223,0.371,0.364,-,"{2016: 0.26, 2017: 0.155, 2018: 0.397, 2019: 0.361, 2020: 0.399, 2021: 0.539, 2022: 0.585, 2023: 0.354, 2024: 0.479, 2025: 0.468, 2026: 0.288}","{2016: 55, 2017: 52, 2018: 51, 2019: 54, 2020: 57, 2021: 38, 2022: 57, 2023: 46, 2024: 44, 2025: 53, 2026: 28}",C3_gap_and_go,T1_first_touch_1030,E1_next_open,ST1_swing,X1_R2,DEAD
C3_gap_and_go|T1_first_touch_1030|E1_next_open|ST1_swing|X2_trail3.5,535,0.993,14.4,0.62,-0.534,-285.707,297.845,312,223,0.613,0.606,-,"{2016: 0.251, 2017: 0.624, 2018: 0.907, 2019: 0.209, 2020: 1.287, 2021: 0.534, 2022: 0.867, 2023: 0.127, 2024: 0.777, 2025: 0.35, 2026: 1.125}","{2016: 55, 2017: 52, 2018: 51, 2019: 54, 2020: 57, 2021: 38, 2022: 57, 2023: 46, 2024: 44, 2025: 53, 2026: 28}",C3_gap_and_go,T1_first_touch_1030,E1_next_open,ST1_swing,X2_trail3.5,DEAD
C3_gap_and_go|T1_first_touch_1030|E1_next_open|ST1_swing|X3_new_extreme,535,0.993,22.1,0.42,-0.7599,-406.559,415.426,312,223,0.414,0.408,-,"{2016: 0.397, 2017: 0.345, 2018: 0.343, 2019: 0.292, 2020: 0.593, 2021: 0.401, 2022: 0.724, 2023: 0.184, 2024: 0.568, 2025: 0.263, 2026: 0.577}","{2016: 55, 2017: 52, 2018: 51, 2019: 54, 2020: 57, 2021: 38, 2022: 57, 2023: 46, 2024: 44, 2025: 53, 2026: 28}",C3_gap_and_go,T1_first_touch_1030,E1_next_open,ST1_swing,X3_new_extreme,DEAD
C3_gap_and_go|T1_first_touch_1030|E1_next_open|ST2_atr1.5|X1_R2,541,1.004,35.9,0.773,-0.1686,-91.218,93.514,314,227,0.756,0.74,-,"{2016: 0.466, 2017: 0.547, 2018: 0.912, 2019: 0.719, 2020: 0.692, 2021: 0.866, 2022: 1.095, 2023: 0.767, 2024: 1.531, 2025: 0.635, 2026: 0.729}","{2016: 56, 2017: 53, 2018: 53, 2019: 54, 2020: 57, 2021: 38, 2022: 58, 2023: 46, 2024: 44, 2025: 53, 2026: 29}",C3_gap_and_go,T1_first_touch_1030,E1_next_open,ST2_atr1.5,X1_R2,DEAD
C3_gap_and_go|T1_first_touch_1030|E1_next_open|ST2_atr1.5|X2_trail3.5,541,1.004,30.9,0.872,-0.0959,-51.903,68.133,314,227,0.854,0.836,-,"{2016: 0.435, 2017: 0.73, 2018: 1.069, 2019: 0.597, 2020: 0.959, 2021: 0.661, 2022: 1.389, 2023: 0.803, 2024: 1.953, 2025: 0.728, 2026: 0.664}","{2016: 56, 2017: 53, 2018: 53, 2019: 54, 2020: 57, 2021: 38, 2022: 58, 2023: 46, 2024: 44, 2025: 53, 2026: 29}",C3_gap_and_go,T1_first_touch_1030,E1_next_open,ST2_atr1.5,X2_trail3.5,DEAD
C3_gap_and_go|T1_first_touch_1030|E1_next_open|ST2_atr1.5|X3_new_extreme,541,1.004,42.7,0.718,-0.1858,-100.5,104.456,314,227,0.699,0.681,-,"{2016: 0.472, 2017: 0.483, 2018: 0.704, 2019: 0.602, 2020: 0.855, 2021: 0.848, 2022: 0.938, 2023: 0.691, 2024: 1.414, 2025: 0.56, 2026: 0.753}","{2016: 56, 2017: 53, 2018: 53, 2019: 54, 2020: 57, 2021: 38, 2022: 58, 2023: 46, 2024: 44, 2025: 53, 2026: 29}",C3_gap_and_go,T1_first_touch_1030,E1_next_open,ST2_atr1.5,X3_new_extreme,DEAD
C3_gap_and_go|T1_first_touch_1030|E2_break_pullback|ST1_swing|X1_R2,360,0.67,31.1,0.616,-0.3234,-116.435,125.891,201,159,0.603,0.59,-,"{2016: 0.396, 2017: 0.521, 2018: 0.479, 2019: 0.536, 2020: 0.515, 2021: 0.871, 2022: 0.903, 2023: 0.342, 2024: 0.648, 2025: 0.864, 2026: 2.75}","{2016: 40, 2017: 29, 2018: 37, 2019: 35, 2020: 44, 2021: 26, 2022: 37, 2023: 36, 2024: 28, 2025: 35, 2026: 13}",C3_gap_and_go,T1_first_touch_1030,E2_break_pullback,ST1_swing,X1_R2,DEAD
C3_gap_and_go|T1_first_touch_1030|E2_break_pullback|ST1_swing|X2_trail3.5,360,0.67,23.9,0.747,-0.2268,-81.644,82.272,201,159,0.733,0.72,-,"{2016: 0.294, 2017: 1.147, 2018: 1.17, 2019: 0.65, 2020: 0.573, 2021: 0.575, 2022: 1.262, 2023: 0.8, 2024: 0.31, 2025: 0.774, 2026: 0.871}","{2016: 40, 2017: 29, 2018: 37, 2019: 35, 2020: 44, 2021: 26, 2022: 37, 2023: 36, 2024: 28, 2025: 35, 2026: 13}",C3_gap_and_go,T1_first_touch_1030,E2_break_pullback,ST1_swing,X2_trail3.5,DEAD
C3_gap_and_go|T1_first_touch_1030|E2_break_pullback|ST1_swing|X3_new_extreme,360,0.67,39.2,0.536,-0.3313,-119.253,126.332,201,159,0.522,0.507,-,"{2016: 0.369, 2017: 0.531, 2018: 0.451, 2019: 0.504, 2020: 0.357, 2021: 0.397, 2022: 1.08, 2023: 0.43, 2024: 0.462, 2025: 0.569, 2026: 2.524}","{2016: 40, 2017: 29, 2018: 37, 2019: 35, 2020: 44, 2021: 26, 2022: 37, 2023: 36, 2024: 28, 2025: 35, 2026: 13}",C3_gap_and_go,T1_first_touch_1030,E2_break_pullback,ST1_swing,X3_new_extreme,DEAD
C3_gap_and_go|T1_first_touch_1030|E2_break_pullback|ST2_atr1.5|X1_R2,360,0.67,33.9,0.707,-0.2285,-82.257,85.098,201,159,0.692,0.677,-,"{2016: 0.354, 2017: 0.561, 2018: 0.692, 2019: 0.778, 2020: 0.505, 2021: 1.065, 2022: 1.39, 2023: 0.509, 2024: 0.822, 2025: 0.8, 2026: 1.376}","{2016: 40, 2017: 29, 2018: 37, 2019: 35, 2020: 44, 2021: 26, 2022: 37, 2023: 36, 2024: 28, 2025: 35, 2026: 13}",C3_gap_and_go,T1_first_touch_1030,E2_break_pullback,ST2_atr1.5,X1_R2,DEAD
C3_gap_and_go|T1_first_touch_1030|E2_break_pullback|ST2_atr1.5|X2_trail3.5,360,0.67,30.3,0.768,-0.1804,-64.956,67.247,201,159,0.752,0.737,-,"{2016: 0.208, 2017: 0.85, 2018: 1.064, 2019: 0.712, 2020: 0.531, 2021: 0.766, 2022: 1.676, 2023: 0.848, 2024: 0.541, 2025: 0.857, 2026: 1.034}","{2016: 40, 2017: 29, 2018: 37, 2019: 35, 2020: 44, 2021: 26, 2022: 37, 2023: 36, 2024: 28, 2025: 35, 2026: 13}",C3_gap_and_go,T1_first_touch_1030,E2_break_pullback,ST2_atr1.5,X2_trail3.5,DEAD
C3_gap_and_go|T1_first_touch_1030|E2_break_pullback|ST2_atr1.5|X3_new_extreme,360,0.67,47.2,0.605,-0.237,-85.303,90.19,201,159,0.585,0.566,-,"{2016: 0.278, 2017: 0.484, 2018: 0.448, 2019: 0.578, 2020: 0.511, 2021: 0.903, 2022: 1.24, 2023: 0.554, 2024: 0.628, 2025: 0.644, 2026: 1.856}","{2016: 40, 2017: 29, 2018: 37, 2019: 35, 2020: 44, 2021: 26, 2022: 37, 2023: 36, 2024: 28, 2025: 35, 2026: 13}",C3_gap_and_go,T1_first_touch_1030,E2_break_pullback,ST2_atr1.5,X3_new_extreme,DEAD
C3_gap_and_go|T2_shallow_25_38|E1_next_open|ST1_swing|X1_R2,472,0.876,35.4,0.464,-0.5533,-261.17,260.181,285,187,0.454,0.445,-,"{2016: 0.194, 2017: 0.216, 2018: 0.615, 2019: 0.551, 2020: 0.623, 2021: 0.392, 2022: 0.7, 2023: 0.395, 2024: 0.482, 2025: 0.781, 2026: 0.347}","{2016: 51, 2017: 40, 2018: 46, 2019: 46, 2020: 51, 2021: 40, 2022: 47, 2023: 40, 2024: 45, 2025: 44, 2026: 22}",C3_gap_and_go,T2_shallow_25_38,E1_next_open,ST1_swing,X1_R2,DEAD
C3_gap_and_go|T2_shallow_25_38|E1_next_open|ST1_swing|X2_trail3.5,472,0.876,16.1,0.603,-0.554,-261.489,265.902,285,187,0.596,0.589,-,"{2016: 0.764, 2017: 0.369, 2018: 0.716, 2019: 0.654, 2020: 0.512, 2021: 0.436, 2022: 0.259, 2023: 1.356, 2024: 0.955, 2025: 0.359, 2026: 0.101}","{2016: 51, 2017: 40, 2018: 46, 2019: 46, 2020: 51, 2021: 40, 2022: 47, 2023: 40, 2024: 45, 2025: 44, 2026: 22}",C3_gap_and_go,T2_shallow_25_38,E1_next_open,ST1_swing,X2_trail3.5,DEAD
C3_gap_and_go|T2_shallow_25_38|E1_next_open|ST1_swing|X3_new_extreme,472,0.876,32.4,0.531,-0.5428,-256.197,256.672,285,187,0.522,0.514,-,"{2016: 0.21, 2017: 0.309, 2018: 0.779, 2019: 0.616, 2020: 0.962, 2021: 0.333, 2022: 0.227, 2023: 0.883, 2024: 0.699, 2025: 0.73, 2026: 0.248}","{2016: 51, 2017: 40, 2018: 46, 2019: 46, 2020: 51, 2021: 40, 2022: 47, 2023: 40, 2024: 45, 2025: 44, 2026: 22}",C3_gap_and_go,T2_shallow_25_38,E1_next_open,ST1_swing,X3_new_extreme,DEAD
C3_gap_and_go|T2_shallow_25_38|E1_next_open|ST2_atr1.5|X1_R2,479,0.889,38.6,0.875,-0.0891,-42.663,47.671,290,189,0.856,0.837,-,"{2016: 0.537, 2017: 0.597, 2018: 0.873, 2019: 1.089, 2020: 0.778, 2021: 1.227, 2022: 1.372, 2023: 1.073, 2024: 1.479, 2025: 0.517, 2026: 0.312}","{2016: 51, 2017: 43, 2018: 47, 2019: 49, 2020: 51, 2021: 40, 2022: 47, 2023: 40, 2024: 45, 2025: 44, 2026: 22}",C3_gap_and_go,T2_shallow_25_38,E1_next_open,ST2_atr1.5,X1_R2,DEAD
C3_gap_and_go|T2_shallow_25_38|E1_next_open|ST2_atr1.5|X2_trail3.5,479,0.889,32.8,0.857,-0.1031,-49.385,58.492,290,189,0.839,0.821,-,"{2016: 0.613, 2017: 0.745, 2018: 1.079, 2019: 0.544, 2020: 0.546, 2021: 1.142, 2022: 1.527, 2023: 1.452, 2024: 1.281, 2025: 0.511, 2026: 0.147}","{2016: 51, 2017: 43, 2018: 47, 2019: 49, 2020: 51, 2021: 40, 2022: 47, 2023: 40, 2024: 45, 2025: 44, 2026: 22}",C3_gap_and_go,T2_shallow_25_38,E1_next_open,ST2_atr1.5,X2_trail3.5,DEAD
C3_gap_and_go|T2_shallow_25_38|E1_next_open|ST2_atr1.5|X3_new_extreme,479,0.889,57.0,0.696,-0.1525,-73.036,82.695,290,189,0.67,0.645,-,"{2016: 0.455, 2017: 0.367, 2018: 0.667, 2019: 0.651, 2020: 0.492, 2021: 0.762, 2022: 0.746, 2023: 0.865, 2024: 1.59, 2025: 1.061, 2026: 0.67}","{2016: 51, 2017: 43, 2018: 47, 2019: 49, 2020: 51, 2021: 40, 2022: 47, 2023: 40, 2024: 45, 2025: 44, 2026: 22}",C3_gap_and_go,T2_shallow_25_38,E1_next_open,ST2_atr1.5,X3_new_extreme,DEAD
C3_gap_and_go|T2_shallow_25_38|E2_break_pullback|ST1_swing|X1_R2,353,0.655,35.4,0.714,-0.2304,-81.317,80.769,209,144,0.699,0.684,-,"{2016: 0.443, 2017: 0.525, 2018: 0.95, 2019: 1.552, 2020: 0.393, 2021: 1.055, 2022: 0.32, 2023: 1.177, 2024: 1.077, 2025: 0.741, 2026: 0.328}","{2016: 38, 2017: 28, 2018: 34, 2019: 37, 2020: 39, 2021: 30, 2022: 36, 2023: 27, 2024: 31, 2025: 34, 2026: 19}",C3_gap_and_go,T2_shallow_25_38,E2_break_pullback,ST1_swing,X1_R2,DEAD
C3_gap_and_go|T2_shallow_25_38|E2_break_pullback|ST1_swing|X2_trail3.5,353,0.655,24.9,0.789,-0.1867,-65.906,69.321,209,144,0.775,0.762,-,"{2016: 0.603, 2017: 0.864, 2018: 1.335, 2019: 0.693, 2020: 0.304, 2021: 1.081, 2022: 0.356, 2023: 2.429, 2024: 1.168, 2025: 0.381, 2026: 0.433}","{2016: 38, 2017: 28, 2018: 34, 2019: 37, 2020: 39, 2021: 30, 2022: 36, 2023: 27, 2024: 31, 2025: 34, 2026: 19}",C3_gap_and_go,T2_shallow_25_38,E2_break_pullback,ST1_swing,X2_trail3.5,DEAD
