group,n,mean_rth_range_atr,median_rth_range_atr,mean_first30m_ret_atr_abs,pct_trend_days
NQ-active,685,0.9013494182875261,0.8244264452494298,0.16533208813662048,2.9197080291970803
NQ-quiet,446,0.9286338417007528,0.8538129143326766,0.17580578689714815,3.1390134529147984
