tag,direction,n,wr,pf,expr,totr,per_year,removed_n,removed_wr,removed_totr,phi,overlap_pct,auditor_flag
w3_upthrust_aligned_30m,avoid,406,59.1,2.329,0.4305,174.8,"{""2021"": 25.6, ""2022"": 24.9, ""2023"": 39.7, ""2024"": 19.1, ""2025"": 51.9, ""2026"": 13.6}",29,51.7,9.2,-0.101,46.0,False
w3_upthrust_aligned_1h,keep,32,43.8,1.399,0.1475,4.7,"{""2021"": 1.3, ""2022"": 1.2, ""2023"": -3.0, ""2024"": 0.7, ""2025"": 5.5, ""2026"": -1.1}",403,59.8,179.2,-0.104,46.4,False
w3_upthrust_aligned_1h,avoid,403,59.8,2.39,0.4447,179.2,"{""2021"": 26.6, ""2022"": 26.7, ""2023"": 40.9, ""2024"": 18.1, ""2025"": 52.4, ""2026"": 14.6}",32,43.8,4.7,-0.104,46.4,False
w4_sos_aligned_15m,keep,165,58.2,2.084,0.3972,65.5,"{""2021"": 5.3, ""2022"": 4.2, ""2023"": 18.3, ""2024"": 6.6, ""2025"": 18.7, ""2026"": 12.5}",270,58.9,118.4,0.058,65.5,False
w4_sos_aligned_15m,avoid,270,58.9,2.474,0.4385,118.4,"{""2021"": 22.7, ""2022"": 23.7, ""2023"": 19.7, ""2024"": 12.1, ""2025"": 39.2, ""2026"": 1.1}",165,58.2,65.5,0.058,65.5,False
w4_sos_aligned_30m,keep,149,56.4,1.923,0.3523,52.5,"{""2021"": 3.0, ""2022"": 6.7, ""2023"": 16.1, ""2024"": 2.0, ""2025"": 17.4, ""2026"": 7.3}",286,59.8,131.4,0.048,65.1,False
w4_sos_aligned_30m,avoid,286,59.8,2.566,0.4596,131.4,"{""2021"": 25.0, ""2022"": 21.2, ""2023"": 21.8, ""2024"": 16.8, ""2025"": 40.5, ""2026"": 6.3}",149,56.4,52.5,0.048,65.1,False
w4_sos_aligned_1h,keep,91,51.6,1.414,0.1855,16.9,"{""2021"": 3.4, ""2022"": -0.4, ""2023"": 3.1, ""2024"": -1.1, ""2025"": 10.6, ""2026"": 1.3}",344,60.5,167.1,0.062,67.9,False
w4_sos_aligned_1h,avoid,344,60.5,2.67,0.4856,167.1,"{""2021"": 24.5, ""2022"": 28.3, ""2023"": 34.9, ""2024"": 19.9, ""2025"": 47.3, ""2026"": 12.3}",91,51.6,16.9,0.062,67.9,False
w4_sow_aligned_15m,keep,193,61.1,2.966,0.4948,95.5,"{""2021"": 15.7, ""2022"": 16.3, ""2023"": 12.8, ""2024"": 13.7, ""2025"": 35.4, ""2026"": 1.6}",242,56.6,88.4,-0.03,60.1,False
w4_sow_aligned_15m,avoid,242,56.6,1.959,0.3654,88.4,"{""2021"": 12.3, ""2022"": 11.5, ""2023"": 25.2, ""2024"": 5.0, ""2025"": 22.5, ""2026"": 11.9}",193,61.1,95.5,-0.03,60.1,False
w4_sow_aligned_30m,keep,166,59.0,2.664,0.4454,73.9,"{""2021"": 12.8, ""2022"": 13.4, ""2023"": 10.5, ""2024"": 16.6, ""2025"": 22.8, ""2026"": -2.2}",269,58.4,110.0,-0.011,61.0,False
w4_sow_aligned_30m,avoid,269,58.4,2.142,0.409,110.0,"{""2021"": 15.1, ""2022"": 14.5, ""2023"": 27.4, ""2024"": 2.1, ""2025"": 35.1, ""2026"": 15.8}",166,59.0,73.9,-0.011,61.0,False
w4_sow_aligned_1h,keep,106,63.2,2.978,0.4947,52.4,"{""2021"": 10.8, ""2022"": 4.3, ""2023"": 8.2, ""2024"": 6.7, ""2025"": 20.0, ""2026"": 2.5}",329,57.1,131.5,0.003,62.0,False
w4_sow_aligned_1h,avoid,329,57.1,2.151,0.3997,131.5,"{""2021"": 17.1, ""2022"": 23.6, ""2023"": 29.8, ""2024"": 12.0, ""2025"": 37.9, ""2026"": 11.1}",106,63.2,52.4,0.003,62.0,False
w4_opposed_15m,keep,233,60.9,2.568,0.4777,111.3,"{""2021"": 12.4, ""2022"": 9.8, ""2023"": 21.8, ""2024"": 24.5, ""2025"": 36.2, ""2026"": 6.6}",202,55.9,72.6,-0.096,57.7,False
w4_opposed_15m,avoid,202,55.9,2.04,0.3595,72.6,"{""2021"": 15.6, ""2022"": 18.1, ""2023"": 16.1, ""2024"": -5.8, ""2025"": 21.7, ""2026"": 7.0}",233,60.9,111.3,-0.096,57.7,False
w4_opposed_30m,keep,184,60.9,2.503,0.4798,88.3,"{""2021"": 9.0, ""2022"": 10.7, ""2023"": 17.4, ""2024"": 18.8, ""2025"": 26.4, ""2026"": 6.0}",251,57.0,95.7,-0.061,58.4,False
w4_opposed_30m,avoid,251,57.0,2.166,0.3811,95.7,"{""2021"": 19.0, ""2022"": 17.2, ""2023"": 20.6, ""2024"": -0.1, ""2025"": 31.5, ""2026"": 7.6}",184,60.9,88.3,-0.061,58.4,False
w4_opposed_1h,keep,92,57.6,2.154,0.4157,38.2,"{""2021"": 7.4, ""2022"": 4.1, ""2023"": 8.9, ""2024"": 7.6, ""2025"": 10.6, ""2026"": -0.3}",343,58.9,145.7,-0.03,59.0,False
w4_opposed_1h,avoid,343,58.9,2.353,0.4248,145.7,"{""2021"": 20.6, ""2022"": 23.8, ""2023"": 29.1, ""2024"": 11.1, ""2025"": 47.3, ""2026"": 13.9}",92,57.6,38.2,-0.03,59.0,False
w5_lps_aligned_15m,keep,59,64.4,2.716,0.5027,29.7,"{""2021"": 0.9, ""2022"": 1.4, ""2023"": 7.2, ""2024"": 1.4, ""2025"": 11.3, ""2026"": 7.5}",376,57.7,154.3,0.12,78.7,False
w5_lps_aligned_15m,avoid,376,57.7,2.249,0.4103,154.3,"{""2021"": 27.1, ""2022"": 26.4, ""2023"": 30.8, ""2024"": 17.3, ""2025"": 46.6, ""2026"": 6.1}",59,64.4,29.7,0.12,78.7,False
w5_lps_aligned_30m,keep,39,59.0,1.942,0.319,12.4,"{""2021"": 0.1, ""2022"": 0.9, ""2023"": 4.1, ""2024"": 0.4, ""2025"": 3.1, ""2026"": 3.8}",396,58.6,171.5,0.101,79.6,False
w5_lps_aligned_30m,avoid,396,58.6,2.344,0.4331,171.5,"{""2021"": 27.8, ""2022"": 26.9, ""2023"": 33.9, ""2024"": 18.3, ""2025"": 54.8, ""2026"": 9.8}",39,59.0,12.4,0.101,79.6,False
w5_lps_aligned_1h,keep,12,66.7,2.092,0.369,4.4,"{""2021"": -1.0, ""2022"": 1.5, ""2023"": 1.5, ""2024"": 1.0, ""2025"": 0.1, ""2026"": 1.4}",423,58.4,179.5,0.07,85.7,False
w5_lps_aligned_1h,avoid,423,58.4,2.313,0.4244,179.5,"{""2021"": 29.0, ""2022"": 26.3, ""2023"": 36.5, ""2024"": 17.7, ""2025"": 57.8, ""2026"": 12.2}",12,66.7,4.4,0.07,85.7,False
w5_lpsy_aligned_15m,keep,83,72.3,4.844,0.6597,54.8,"{""2021"": 7.9, ""2022"": 5.3, ""2023"": 10.6, ""2024"": 10.1, ""2025"": 13.8, ""2026"": 7.0}",352,55.4,129.2,0.127,76.1,False
w5_lpsy_aligned_15m,avoid,352,55.4,2.021,0.367,129.2,"{""2021"": 20.0, ""2022"": 22.5, ""2023"": 27.3, ""2024"": 8.6, ""2025"": 44.1, ""2026"": 6.5}",83,72.3,54.8,0.127,76.1,False
w5_lpsy_aligned_30m,keep,46,67.4,3.707,0.5652,26.0,"{""2021"": 3.4, ""2022"": 5.0, ""2023"": 5.3, ""2024"": 2.8, ""2025"": 8.2, ""2026"": 1.3}",389,57.6,157.9,0.08,74.2,False
w5_lpsy_aligned_30m,avoid,389,57.6,2.204,0.406,157.9,"{""2021"": 24.5, ""2022"": 22.9, ""2023"": 32.7, ""2024"": 16.0, ""2025"": 49.7, ""2026"": 12.2}",46,67.4,26.0,0.08,74.2,False
w5_lpsy_aligned_1h,keep,21,61.9,2.567,0.3725,7.8,"{""2021"": 1.9, ""2022"": -0.1, ""2023"": 2.6, ""2024"": 0.6, ""2025"": 2.9, ""2026"": -0.1}",414,58.5,176.1,0.077,80.8,False
w5_lpsy_aligned_1h,avoid,414,58.5,2.297,0.4254,176.1,"{""2021"": 26.0, ""2022"": 27.9, ""2023"": 35.4, ""2024"": 18.1, ""2025"": 55.0, ""2026"": 13.7}",21,61.9,7.8,0.077,80.8,False
w6_failedbrk_aligned_15m,keep,1,100.0,inf,0.7313,0.7,"{""2024"": 0.7}",434,58.5,183.2,-0.038,33.3,False
w6_failedbrk_aligned_15m,avoid,434,58.5,2.301,0.4221,183.2,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.0, ""2025"": 57.9, ""2026"": 13.6}",1,100.0,0.7,-0.038,33.3,False
w6_failedbrk_aligned_30m,keep,10,80.0,3.783,0.5909,5.9,"{""2021"": 1.4, ""2022"": 1.1, ""2023"": 2.2, ""2024"": 0.7, ""2026"": 0.5}",425,58.1,178.0,-0.101,37.0,False
w6_failedbrk_aligned_30m,avoid,425,58.1,2.284,0.4189,178.0,"{""2021"": 26.6, ""2022"": 26.7, ""2023"": 35.8, ""2024"": 18.0, ""2025"": 57.9, ""2026"": 13.1}",10,80.0,5.9,-0.101,37.0,False
w6_failedbrk_aligned_1h,keep,19,42.1,0.955,-0.0184,-0.3,"{""2021"": -1.1, ""2022"": -0.3, ""2023"": -0.6, ""2024"": 0.7, ""2025"": 0.0, ""2026"": 1.0}",416,59.4,184.3,-0.152,35.8,False
w6_failedbrk_aligned_1h,avoid,416,59.4,2.385,0.443,184.3,"{""2021"": 29.0, ""2022"": 28.2, ""2023"": 38.5, ""2024"": 18.0, ""2025"": 57.9, ""2026"": 12.6}",19,42.1,-0.3,-0.152,35.8,False
w6_failedbrk_opposed_15m,keep,19,57.9,3.315,0.5519,10.5,"{""2021"": 1.5, ""2022"": 1.1, ""2023"": 0.1, ""2024"": 0.5, ""2025"": 6.0, ""2026"": 1.3}",416,58.7,173.5,0.007,63.3,False
w6_failedbrk_opposed_15m,avoid,416,58.7,2.273,0.417,173.5,"{""2021"": 26.4, ""2022"": 26.8, ""2023"": 37.9, ""2024"": 18.3, ""2025"": 51.9, ""2026"": 12.2}",19,57.9,10.5,0.007,63.3,False
w6_failedbrk_opposed_30m,keep,18,61.1,2.418,0.4585,8.3,"{""2022"": 2.9, ""2023"": 3.2, ""2024"": -1.0, ""2025"": 2.0, ""2026"": 1.2}",417,58.5,175.7,0.03,69.2,False
w6_failedbrk_opposed_30m,avoid,417,58.5,2.302,0.4213,175.7,"{""2021"": 27.9, ""2022"": 25.0, ""2023"": 34.8, ""2024"": 19.7, ""2025"": 55.9, ""2026"": 12.3}",18,61.1,8.3,0.03,69.2,False
w6_failedbrk_opposed_1h,keep,7,28.6,0.717,-0.1353,-0.9,"{""2021"": -0.0, ""2023"": -0.3, ""2024"": -2.0, ""2025"": 2.4, ""2026"": -1.0}",428,59.1,184.9,0.005,63.6,False
w6_failedbrk_opposed_1h,avoid,428,59.1,2.345,0.432,184.9,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.3, ""2024"": 20.8, ""2025"": 55.5, ""2026"": 14.6}",7,28.6,-0.9,0.005,63.6,False
w7_absorption_aligned_15m,keep,0,0.0,,0.0,0.0,{},435,58.6,183.9,,0.0,False
w7_absorption_aligned_15m,avoid,435,58.6,2.306,0.4229,183.9,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 13.6}",0,,0.0,,0.0,False
w7_absorption_aligned_30m,keep,5,20.0,0.486,-0.3166,-1.6,"{""2021"": -1.0, ""2022"": 1.5, ""2023"": -1.0, ""2024"": -1.0, ""2026"": -0.0}",430,59.1,185.5,0.02,71.4,False
w7_absorption_aligned_30m,avoid,430,59.1,2.347,0.4315,185.5,"{""2021"": 29.0, ""2022"": 26.4, ""2023"": 39.0, ""2024"": 19.7, ""2025"": 57.9, ""2026"": 13.6}",5,20.0,-1.6,0.02,71.4,False
w7_absorption_aligned_1h,keep,20,40.0,0.968,-0.015,-0.3,"{""2021"": 0.5, ""2022"": 3.3, ""2023"": -3.7, ""2024"": 0.7, ""2025"": -1.0, ""2026"": -0.0}",415,59.5,184.2,-0.059,50.0,False
w7_absorption_aligned_1h,avoid,415,59.5,2.401,0.444,184.2,"{""2021"": 27.5, ""2022"": 24.6, ""2023"": 41.6, ""2024"": 18.0, ""2025"": 58.9, ""2026"": 13.6}",20,40.0,-0.3,-0.059,50.0,False
w8_chop_15m,keep,0,0.0,,0.0,0.0,{},435,58.6,183.9,,0.0,False
w8_chop_15m,avoid,435,58.6,2.306,0.4229,183.9,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 13.6}",0,,0.0,,0.0,False
w8_chop_30m,keep,0,0.0,,0.0,0.0,{},435,58.6,183.9,,0.0,False
w8_chop_30m,avoid,435,58.6,2.306,0.4229,183.9,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 13.6}",0,,0.0,,0.0,False
w8_chop_1h,keep,0,0.0,,0.0,0.0,{},435,58.6,183.9,,0.0,False
w8_chop_1h,avoid,435,58.6,2.306,0.4229,183.9,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 13.6}",0,,0.0,,0.0,False
w9_accum_15m,keep,312,58.0,2.255,0.407,127.0,"{""2021"": 14.0, ""2022"": 12.8, ""2023"": 27.7, ""2024"": 17.2, ""2025"": 43.9, ""2026"": 11.4}",123,60.2,57.0,-0.034,60.7,False
w9_accum_15m,avoid,123,60.2,2.437,0.4631,57.0,"{""2021"": 14.0, ""2022"": 15.1, ""2023"": 10.2, ""2024"": 1.5, ""2025"": 14.0, ""2026"": 2.1}",312,58.0,127.0,-0.034,60.7,False
w9_accum_30m,keep,268,56.0,2.017,0.3583,96.0,"{""2021"": 9.8, ""2022"": 15.7, ""2023"": 21.1, ""2024"": 9.8, ""2025"": 32.4, ""2026"": 7.3}",167,62.9,87.9,-0.059,59.6,False
w9_accum_30m,avoid,167,62.9,2.897,0.5264,87.9,"{""2021"": 18.2, ""2022"": 12.2, ""2023"": 16.9, ""2024"": 8.9, ""2025"": 25.5, ""2026"": 6.3}",268,56.0,96.0,-0.059,59.6,False
w9_accum_1h,keep,148,52.7,1.619,0.2503,37.0,"{""2021"": 7.2, ""2022"": 3.6, ""2023"": 7.1, ""2024"": 0.2, ""2025"": 19.9, ""2026"": -0.9}",287,61.7,146.9,0.003,61.9,False
w9_accum_1h,avoid,287,61.7,2.815,0.5118,146.9,"{""2021"": 20.7, ""2022"": 24.3, ""2023"": 30.8, ""2024"": 18.5, ""2025"": 38.0, ""2026"": 14.5}",148,52.7,37.0,0.003,61.9,False
w9_dist_15m,keep,83,66.3,3.583,0.6059,50.3,"{""2021"": 8.0, ""2022"": 11.2, ""2023"": 9.9, ""2024"": 5.1, ""2025"": 15.0, ""2026"": 1.2}",352,56.8,133.7,0.03,64.8,False
w9_dist_15m,avoid,352,56.8,2.102,0.3797,133.7,"{""2021"": 20.0, ""2022"": 16.6, ""2023"": 28.1, ""2024"": 13.7, ""2025"": 42.9, ""2026"": 12.4}",83,66.3,50.3,0.03,64.8,False
w9_dist_30m,keep,106,64.2,3.094,0.52,55.1,"{""2021"": 9.7, ""2022"": 12.3, ""2023"": 12.6, ""2024"": 7.4, ""2025"": 13.2, ""2026"": -0.0}",329,56.8,128.8,0.051,66.2,False
w9_dist_30m,avoid,329,56.8,2.125,0.3916,128.8,"{""2021"": 18.2, ""2022"": 15.6, ""2023"": 25.3, ""2024"": 11.3, ""2025"": 44.7, ""2026"": 13.6}",106,64.2,55.1,0.051,66.2,False
w9_dist_1h,keep,99,65.7,3.149,0.5508,54.5,"{""2021"": 7.5, ""2022"": 8.4, ""2023"": 9.4, ""2024"": 6.1, ""2025"": 19.7, ""2026"": 3.3}",336,56.5,129.4,-0.002,61.5,False
w9_dist_1h,avoid,336,56.5,2.121,0.3852,129.4,"{""2021"": 20.4, ""2022"": 19.4, ""2023"": 28.5, ""2024"": 12.6, ""2025"": 38.2, ""2026"": 10.2}",99,65.7,54.5,-0.002,61.5,False
w9_markup_15m,keep,0,0.0,,0.0,0.0,{},435,58.6,183.9,,0.0,False
w9_markup_15m,avoid,435,58.6,2.306,0.4229,183.9,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 13.6}",0,,0.0,,0.0,False
w9_markup_30m,keep,2,50.0,0.959,-0.0209,-0.0,"{""2026"": -0.0}",433,58.7,184.0,0.042,100.0,False
w9_markup_30m,avoid,433,58.7,2.316,0.4249,184.0,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 13.6}",2,50.0,-0.0,0.042,100.0,False
w9_markup_1h,keep,41,56.1,3.087,0.5146,21.1,"{""2021"": 4.5, ""2022"": 1.5, ""2023"": 9.1, ""2024"": 0.4, ""2025"": 6.9, ""2026"": -1.3}",394,58.9,162.8,0.035,67.2,False
w9_markup_1h,avoid,394,58.9,2.246,0.4133,162.8,"{""2021"": 23.5, ""2022"": 26.3, ""2023"": 28.8, ""2024"": 18.4, ""2025"": 51.0, ""2026"": 14.9}",41,56.1,21.1,0.035,67.2,False
w9_markdown_15m,keep,1,100.0,inf,1.4999,1.5,"{""2026"": 1.5}",434,58.5,182.4,0.03,100.0,False
w9_markdown_15m,avoid,434,58.5,2.296,0.4204,182.4,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 12.1}",1,100.0,1.5,0.03,100.0,False
w9_markdown_30m,keep,0,0.0,,0.0,0.0,{},435,58.6,183.9,,0.0,False
w9_markdown_30m,avoid,435,58.6,2.306,0.4229,183.9,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 13.6}",0,,0.0,,0.0,False
w9_markdown_1h,keep,30,53.3,1.927,0.3006,9.0,"{""2021"": 2.0, ""2022"": 0.4, ""2023"": 0.9, ""2024"": 5.0, ""2025"": 0.0, ""2026"": 0.7}",405,59.0,174.9,-0.023,57.7,False
w9_markdown_1h,avoid,405,59.0,2.335,0.4319,174.9,"{""2021"": 26.0, ""2022"": 27.4, ""2023"": 37.0, ""2024"": 13.8, ""2025"": 57.9, ""2026"": 12.9}",30,53.3,9.0,-0.023,57.7,True
w9_none_15m,keep,39,46.2,1.256,0.1326,5.2,"{""2021"": 6.0, ""2022"": 3.9, ""2023"": 0.4, ""2024"": -3.6, ""2025"": -1.0, ""2026"": -0.5}",396,59.8,178.8,0.008,62.9,False
