range_tf,sig_tf,session,model,status,gate,canary_pass,overlap_ny_pct,lookback,exit_type,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts,per_year
30m,5m,ny_am,W1+W11,REJECTED,PF 0.95 < 1.15,,,40.0,fixed2r,732,1.1316,36.2,0.95,-0.037,-27.1,-37.6,15.29,null
30m,5m,ny_am,W2,REJECTED,PF 0.73 < 1.15,,,40.0,fixed2r,2008,3.1042,32.0,0.73,-0.213,-428.5,-439.2,11.34,null
30m,5m,ny_am,W3,REJECTED,PF 0.41 < 1.15,,,40.0,fixed2r,11,0.017,27.3,0.41,-0.649,-7.1,-7.3,4.11,null
30m,5m,ny_am,W3+W11,REJECTED,PF 0.30 < 1.15,,,20.0,fixed2r,213,0.3293,20.7,0.3,-0.796,-169.5,-173.2,4.45,null
30m,5m,ny_am,W4,REJECTED,PF 0.38 < 1.15,,,20.0,fixed2r,135,0.2087,24.4,0.38,-0.646,-87.2,-87.6,4.8,null
30m,5m,ny_am,W5,REJECTED,PF 0.87 < 1.15,,,40.0,target_or_2r,2388,3.6917,38.5,0.87,-0.094,-225.0,-225.6,16.23,null
30m,5m,ny_am,W6,REJECTED,PF 1.11 < 1.15,,,40.0,fixed2r,11,0.017,45.5,1.11,0.055,0.6,-4.1,38.42,null
30m,5m,ny_am,W7,REJECTED,PF 0.30 < 1.15,,,40.0,fixed2r,645,0.9971,21.1,0.3,-0.772,-498.0,-497.2,5.22,null
30m,5m,ny_am,W8,REJECTED,PF 0.50 < 1.15,,,40.0,fixed2r,226,0.3494,29.2,0.5,-0.474,-107.2,-107.6,7.28,null
30m,5m,24h-control,W1,REJECTED,PF 0.83 < 1.15,,,40.0,fixed2r,6635,10.2573,34.5,0.83,-0.126,-833.7,-841.1,12.58,null
30m,5m,24h-control,W1+W11,REJECTED,PF 0.88 < 1.15,,,40.0,fixed2r,1426,2.2045,35.2,0.88,-0.092,-130.8,-130.9,12.8,null
30m,5m,24h-control,W2,REJECTED,PF 0.67 < 1.15,,,20.0,fixed2r,17017,26.3072,32.2,0.67,-0.281,-4788.8,-4808.5,7.22,null
30m,5m,24h-control,W3,REJECTED,PF 0.27 < 1.15,,,20.0,fixed2r,715,1.1053,20.1,0.27,-0.852,-608.9,-609.2,4.27,null
30m,5m,24h-control,W3+W11,REJECTED,PF 0.27 < 1.15,,,20.0,fixed2r,395,0.6106,20.8,0.27,-0.845,-333.9,-332.3,4.35,null
30m,5m,24h-control,W4,REJECTED,PF 0.36 < 1.15,,,40.0,fixed2r,55,0.085,23.6,0.36,-0.702,-38.6,-37.2,6.7,null
30m,5m,24h-control,W5,REJECTED,PF 0.79 < 1.15,,,40.0,target_or_2r,9630,14.8874,35.9,0.79,-0.163,-1571.0,-1588.2,11.42,null
30m,5m,24h-control,W6,REJECTED,PF 0.79 < 1.15,,,20.0,fixed2r,165,0.2551,29.1,0.79,-0.142,-23.5,-42.4,16.03,null
30m,5m,24h-control,W7,REJECTED,PF 0.26 < 1.15,,,40.0,fixed2r,1864,2.8816,21.3,0.26,-0.876,-1632.6,-1633.4,3.56,null
30m,5m,24h-control,W8,REJECTED,PF 0.39 < 1.15,,,40.0,fixed2r,709,1.0961,25.4,0.39,-0.648,-459.3,-460.5,5.49,null
1h,5m,asia,W1,REJECTED,PF 0.99 < 1.15,,,40.0,fixed2r,545,0.8425,38.7,0.99,-0.004,-2.3,-45.6,11.35,null
1h,5m,asia,W1+W11,REJECTED,PF 0.97 < 1.15,,,40.0,fixed2r,91,0.1407,37.4,0.97,-0.025,-2.3,-18.6,12.31,null
1h,5m,asia,W2,REJECTED,PF 0.69 < 1.15,,,20.0,fixed2r,1353,2.0917,33.7,0.69,-0.264,-357.2,-358.0,5.87,null
1h,5m,asia,W3,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
1h,5m,asia,W3+W11,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
1h,5m,asia,W4,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
1h,5m,asia,W5,REJECTED,PF 0.77 < 1.15,,,20.0,target_or_2r,1677,2.5925,34.9,0.77,-0.181,-303.6,-306.6,8.5,null
1h,5m,asia,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
1h,5m,asia,W7,REJECTED,PF 0.26 < 1.15,,,40.0,fixed2r,119,0.184,27.7,0.26,-0.969,-115.3,-118.1,2.09,null
1h,5m,asia,W8,REJECTED,PF 0.27 < 1.15,,,40.0,fixed2r,102,0.1577,22.5,0.27,-0.954,-97.3,-94.8,3.15,null
1h,5m,london,W1,REJECTED,PF 0.70 < 1.15,,,40.0,fixed2r,397,0.6137,33.0,0.7,-0.253,-100.6,-120.5,7.1,null
1h,5m,london,W1+W11,REJECTED,PF 0.92 < 1.15,,,20.0,fixed2r,228,0.3525,38.6,0.92,-0.059,-13.4,-30.4,7.75,null
1h,5m,london,W2,REJECTED,PF 0.65 < 1.15,,,20.0,fixed2r,887,1.3712,33.9,0.65,-0.303,-269.1,-291.0,4.65,null
1h,5m,london,W3,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
1h,5m,london,W3+W11,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
1h,5m,london,W4,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
1h,5m,london,W5,REJECTED,PF 0.72 < 1.15,,,20.0,target_or_2r,1336,2.0654,34.2,0.72,-0.235,-313.5,-314.5,6.75,null
1h,5m,london,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
1h,5m,london,W7,REJECTED,PF 0.21 < 1.15,,,20.0,fixed2r,295,0.4561,22.0,0.21,-0.992,-292.7,-294.8,2.28,null
1h,5m,london,W8,REJECTED,PF 0.37 < 1.15,,,40.0,fixed2r,114,0.1762,28.1,0.37,-0.705,-80.4,-83.7,3.19,null
1h,5m,pre_ny,W1,REJECTED,PF 0.94 < 1.15,,,20.0,fixed2r,564,0.8719,37.6,0.94,-0.045,-25.4,-52.5,11.57,null
1h,5m,pre_ny,W1+W11,REJECTED,tr/wk 0.314 < 0.5,,,20.0,fixed2r,203,0.3138,41.9,1.18,0.118,24.0,-18.1,13.92,null
1h,5m,pre_ny,W2,REJECTED,PF 0.76 < 1.15,,,40.0,fixed2r,194,0.2999,35.6,0.76,-0.193,-37.4,-42.4,7.05,null
1h,5m,pre_ny,W3,REJECTED,PF 0.40 < 1.15,,,20.0,fixed2r,16,0.0247,25.0,0.4,-0.646,-10.3,-12.2,8.96,null
1h,5m,pre_ny,W3+W11,REJECTED,PF 0.16 < 1.15,,,20.0,fixed2r,31,0.0479,9.7,0.16,-1.005,-31.2,-30.0,10.29,null
1h,5m,pre_ny,W4,REJECTED,PF 0.49 < 1.15,,,40.0,fixed2r,13,0.0201,30.8,0.49,-0.55,-7.1,-9.6,3.56,null
1h,5m,pre_ny,W5,REJECTED,PF 0.74 < 1.15,,,20.0,target_or_2r,816,1.2615,36.0,0.74,-0.196,-159.9,-171.5,11.94,null
1h,5m,pre_ny,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
1h,5m,pre_ny,W7,REJECTED,PF 0.28 < 1.15,,,20.0,fixed2r,384,0.5936,22.7,0.28,-0.834,-320.3,-324.8,3.8,null
1h,5m,pre_ny,W8,REJECTED,PF 0.32 < 1.15,,,20.0,fixed2r,251,0.388,22.3,0.32,-0.75,-188.1,-191.4,5.9,null
1h,5m,ny_am,W1,REJECTED,PF 0.95 < 1.15,,,40.0,fixed2r,829,1.2816,36.9,0.95,-0.034,-28.2,-63.9,13.08,null
1h,5m,ny_am,W1+W11,REJECTED,PF 0.92 < 1.15,,,20.0,fixed2r,884,1.3666,35.6,0.92,-0.055,-48.9,-92.0,14.6,null
1h,5m,ny_am,W2,REJECTED,PF 0.89 < 1.15,,,40.0,fixed2r,889,1.3743,37.2,0.89,-0.085,-75.2,-126.5,8.3,null
1h,5m,ny_am,W3,REJECTED,PF 0.48 < 1.15,,,20.0,fixed2r,14,0.0216,28.6,0.48,-0.545,-7.6,-9.7,4.22,null
1h,5m,ny_am,W3+W11,REJECTED,PF 0.63 < 1.15,,,20.0,fixed2r,11,0.017,36.4,0.63,-0.374,-4.1,-6.2,4.11,null
1h,5m,ny_am,W4,REJECTED,PF 0.37 < 1.15,,,40.0,fixed2r,24,0.0371,29.2,0.37,-0.669,-16.1,-19.2,3.59,null
1h,5m,ny_am,W5,REJECTED,PF 0.89 < 1.15,,,20.0,target_or_2r,2724,4.2111,39.5,0.89,-0.077,-209.2,-212.3,16.06,null
1h,5m,ny_am,W6,REJECTED,tr/wk 0.020 < 0.5,,,20.0,fixed2r,13,0.0201,46.2,1.15,0.072,0.9,-4.7,38.42,null
1h,5m,ny_am,W7,REJECTED,PF 0.38 < 1.15,,,40.0,fixed2r,308,0.4761,25.6,0.38,-0.662,-204.0,-208.4,4.59,null
1h,5m,ny_am,W8,REJECTED,PF 0.45 < 1.15,,,20.0,fixed2r,245,0.3788,26.5,0.45,-0.541,-132.5,-132.8,7.15,null
1h,5m,24h-control,W1,REJECTED,PF 0.86 < 1.15,,,40.0,fixed2r,4079,6.3059,35.1,0.86,-0.108,-441.3,-443.9,12.14,null
1h,5m,24h-control,W1+W11,REJECTED,PF 0.93 < 1.15,,,40.0,fixed2r,801,1.2383,37.2,0.93,-0.05,-40.0,-102.1,11.6,null
1h,5m,24h-control,W2,REJECTED,PF 0.73 < 1.15,,,40.0,fixed2r,4358,6.7372,34.4,0.73,-0.222,-967.1,-1014.5,6.69,null
1h,5m,24h-control,W3,REJECTED,PF 0.28 < 1.15,,,20.0,fixed2r,36,0.0557,19.4,0.28,-0.811,-29.2,-32.8,5.46,null
1h,5m,24h-control,W3+W11,REJECTED,PF 0.46 < 1.15,,,40.0,fixed2r,27,0.0417,29.6,0.46,-0.6,-16.2,-23.1,3.53,null
1h,5m,24h-control,W4,REJECTED,PF 0.45 < 1.15,,,40.0,fixed2r,54,0.0835,31.5,0.45,-0.561,-30.3,-33.6,3.44,null
1h,5m,24h-control,W5,REJECTED,PF 0.80 < 1.15,,,20.0,target_or_2r,12200,18.8604,36.4,0.8,-0.153,-1870.8,-1891.6,10.86,null
1h,5m,24h-control,W6,REJECTED,PF 0.84 < 1.15,,,20.0,fixed2r,51,0.0788,37.3,0.84,-0.085,-4.3,-17.8,37.71,null
1h,5m,24h-control,W7,REJECTED,PF 0.25 < 1.15,,,20.0,fixed2r,2488,3.8463,21.3,0.25,-0.892,-2218.7,-2222.2,3.25,null
1h,5m,24h-control,W8,REJECTED,PF 0.31 < 1.15,,,20.0,fixed2r,835,1.2909,21.6,0.31,-0.788,-658.0,-658.3,5.1,null
1h,15m,asia,W1,REJECTED,PF 1.05 < 1.15,,,40.0,fixed2r,373,0.5766,38.3,1.05,0.037,13.9,-28.3,16.16,null
1h,15m,asia,W1+W11,REJECTED,PF 0.86 < 1.15,,,40.0,fixed2r,17,0.0263,35.3,0.86,-0.11,-1.9,-6.4,8.41,null
1h,15m,asia,W2,REJECTED,PF 0.76 < 1.15,,,20.0,fixed2r,881,1.362,33.8,0.76,-0.187,-165.0,-165.2,8.91,null
1h,15m,asia,W3,REJECTED,PF 0.48 < 1.15,,,20.0,fixed2r,15,0.0232,26.7,0.48,-0.474,-7.1,-7.4,13.05,null
1h,15m,asia,W3+W11,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
1h,15m,asia,W4,REJECTED,PF 0.20 < 1.15,,,20.0,fixed2r,12,0.0186,16.7,0.2,-0.825,-9.9,-9.0,9.95,null
1h,15m,asia,W5,REJECTED,PF 0.86 < 1.15,,,20.0,target_or_2r,1135,1.7546,36.2,0.86,-0.105,-119.5,-133.4,11.12,null
1h,15m,asia,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
1h,15m,asia,W7,REJECTED,PF 0.34 < 1.15,,,40.0,fixed2r,59,0.0912,25.4,0.34,-0.774,-45.6,-45.2,4.94,null
1h,15m,asia,W8,REJECTED,PF 0.86 < 1.15,,,20.0,fixed2r,43,0.0665,41.9,0.86,-0.111,-4.8,-15.3,7.38,null
1h,15m,london,W1,REJECTED,PF 0.79 < 1.15,,,40.0,fixed2r,261,0.4035,33.7,0.79,-0.165,-42.9,-72.4,10.6,null
1h,15m,london,W1+W11,REJECTED,PF 0.93 < 1.15,,,40.0,exit3,127,0.1963,35.4,0.93,-0.035,-4.4,-16.8,13.97,null
1h,15m,london,W2,REJECTED,PF 0.71 < 1.15,,,20.0,fixed2r,625,0.9662,33.1,0.71,-0.241,-150.7,-172.0,7.2,null
1h,15m,london,W3,REJECTED,PF 0.68 < 1.15,,,20.0,fixed2r,10,0.0155,30.0,0.68,-0.275,-2.7,-6.3,15.04,null
1h,15m,london,W3+W11,REJECTED,PF 0.23 < 1.15,,,20.0,fixed2r,21,0.0325,14.3,0.23,-0.893,-18.7,-20.1,6.08,null
1h,15m,london,W4,REJECTED,PF 0.58 < 1.15,,,20.0,fixed2r,28,0.0433,32.1,0.58,-0.391,-10.9,-12.5,6.96,null
1h,15m,london,W5,REJECTED,PF 0.79 < 1.15,,,40.0,target_or_2r,393,0.6076,34.6,0.79,-0.161,-63.2,-86.5,9.6,null
1h,15m,london,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
1h,15m,london,W7,REJECTED,PF 0.44 < 1.15,,,40.0,fixed2r,105,0.1623,31.4,0.44,-0.601,-63.1,-63.2,3.34,null
1h,15m,london,W8,REJECTED,PF 0.42 < 1.15,,,40.0,fixed2r,31,0.0479,25.8,0.42,-0.595,-18.5,-23.0,4.77,null
1h,15m,pre_ny,W1,REJECTED,PF 0.97 < 1.15,,,20.0,fixed2r,379,0.5859,37.7,0.97,-0.022,-8.5,-49.1,17.41,null
1h,15m,pre_ny,W1+W11,REJECTED,tr/wk 0.247 < 0.5,,,20.0,exit3,160,0.2473,40.6,1.18,0.084,13.5,-10.9,20.25,null
1h,15m,pre_ny,W2,REJECTED,PF 0.58 < 1.15,,,20.0,fixed2r,555,0.858,28.1,0.58,-0.359,-199.1,-205.8,11.4,null
1h,15m,pre_ny,W3,REJECTED,PF 0.60 < 1.15,,,40.0,fixed2r,23,0.0356,30.4,0.6,-0.363,-8.3,-13.8,13.08,null
1h,15m,pre_ny,W3+W11,REJECTED,PF 0.51 < 1.15,,,40.0,fixed2r,15,0.0232,26.7,0.51,-0.502,-7.5,-8.9,9.4,null
1h,15m,pre_ny,W4,REJECTED,PF 0.38 < 1.15,,,20.0,fixed2r,48,0.0742,20.8,0.38,-0.609,-29.2,-30.3,12.84,null
1h,15m,pre_ny,W5,REJECTED,PF 0.79 < 1.15,,,20.0,exit3,588,0.909,34.7,0.79,-0.12,-70.3,-81.0,17.1,null
1h,15m,pre_ny,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
1h,15m,pre_ny,W7,REJECTED,PF 0.40 < 1.15,,,40.0,fixed2r,110,0.1701,23.6,0.4,-0.588,-64.7,-65.9,7.12,null
1h,15m,pre_ny,W8,REJECTED,PF 0.32 < 1.15,,,20.0,fixed2r,158,0.2443,19.0,0.32,-0.715,-113.0,-114.4,9.17,null
1h,15m,ny_am,W1,REJECTED,PF 0.97 < 1.15,,,40.0,fixed2r,590,0.9121,35.8,0.97,-0.023,-13.3,-36.0,23.51,null
1h,15m,ny_am,W1+W11,REJECTED,PF 0.99 < 1.15,,,40.0,fixed2r,532,0.8224,36.3,0.99,-0.007,-3.7,-38.2,23.95,null
1h,15m,ny_am,W2,REJECTED,PF 0.86 < 1.15,,,40.0,fixed2r,505,0.7807,35.0,0.86,-0.108,-54.3,-77.1,11.8,null
1h,15m,ny_am,W3,REJECTED,PF 0.36 < 1.15,,,20.0,fixed2r,206,0.3185,22.8,0.36,-0.638,-131.4,-137.7,7.8,null
1h,15m,ny_am,W3+W11,REJECTED,PF 0.37 < 1.15,,,20.0,fixed2r,201,0.3107,22.9,0.37,-0.621,-124.7,-131.1,7.93,null
1h,15m,ny_am,W4,REJECTED,PF 0.39 < 1.15,,,20.0,fixed2r,97,0.15,22.7,0.39,-0.61,-59.2,-57.8,7.4,null
1h,15m,ny_am,W5,REJECTED,PF 0.93 < 1.15,,,20.0,target_or_2r,1663,2.5709,43.9,0.93,-0.041,-68.6,-95.9,21.36,null
1h,15m,ny_am,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
1h,15m,ny_am,W7,REJECTED,PF 0.46 < 1.15,,,40.0,fixed2r,293,0.453,28.3,0.46,-0.512,-150.0,-148.5,5.6,null
1h,15m,ny_am,W8,REJECTED,PF 0.34 < 1.15,,,20.0,fixed2r,372,0.5751,20.2,0.34,-0.67,-249.1,-249.7,9.3,null
1h,15m,24h-control,W1,REJECTED,PF 0.92 < 1.15,,,40.0,fixed2r,2689,4.157,35.6,0.92,-0.057,-152.5,-165.8,18.56,null
1h,15m,24h-control,W1+W11,REJECTED,PF 0.99 < 1.15,,,40.0,fixed2r,912,1.4099,36.7,0.99,-0.01,-8.7,-48.5,20.84,null
1h,15m,24h-control,W2,REJECTED,PF 0.70 < 1.15,,,20.0,fixed2r,6121,9.4627,31.9,0.7,-0.243,-1484.7,-1501.7,9.5,null
1h,15m,24h-control,W3,REJECTED,PF 0.58 < 1.15,,,40.0,fixed2r,20,0.0309,35.0,0.58,-0.358,-7.2,-11.0,4.31,null
1h,15m,24h-control,W3+W11,REJECTED,PF 0.45 < 1.15,,,40.0,fixed2r,16,0.0247,31.2,0.45,-0.503,-8.1,-8.8,4.19,null
1h,15m,24h-control,W4,REJECTED,PF 0.32 < 1.15,,,20.0,fixed2r,135,0.2087,18.5,0.32,-0.708,-95.6,-94.2,8.83,null
1h,15m,24h-control,W5,REJECTED,PF 0.82 < 1.15,,,40.0,target_or_2r,3691,5.7061,36.0,0.82,-0.137,-505.6,-512.4,14.54,null
1h,15m,24h-control,W6,REJECTED,PF 0.22 < 1.15,,,20.0,fixed2r,66,0.102,25.8,0.22,-0.48,-31.7,-33.6,39.62,null
1h,15m,24h-control,W7,REJECTED,PF 0.38 < 1.15,,,40.0,fixed2r,808,1.2491,25.2,0.38,-0.647,-522.9,-523.4,5.06,null
1h,15m,24h-control,W8,REJECTED,PF 0.35 < 1.15,,,20.0,fixed2r,572,0.8843,21.5,0.35,-0.668,-381.9,-384.3,8.73,null
4h,5m,asia,W1,REJECTED,PF 0.88 < 1.15,,,40.0,fixed2r,280,0.4329,36.1,0.88,-0.093,-26.0,-35.3,10.46,null
4h,5m,asia,W1+W11,REJECTED,tr/wk 0.079 < 0.5,,,40.0,fixed2r,51,0.0788,45.1,1.34,0.213,10.9,-10.6,12.1,null
4h,5m,asia,W2,REJECTED,PF 0.70 < 1.15,,,20.0,fixed2r,893,1.3805,34.5,0.7,-0.252,-225.0,-241.2,5.67,null
4h,5m,asia,W3,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,asia,W3+W11,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,asia,W4,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,asia,W5,REJECTED,PF 0.74 < 1.15,,,20.0,target_or_2r,939,1.4516,34.6,0.74,-0.208,-195.2,-218.8,7.72,null
4h,5m,asia,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,asia,W7,REJECTED,PF 0.31 < 1.15,,,40.0,fixed2r,77,0.119,26.0,0.31,-0.779,-60.0,-61.0,2.71,null
4h,5m,asia,W8,REJECTED,PF 0.21 < 1.15,,,40.0,fixed2r,57,0.0881,17.5,0.21,-0.974,-55.5,-56.2,3.32,null
4h,5m,london,W1,REJECTED,PF 0.89 < 1.15,,,20.0,fixed2r,385,0.5952,36.9,0.89,-0.085,-32.8,-60.6,10.5,null
4h,5m,london,W1+W11,REJECTED,PF 0.92 < 1.15,,,40.0,fixed2r,52,0.0804,34.6,0.92,-0.061,-3.2,-10.1,18.94,null
4h,5m,london,W2,REJECTED,PF 0.62 < 1.15,,,40.0,fixed2r,263,0.4066,33.5,0.62,-0.342,-90.0,-92.7,4.21,null
4h,5m,london,W3,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,london,W3+W11,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,london,W4,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,london,W5,REJECTED,PF 0.69 < 1.15,,,20.0,target_or_2r,866,1.3388,32.8,0.69,-0.259,-224.5,-227.9,8.3,null
4h,5m,london,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,london,W7,REJECTED,PF 0.30 < 1.15,,,20.0,fixed2r,159,0.2458,26.4,0.3,-0.866,-137.6,-135.5,2.25,null
4h,5m,london,W8,REJECTED,PF 0.47 < 1.15,,,20.0,fixed2r,50,0.0773,28.0,0.47,-0.517,-25.8,-24.9,5.51,null
4h,5m,pre_ny,W1,REJECTED,PF 0.94 < 1.15,,,20.0,fixed2r,237,0.3664,38.0,0.94,-0.048,-11.3,-32.3,9.92,null
4h,5m,pre_ny,W1+W11,REJECTED,tr/wk 0.113 < 0.5,,,20.0,fixed2r,73,0.1129,45.2,1.36,0.224,16.4,-5.6,14.79,null
4h,5m,pre_ny,W2,REJECTED,PF 0.71 < 1.15,,,20.0,fixed2r,567,0.8765,33.5,0.71,-0.245,-139.0,-151.0,6.9,null
4h,5m,pre_ny,W3,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,pre_ny,W3+W11,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,pre_ny,W4,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,pre_ny,W5,REJECTED,PF 0.75 < 1.15,,,20.0,target_or_2r,536,0.8286,34.3,0.75,-0.198,-106.0,-106.1,10.41,null
4h,5m,pre_ny,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,pre_ny,W7,REJECTED,PF 0.26 < 1.15,,,40.0,fixed2r,111,0.1716,19.8,0.26,-0.883,-98.0,-101.1,4.7,null
4h,5m,pre_ny,W8,REJECTED,PF 0.41 < 1.15,,,20.0,fixed2r,96,0.1484,26.0,0.41,-0.621,-59.6,-64.4,6.51,null
4h,5m,ny_am,W1,REJECTED,PF 0.77 < 1.15,,,20.0,fixed2r,833,1.2878,31.5,0.77,-0.18,-149.9,-189.7,16.3,null
4h,5m,ny_am,W1+W11,REJECTED,PF 0.79 < 1.15,,,40.0,fixed2r,204,0.3154,31.4,0.79,-0.158,-32.3,-51.1,20.74,null
4h,5m,ny_am,W2,REJECTED,PF 0.75 < 1.15,,,20.0,fixed2r,1369,2.1164,32.9,0.75,-0.194,-265.2,-288.2,11.05,null
4h,5m,ny_am,W3,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,ny_am,W3+W11,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,ny_am,W4,REJECTED,PF 0.26 < 1.15,,,20.0,fixed2r,11,0.017,18.2,0.26,-0.757,-8.3,-6.7,15.4,null
4h,5m,ny_am,W5,REJECTED,PF 0.80 < 1.15,,,20.0,target_or_2r,977,1.5104,31.9,0.8,-0.146,-142.6,-149.6,21.9,null
4h,5m,ny_am,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,ny_am,W7,REJECTED,PF 0.33 < 1.15,,,20.0,fixed2r,241,0.3726,23.2,0.33,-0.722,-174.0,-171.1,5.54,null
4h,5m,ny_am,W8,REJECTED,PF 0.73 < 1.15,,,40.0,fixed2r,50,0.0773,36.0,0.73,-0.22,-11.0,-15.1,8.97,null
4h,5m,24h-control,W1,REJECTED,PF 0.85 < 1.15,,,20.0,fixed2r,3733,5.771,34.9,0.85,-0.109,-405.7,-420.2,13.66,null
4h,5m,24h-control,W1+W11,REJECTED,PF 0.90 < 1.15,,,40.0,fixed2r,383,0.5921,34.7,0.9,-0.072,-27.8,-60.0,16.62,null
4h,5m,24h-control,W2,REJECTED,PF 0.72 < 1.15,,,20.0,fixed2r,6444,9.962,34.4,0.72,-0.227,-1464.9,-1475.4,6.79,null
4h,5m,24h-control,W3,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,24h-control,W3+W11,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,24h-control,W4,REJECTED,PF 0.33 < 1.15,,,20.0,fixed2r,14,0.0216,21.4,0.33,-0.663,-9.3,-9.3,4.67,null
4h,5m,24h-control,W5,REJECTED,PF 0.78 < 1.15,,,20.0,target_or_2r,6620,10.2341,34.3,0.78,-0.172,-1135.5,-1152.2,11.3,null
4h,5m,24h-control,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,5m,24h-control,W7,REJECTED,PF 0.26 < 1.15,,,40.0,fixed2r,807,1.2476,21.7,0.26,-0.873,-704.8,-710.9,3.55,null
4h,5m,24h-control,W8,REJECTED,PF 0.35 < 1.15,,,40.0,fixed2r,200,0.3092,22.5,0.35,-0.697,-139.5,-141.2,5.8,null
4h,15m,asia,W1,REJECTED,PF 1.05 < 1.15,,,40.0,fixed2r,162,0.2504,38.3,1.05,0.033,5.3,-15.7,16.48,null
4h,15m,asia,W1+W11,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,15m,asia,W2,REJECTED,PF 0.80 < 1.15,,,20.0,fixed2r,582,0.8997,35.1,0.8,-0.152,-88.5,-104.7,8.82,null
4h,15m,asia,W3,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,15m,asia,W3+W11,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,15m,asia,W4,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,15m,asia,W5,REJECTED,PF 0.91 < 1.15,,,20.0,target_or_2r,603,0.9322,37.1,0.91,-0.068,-40.8,-70.2,12.38,null
4h,15m,asia,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,15m,asia,W7,REJECTED,PF 0.29 < 1.15,,,20.0,fixed2r,35,0.0541,25.7,0.29,-0.716,-25.1,-26.9,4.78,null
4h,15m,asia,W8,REJECTED,PF 0.46 < 1.15,,,40.0,fixed2r,26,0.0402,30.8,0.46,-0.568,-14.8,-17.6,7.55,null
4h,15m,london,W1,REJECTED,PF 0.93 < 1.15,,,20.0,fixed2r,233,0.3602,36.1,0.93,-0.053,-12.2,-35.4,14.03,null
4h,15m,london,W1+W11,REJECTED,PF 0.96 < 1.15,,,20.0,fixed2r,119,0.184,35.3,0.96,-0.031,-3.7,-23.5,24.25,null
4h,15m,london,W2,REJECTED,PF 0.73 < 1.15,,,40.0,fixed2r,163,0.252,34.4,0.73,-0.223,-36.4,-47.0,6.96,null
4h,15m,london,W3,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,15m,london,W3+W11,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,15m,london,W4,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,15m,london,W5,REJECTED,PF 0.75 < 1.15,,,20.0,target_or_2r,588,0.909,32.5,0.75,-0.204,-119.9,-120.4,11.29,null
4h,15m,london,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,15m,london,W7,REJECTED,PF 0.40 < 1.15,,,40.0,fixed2r,93,0.1438,29.0,0.4,-0.587,-54.6,-58.0,4.52,null
