range_tf,sig_tf,session,model,status,gate,canary_pass,overlap_ny_pct,lookback,exit_type,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts,per_year
15m,1m,asia,W7,REJECTED,PF 0.15 < 1.15,,,20.0,fixed2r,1382,2.1365,23.7,0.15,-1.284,-1774.5,-1774.4,1.16,null
15m,1m,asia,W8,REJECTED,PF 0.19 < 1.15,,,20.0,fixed2r,469,0.725,21.1,0.19,-1.119,-524.8,-522.8,1.91,null
15m,1m,london,W1,REJECTED,PF 0.59 < 1.15,,,20.0,fixed2r,6474,10.0084,33.6,0.59,-0.377,-2438.5,-2454.2,4.1,null
15m,1m,london,W1+W11,REJECTED,PF 0.56 < 1.15,,,20.0,fixed2r,1295,2.002,33.3,0.56,-0.409,-530.1,-540.0,3.91,null
15m,1m,london,W2,REJECTED,PF 0.54 < 1.15,,,20.0,fixed2r,7829,12.1031,32.9,0.54,-0.444,-3478.0,-3476.9,3.52,null
15m,1m,london,W3,REJECTED,PF 0.23 < 1.15,,,40.0,fixed2r,17,0.0263,29.4,0.23,-1.083,-18.4,-20.7,1.4,null
15m,1m,london,W3+W11,REJECTED,PF 0.16 < 1.15,,,20.0,fixed2r,47,0.0727,19.1,0.16,-1.226,-57.6,-55.7,1.35,null
15m,1m,london,W4,REJECTED,PF 0.19 < 1.15,,,20.0,fixed2r,19,0.0294,15.8,0.19,-1.068,-20.3,-20.3,2.2,null
15m,1m,london,W5,REJECTED,PF 0.55 < 1.15,,,20.0,target_or_2r,11496,17.7721,34.9,0.55,-0.415,-4772.3,-4777.6,4.09,null
15m,1m,london,W6,REJECTED,tr/wk 0.159 < 0.5,,,20.0,exit3,103,0.1592,49.5,1.67,0.252,26.0,-15.1,8.4,null
15m,1m,london,W7,REJECTED,PF 0.14 < 1.15,,,20.0,fixed2r,2126,3.2867,20.4,0.14,-1.317,-2799.6,-2796.7,1.31,null
15m,1m,london,W8,REJECTED,PF 0.17 < 1.15,,,40.0,fixed2r,343,0.5303,21.6,0.17,-1.17,-401.2,-398.3,1.71,null
15m,1m,pre_ny,W1,REJECTED,PF 0.65 < 1.15,,,20.0,fixed2r,3211,4.964,34.4,0.65,-0.313,-1006.5,-1043.5,4.92,null
15m,1m,pre_ny,W1+W11,REJECTED,PF 0.69 < 1.15,,,40.0,fixed2r,462,0.7142,35.1,0.69,-0.271,-125.2,-130.4,5.59,null
15m,1m,pre_ny,W2,REJECTED,PF 0.61 < 1.15,,,20.0,fixed2r,3692,5.7076,35.1,0.61,-0.357,-1319.4,-1327.7,3.96,null
15m,1m,pre_ny,W3,REJECTED,PF 0.27 < 1.15,,,20.0,fixed2r,42,0.0649,19.0,0.27,-0.792,-33.3,-32.6,5.75,null
15m,1m,pre_ny,W3+W11,REJECTED,PF 0.27 < 1.15,,,20.0,fixed2r,27,0.0417,18.5,0.27,-0.823,-22.2,-23.1,6.34,null
15m,1m,pre_ny,W4,REJECTED,PF 0.46 < 1.15,,,20.0,fixed2r,41,0.0634,29.3,0.46,-0.499,-20.4,-20.3,3.54,null
15m,1m,pre_ny,W5,REJECTED,PF 0.67 < 1.15,,,40.0,target_or_2r,3301,5.1031,36.4,0.67,-0.28,-923.2,-952.2,6.0,null
15m,1m,pre_ny,W6,REJECTED,tr/wk 0.036 < 0.5,,,40.0,exit3,23,0.0356,56.5,4.68,0.644,14.8,-2.1,22.65,null
15m,1m,pre_ny,W7,REJECTED,PF 0.17 < 1.15,,,40.0,fixed2r,991,1.532,20.3,0.17,-1.176,-1165.9,-1162.8,1.76,null
15m,1m,pre_ny,W8,REJECTED,PF 0.15 < 1.15,,,20.0,fixed2r,392,0.606,16.8,0.15,-1.255,-491.8,-489.2,1.79,null
15m,1m,ny_am,W1,REJECTED,PF 0.74 < 1.15,,,40.0,fixed2r,6286,9.7178,33.4,0.74,-0.213,-1340.2,-1342.4,8.58,null
15m,1m,ny_am,W1+W11,REJECTED,PF 0.62 < 1.15,,,20.0,fixed2r,1490,2.3034,30.4,0.62,-0.332,-494.5,-503.5,7.22,null
15m,1m,ny_am,W2,REJECTED,PF 0.68 < 1.15,,,20.0,fixed2r,9678,14.9616,33.9,0.68,-0.273,-2641.6,-2645.1,5.96,null
15m,1m,ny_am,W3,REJECTED,PF 0.25 < 1.15,,,20.0,fixed2r,54,0.0835,22.2,0.25,-0.889,-48.0,-45.5,3.07,null
15m,1m,ny_am,W3+W11,REJECTED,PF 0.37 < 1.15,,,20.0,fixed2r,35,0.0541,28.6,0.37,-0.651,-22.8,-19.8,3.62,null
