range_tf,sig_tf,lookback,session,model,exit_type,reclaim_bars,fb_bars,sos_variant,vol_filter,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts
5m,1m,40,pre_ny,W4,exit3,3.0,,mid,,280,0.4329,15.4,0.11,-1.175,-329.0,-327.7,2.48
5m,1m,40,pre_ny,W4,fixed2r,3.0,,high,,79,0.1221,17.7,0.21,-0.926,-73.2,-70.4,4.69
5m,1m,40,pre_ny,W4,exit3,3.0,,high,,79,0.1221,16.5,0.15,-0.939,-74.2,-71.4,4.69
5m,1m,40,pre_ny,W5,target_or_2r,,2.0,,,6275,9.7008,36.8,0.56,-0.402,-2524.1,-2534.8,4.0
5m,1m,40,pre_ny,W5,exit3,,2.0,,,6275,9.7008,33.9,0.46,-0.424,-2661.4,-2663.5,4.0
5m,1m,40,pre_ny,W5,target_or_2r,,4.0,,,6309,9.7533,37.2,0.58,-0.38,-2397.0,-2407.1,4.14
5m,1m,40,pre_ny,W5,exit3,,4.0,,,6309,9.7533,34.1,0.48,-0.402,-2533.5,-2535.6,4.14
5m,1m,40,pre_ny,W6,fixed2r,,,,,150,0.2319,54.7,1.76,0.396,59.4,-19.6,9.29
5m,1m,40,pre_ny,W6,exit3,,,,,150,0.2319,54.7,1.64,0.273,40.9,-13.8,9.29
5m,1m,40,pre_ny,W7,fixed2r,,,mid,,1536,2.3746,18.6,0.15,-1.28,-1966.4,-1964.3,1.56
5m,1m,40,pre_ny,W7,exit3,,,mid,,1536,2.3746,16.0,0.09,-1.319,-2025.4,-2023.2,1.56
5m,1m,40,pre_ny,W7,fixed2r,,,high,,779,1.2043,20.2,0.15,-1.28,-996.8,-993.9,1.5
5m,1m,40,pre_ny,W7,exit3,,,high,,779,1.2043,16.8,0.09,-1.335,-1040.3,-1037.4,1.5
5m,1m,40,pre_ny,W8,fixed2r,,,mid,,1278,1.9757,17.4,0.13,-1.309,-1672.8,-1670.5,1.61
5m,1m,40,pre_ny,W8,exit3,,,mid,,1278,1.9757,15.1,0.08,-1.339,-1711.8,-1710.5,1.61
5m,1m,40,pre_ny,W8,fixed2r,,,high,,576,0.8905,18.9,0.16,-1.191,-686.3,-682.9,1.98
5m,1m,40,pre_ny,W8,exit3,,,high,,576,0.8905,16.0,0.1,-1.242,-715.3,-711.9,1.98
5m,1m,40,ny_am,W1,fixed2r,1.0,,,False,8486,13.1188,32.7,0.67,-0.282,-2393.1,-2404.8,6.51
5m,1m,40,ny_am,W1,exit3,1.0,,,False,8486,13.1188,32.6,0.57,-0.3,-2548.6,-2555.2,6.51
5m,1m,40,ny_am,W1+W11,fixed2r,1.0,,,True,1625,2.5121,29.4,0.57,-0.388,-629.8,-640.3,5.9
5m,1m,40,ny_am,W1+W11,exit3,1.0,,,True,1625,2.5121,29.4,0.49,-0.376,-611.3,-614.8,5.9
5m,1m,40,ny_am,W1,fixed2r,3.0,,,False,9530,14.7328,32.7,0.69,-0.255,-2429.8,-2438.8,7.46
5m,1m,40,ny_am,W1,exit3,3.0,,,False,9530,14.7328,32.7,0.6,-0.272,-2593.2,-2597.7,7.46
5m,1m,40,ny_am,W1+W11,fixed2r,3.0,,,True,1871,2.8924,29.9,0.6,-0.351,-657.6,-665.6,6.8
5m,1m,40,ny_am,W1+W11,exit3,3.0,,,True,1871,2.8924,29.9,0.52,-0.347,-650.0,-654.0,6.8
5m,1m,40,ny_am,W2,fixed2r,1.0,,,,9468,14.6369,33.3,0.63,-0.325,-3074.9,-3082.0,4.96
5m,1m,40,ny_am,W2,exit3,1.0,,,,9468,14.6369,33.2,0.54,-0.342,-3237.9,-3242.0,4.96
5m,1m,40,ny_am,W2,fixed2r,3.0,,,,10492,16.22,33.0,0.65,-0.307,-3219.6,-3228.5,5.54
5m,1m,40,ny_am,W2,exit3,3.0,,,,10492,16.22,32.9,0.56,-0.318,-3339.1,-3344.5,5.54
5m,1m,40,ny_am,W3,fixed2r,1.0,,mid,False,470,0.7266,19.6,0.21,-0.985,-463.0,-463.6,3.04
5m,1m,40,ny_am,W3,exit3,1.0,,mid,False,470,0.7266,18.7,0.14,-1.06,-498.0,-497.6,3.04
5m,1m,40,ny_am,W3+W11,fixed2r,1.0,,mid,True,281,0.4344,18.9,0.21,-0.96,-269.8,-272.3,3.4
5m,1m,40,ny_am,W3+W11,exit3,1.0,,mid,True,281,0.4344,18.1,0.14,-1.031,-289.8,-290.8,3.4
5m,1m,40,ny_am,W3,fixed2r,1.0,,high,False,76,0.1175,18.4,0.22,-1.034,-78.6,-76.1,3.02
5m,1m,40,ny_am,W3,exit3,1.0,,high,False,76,0.1175,18.4,0.15,-1.12,-85.1,-82.6,3.02
5m,1m,40,ny_am,W3+W11,fixed2r,1.0,,high,True,55,0.085,21.8,0.26,-0.971,-53.4,-50.5,3.01
5m,1m,40,ny_am,W3+W11,exit3,1.0,,high,True,55,0.085,21.8,0.18,-1.062,-58.4,-55.5,3.01
5m,1m,40,ny_am,W3,fixed2r,3.0,,mid,False,532,0.8224,19.5,0.21,-1.004,-534.2,-534.4,2.85
5m,1m,40,ny_am,W3,exit3,3.0,,mid,False,532,0.8224,18.4,0.14,-1.075,-571.7,-571.4,2.85
5m,1m,40,ny_am,W3+W11,fixed2r,3.0,,mid,True,317,0.4901,18.6,0.21,-0.985,-312.2,-314.5,3.25
5m,1m,40,ny_am,W3+W11,exit3,3.0,,mid,True,317,0.4901,18.3,0.13,-1.053,-333.7,-335.0,3.25
5m,1m,40,ny_am,W3,fixed2r,3.0,,high,False,82,0.1268,17.1,0.2,-1.061,-87.0,-84.5,2.99
5m,1m,40,ny_am,W3,exit3,3.0,,high,False,82,0.1268,17.1,0.14,-1.129,-92.5,-90.0,2.99
5m,1m,40,ny_am,W3+W11,fixed2r,3.0,,high,True,59,0.0912,20.3,0.23,-1.023,-60.4,-57.9,2.78
5m,1m,40,ny_am,W3+W11,exit3,3.0,,high,True,59,0.0912,20.3,0.16,-1.091,-64.4,-61.9,2.78
5m,1m,40,ny_am,W4,fixed2r,1.0,,mid,,557,0.8611,17.1,0.19,-1.078,-600.6,-600.6,3.0
5m,1m,40,ny_am,W4,exit3,1.0,,mid,,557,0.8611,16.3,0.13,-1.13,-629.6,-629.1,3.0
5m,1m,40,ny_am,W4,fixed2r,1.0,,high,,142,0.2195,18.3,0.19,-1.04,-147.7,-147.7,2.79
5m,1m,40,ny_am,W4,exit3,1.0,,high,,142,0.2195,16.9,0.13,-1.065,-151.2,-150.7,2.79
5m,1m,40,ny_am,W4,fixed2r,3.0,,mid,,608,0.9399,16.8,0.19,-1.098,-667.6,-667.5,2.9
5m,1m,40,ny_am,W4,exit3,3.0,,mid,,608,0.9399,16.1,0.13,-1.144,-695.6,-695.0,2.9
5m,1m,40,ny_am,W4,fixed2r,3.0,,high,,149,0.2303,18.1,0.19,-1.047,-156.0,-156.0,2.82
5m,1m,40,ny_am,W4,exit3,3.0,,high,,149,0.2303,16.8,0.13,-1.074,-160.0,-159.5,2.82
5m,1m,40,ny_am,W5,target_or_2r,,2.0,,,13527,20.9119,36.1,0.68,-0.259,-3498.7,-3531.8,6.9
5m,1m,40,ny_am,W5,exit3,,2.0,,,13527,20.9119,33.3,0.61,-0.271,-3662.5,-3675.4,6.9
5m,1m,40,ny_am,W5,target_or_2r,,4.0,,,13563,20.9675,36.3,0.69,-0.248,-3365.6,-3414.1,7.07
5m,1m,40,ny_am,W5,exit3,,4.0,,,13563,20.9675,33.4,0.62,-0.26,-3521.3,-3535.0,7.07
5m,1m,40,ny_am,W6,fixed2r,,,,,113,0.1747,39.8,1.14,0.086,9.7,-17.7,16.06
5m,1m,40,ny_am,W6,exit3,,,,,113,0.1747,43.4,1.03,0.014,1.6,-18.0,16.06
5m,1m,40,ny_am,W7,fixed2r,,,mid,,1918,2.9651,18.8,0.2,-1.031,-1976.6,-1975.8,2.75
5m,1m,40,ny_am,W7,exit3,,,mid,,1918,2.9651,17.5,0.13,-1.095,-2099.6,-2097.9,2.75
5m,1m,40,ny_am,W7,fixed2r,,,high,,1287,1.9896,19.3,0.18,-1.108,-1425.9,-1424.4,2.37
5m,1m,40,ny_am,W7,exit3,,,high,,1287,1.9896,16.9,0.12,-1.16,-1493.4,-1491.9,2.37
5m,1m,40,ny_am,W8,fixed2r,,,mid,,1930,2.9837,16.4,0.18,-1.128,-2177.8,-2178.8,2.68
5m,1m,40,ny_am,W8,exit3,,,mid,,1930,2.9837,15.6,0.12,-1.173,-2264.3,-2264.8,2.68
5m,1m,40,ny_am,W8,fixed2r,,,high,,1190,1.8397,18.2,0.2,-1.025,-1219.5,-1216.8,2.99
5m,1m,40,ny_am,W8,exit3,,,high,,1190,1.8397,17.4,0.14,-1.081,-1286.5,-1283.8,2.99
5m,1m,40,24h-control,W1,fixed2r,1.0,,,False,33455,51.7193,33.4,0.61,-0.356,-11916.3,-11933.2,4.42
