range_tf,sig_tf,lookback,session,model,exit_type,reclaim_bars,fb_bars,sos_variant,vol_filter,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts
15m,1m,40,ny_am,W3+W11,fixed2r,1.0,,mid,True,70,0.1082,25.7,0.28,-0.854,-59.8,-63.9,2.75
15m,1m,40,ny_am,W3+W11,exit3,1.0,,mid,True,70,0.1082,22.9,0.18,-0.976,-68.3,-70.9,2.75
15m,1m,40,ny_am,W3,fixed2r,1.0,,high,False,15,0.0232,13.3,0.09,-1.216,-18.2,-15.3,3.41
15m,1m,40,ny_am,W3,exit3,1.0,,high,False,15,0.0232,6.7,0.06,-1.283,-19.2,-16.3,3.41
15m,1m,40,ny_am,W3+W11,fixed2r,1.0,,high,True,12,0.0186,16.7,0.11,-1.19,-14.3,-11.3,3.29
15m,1m,40,ny_am,W3+W11,exit3,1.0,,high,True,12,0.0186,8.3,0.07,-1.273,-15.3,-12.3,3.29
15m,1m,40,ny_am,W3,fixed2r,3.0,,mid,False,166,0.2566,17.5,0.18,-1.067,-177.1,-178.0,2.81
15m,1m,40,ny_am,W3,exit3,3.0,,mid,False,166,0.2566,16.3,0.12,-1.103,-183.1,-183.5,2.81
15m,1m,40,ny_am,W3+W11,fixed2r,3.0,,mid,True,77,0.119,23.4,0.25,-0.917,-70.6,-71.7,2.71
15m,1m,40,ny_am,W3+W11,exit3,3.0,,mid,True,77,0.119,20.8,0.16,-1.028,-79.1,-79.2,2.71
15m,1m,40,ny_am,W3,fixed2r,3.0,,high,False,15,0.0232,13.3,0.09,-1.216,-18.2,-15.3,3.41
15m,1m,40,ny_am,W3,exit3,3.0,,high,False,15,0.0232,6.7,0.06,-1.283,-19.2,-16.3,3.41
15m,1m,40,ny_am,W3+W11,fixed2r,3.0,,high,True,12,0.0186,16.7,0.11,-1.19,-14.3,-11.3,3.29
15m,1m,40,ny_am,W3+W11,exit3,3.0,,high,True,12,0.0186,8.3,0.07,-1.273,-15.3,-12.3,3.29
15m,1m,40,ny_am,W4,fixed2r,1.0,,mid,,203,0.3138,17.7,0.21,-0.981,-199.1,-200.5,3.85
15m,1m,40,ny_am,W4,exit3,1.0,,mid,,203,0.3138,16.7,0.14,-1.037,-210.6,-210.5,3.85
15m,1m,40,ny_am,W4,fixed2r,1.0,,high,,27,0.0417,22.2,0.31,-0.831,-22.4,-21.7,5.19
15m,1m,40,ny_am,W4,exit3,1.0,,high,,27,0.0417,22.2,0.22,-0.942,-25.4,-24.2,5.19
15m,1m,40,ny_am,W4,fixed2r,3.0,,mid,,215,0.3324,18.1,0.21,-0.975,-209.6,-210.9,3.95
15m,1m,40,ny_am,W4,exit3,3.0,,mid,,215,0.3324,17.2,0.15,-1.035,-222.6,-222.4,3.95
15m,1m,40,ny_am,W4,fixed2r,3.0,,high,,29,0.0448,24.1,0.35,-0.753,-21.8,-21.1,5.39
15m,1m,40,ny_am,W4,exit3,3.0,,high,,29,0.0448,24.1,0.25,-0.874,-25.3,-24.1,5.39
15m,1m,40,ny_am,W5,target_or_2r,,2.0,,,9173,14.1809,35.6,0.73,-0.22,-2013.7,-2025.2,8.4
15m,1m,40,ny_am,W5,exit3,,2.0,,,9173,14.1809,33.7,0.64,-0.242,-2219.4,-2228.3,8.4
15m,1m,40,ny_am,W5,target_or_2r,,4.0,,,9200,14.2226,35.9,0.74,-0.203,-1865.4,-1879.8,8.81
15m,1m,40,ny_am,W5,exit3,,4.0,,,9200,14.2226,33.9,0.66,-0.22,-2022.4,-2034.0,8.81
15m,1m,40,ny_am,W6,fixed2r,,,,,30,0.0464,13.3,0.23,-0.7,-21.0,-19.9,23.15
15m,1m,40,ny_am,W6,exit3,,,,,30,0.0464,13.3,0.18,-0.75,-22.5,-21.4,23.15
15m,1m,40,ny_am,W7,fixed2r,,,mid,,1510,2.3344,18.5,0.19,-1.05,-1585.5,-1586.5,2.7
15m,1m,40,ny_am,W7,exit3,,,mid,,1510,2.3344,17.4,0.13,-1.1,-1660.5,-1661.0,2.7
15m,1m,40,ny_am,W7,fixed2r,,,high,,910,1.4068,19.5,0.19,-1.075,-978.1,-976.6,2.44
15m,1m,40,ny_am,W7,exit3,,,high,,910,1.4068,16.9,0.13,-1.12,-1019.1,-1017.6,2.44
15m,1m,40,ny_am,W8,fixed2r,,,mid,,1239,1.9154,15.3,0.16,-1.129,-1399.1,-1399.3,3.06
15m,1m,40,ny_am,W8,exit3,,,mid,,1239,1.9154,14.2,0.11,-1.172,-1451.6,-1451.3,3.06
15m,1m,40,ny_am,W8,fixed2r,,,high,,639,0.9879,15.6,0.18,-1.077,-688.1,-687.4,3.57
15m,1m,40,ny_am,W8,exit3,,,high,,639,0.9879,14.6,0.12,-1.12,-715.6,-714.4,3.57
15m,1m,40,24h-control,W1,fixed2r,1.0,,,False,19462,30.087,33.8,0.66,-0.296,-5769.0,-5783.8,5.41
15m,1m,40,24h-control,W1,exit3,1.0,,,False,19462,30.087,33.6,0.56,-0.319,-6199.7,-6203.3,5.41
15m,1m,40,24h-control,W1+W11,fixed2r,1.0,,,True,2248,3.4753,32.9,0.61,-0.349,-784.9,-795.1,4.96
15m,1m,40,24h-control,W1+W11,exit3,1.0,,,True,2248,3.4753,32.6,0.51,-0.359,-806.3,-812.4,4.96
15m,1m,40,24h-control,W1,fixed2r,3.0,,,False,20996,32.4585,33.7,0.68,-0.271,-5679.8,-5699.4,6.3
15m,1m,40,24h-control,W1,exit3,3.0,,,False,20996,32.4585,33.5,0.59,-0.291,-6101.6,-6113.2,6.3
15m,1m,40,24h-control,W1+W11,fixed2r,3.0,,,True,2773,4.2869,32.7,0.62,-0.333,-922.5,-940.2,5.45
15m,1m,40,24h-control,W1+W11,exit3,3.0,,,True,2773,4.2869,32.5,0.53,-0.342,-949.4,-957.7,5.45
15m,1m,40,24h-control,W2,fixed2r,1.0,,,,22834,35.2999,33.4,0.57,-0.398,-9088.3,-9090.7,3.88
15m,1m,40,24h-control,W2,exit3,1.0,,,,22834,35.2999,33.1,0.47,-0.415,-9472.6,-9474.0,3.88
15m,1m,40,24h-control,W2,fixed2r,3.0,,,,24692,38.1723,33.3,0.6,-0.364,-8999.4,-8996.7,4.4
15m,1m,40,24h-control,W2,exit3,3.0,,,,24692,38.1723,33.1,0.5,-0.38,-9389.7,-9387.0,4.4
15m,1m,40,24h-control,W3,fixed2r,1.0,,mid,False,249,0.3849,16.9,0.16,-1.108,-275.8,-276.8,2.71
15m,1m,40,24h-control,W3,exit3,1.0,,mid,False,249,0.3849,15.3,0.1,-1.152,-286.8,-287.3,2.71
15m,1m,40,24h-control,W3+W11,fixed2r,1.0,,mid,True,113,0.1747,22.1,0.23,-0.968,-109.4,-108.2,2.78
15m,1m,40,24h-control,W3+W11,exit3,1.0,,mid,True,113,0.1747,19.5,0.14,-1.066,-120.4,-118.2,2.78
15m,1m,40,24h-control,W3,fixed2r,1.0,,high,False,38,0.0587,13.2,0.1,-1.136,-43.2,-40.2,4.46
15m,1m,40,24h-control,W3,exit3,1.0,,high,False,38,0.0587,7.9,0.06,-1.202,-45.7,-42.7,4.46
15m,1m,40,24h-control,W3+W11,fixed2r,1.0,,high,True,31,0.0479,16.1,0.13,-1.046,-32.4,-29.5,4.36
15m,1m,40,24h-control,W3+W11,exit3,1.0,,high,True,31,0.0479,9.7,0.08,-1.127,-34.9,-32.0,4.36
15m,1m,40,24h-control,W3,fixed2r,3.0,,mid,False,277,0.4282,17.0,0.16,-1.102,-305.4,-306.3,2.73
15m,1m,40,24h-control,W3,exit3,3.0,,mid,False,277,0.4282,15.5,0.11,-1.144,-316.9,-317.3,2.73
15m,1m,40,24h-control,W3+W11,fixed2r,3.0,,mid,True,122,0.1886,21.3,0.22,-1.001,-122.1,-120.0,2.54
15m,1m,40,24h-control,W3+W11,exit3,3.0,,mid,True,122,0.1886,19.7,0.14,-1.095,-133.6,-131.0,2.54
15m,1m,40,24h-control,W3,fixed2r,3.0,,high,False,38,0.0587,13.2,0.1,-1.136,-43.2,-40.2,4.46
15m,1m,40,24h-control,W3,exit3,3.0,,high,False,38,0.0587,7.9,0.06,-1.202,-45.7,-42.7,4.46
15m,1m,40,24h-control,W3+W11,fixed2r,3.0,,high,True,31,0.0479,16.1,0.13,-1.068,-33.1,-30.1,4.21
15m,1m,40,24h-control,W3+W11,exit3,3.0,,high,True,31,0.0479,9.7,0.08,-1.149,-35.6,-32.6,4.21
15m,1m,40,24h-control,W4,fixed2r,1.0,,mid,,329,0.5086,17.3,0.19,-0.998,-328.5,-329.8,3.64
15m,1m,40,24h-control,W4,exit3,1.0,,mid,,329,0.5086,16.1,0.13,-1.046,-344.0,-343.8,3.64
15m,1m,40,24h-control,W4,fixed2r,1.0,,high,,45,0.0696,17.8,0.24,-0.88,-39.6,-38.9,5.5
15m,1m,40,24h-control,W4,exit3,1.0,,high,,45,0.0696,17.8,0.17,-0.947,-42.6,-41.4,5.5
15m,1m,40,24h-control,W4,fixed2r,3.0,,mid,,357,0.5519,17.6,0.2,-1.003,-358.0,-359.2,3.54
15m,1m,40,24h-control,W4,exit3,3.0,,mid,,357,0.5519,16.5,0.13,-1.05,-375.0,-374.7,3.54
15m,1m,40,24h-control,W4,fixed2r,3.0,,high,,51,0.0788,21.6,0.32,-0.744,-38.0,-37.4,5.5
15m,1m,40,24h-control,W4,exit3,3.0,,high,,51,0.0788,21.6,0.23,-0.832,-42.5,-41.3,5.5
15m,1m,40,24h-control,W5,target_or_2r,,2.0,,,33323,51.5152,34.5,0.63,-0.329,-10959.7,-10979.5,5.6
15m,1m,40,24h-control,W5,exit3,,2.0,,,33323,51.5152,33.1,0.53,-0.349,-11613.1,-11617.9,5.6
15m,1m,40,24h-control,W5,target_or_2r,,4.0,,,33375,51.5956,34.8,0.65,-0.3,-10026.1,-10051.9,5.99
15m,1m,40,24h-control,W5,exit3,,4.0,,,33375,51.5956,33.4,0.56,-0.318,-10627.6,-10636.8,5.99
15m,1m,40,24h-control,W6,fixed2r,,,,,57,0.0881,29.8,0.74,-0.196,-11.2,-25.9,22.65
15m,1m,40,24h-control,W6,exit3,,,,,57,0.0881,29.8,0.7,-0.179,-10.2,-18.9,22.65
15m,1m,40,24h-control,W7,fixed2r,,,mid,,6707,10.3686,19.9,0.16,-1.203,-8067.4,-8068.3,1.73
15m,1m,40,24h-control,W7,exit3,,,mid,,6707,10.3686,16.9,0.1,-1.249,-8376.4,-8376.8,1.73
15m,1m,40,24h-control,W7,fixed2r,,,high,,3496,5.4046,19.2,0.16,-1.222,-4271.5,-4270.3,1.79
15m,1m,40,24h-control,W7,exit3,,,high,,3496,5.4046,16.0,0.1,-1.265,-4422.0,-4420.5,1.79
15m,1m,40,24h-control,W8,fixed2r,,,mid,,5236,8.0945,17.1,0.15,-1.233,-6455.4,-6452.1,2.0
15m,1m,40,24h-control,W8,exit3,,,mid,,5236,8.0945,15.0,0.09,-1.267,-6634.9,-6632.6,2.0
15m,1m,40,24h-control,W8,fixed2r,,,high,,2462,3.8061,17.7,0.17,-1.145,-2818.2,-2816.3,2.33
15m,1m,40,24h-control,W8,exit3,,,high,,2462,3.8061,15.7,0.11,-1.197,-2948.2,-2946.3,2.33
15m,5m,20,asia,W1,fixed2r,1.0,,,False,1756,2.7147,37.3,0.82,-0.145,-254.2,-277.0,6.46
15m,5m,20,asia,W1,exit3,1.0,,,False,1756,2.7147,37.2,0.73,-0.173,-304.6,-318.5,6.46
15m,5m,20,asia,W1+W11,fixed2r,1.0,,,True,344,0.5318,38.1,0.83,-0.134,-46.2,-58.1,6.67
15m,5m,20,asia,W1+W11,exit3,1.0,,,True,344,0.5318,37.8,0.75,-0.153,-52.7,-58.1,6.67
15m,5m,20,asia,W1,fixed2r,3.0,,,False,2058,3.1815,36.5,0.81,-0.151,-310.5,-333.4,7.27
15m,5m,20,asia,W1,exit3,3.0,,,False,2058,3.1815,36.4,0.72,-0.176,-361.5,-376.4,7.27
15m,5m,20,asia,W1+W11,fixed2r,3.0,,,True,457,0.7065,37.2,0.81,-0.153,-70.1,-80.0,6.97
15m,5m,20,asia,W1+W11,exit3,3.0,,,True,457,0.7065,37.0,0.72,-0.173,-79.1,-83.1,6.97
15m,5m,20,asia,W2,fixed2r,1.0,,,,2162,3.3423,33.6,0.63,-0.326,-703.9,-703.5,4.69
15m,5m,20,asia,W2,exit3,1.0,,,,2162,3.3423,33.4,0.55,-0.324,-700.5,-698.2,4.69
15m,5m,20,asia,W2,fixed2r,3.0,,,,2591,4.0055,33.3,0.64,-0.311,-804.7,-802.8,5.2
15m,5m,20,asia,W2,exit3,3.0,,,,2591,4.0055,33.2,0.56,-0.31,-804.0,-801.7,5.2
15m,5m,20,asia,W3,fixed2r,1.0,,mid,False,72,0.1113,20.8,0.18,-1.08,-77.8,-76.4,2.63
15m,5m,20,asia,W3,exit3,1.0,,mid,False,72,0.1113,18.1,0.11,-1.074,-77.3,-75.9,2.63
15m,5m,20,asia,W3+W11,fixed2r,1.0,,mid,True,19,0.0294,10.5,0.04,-1.382,-26.3,-23.9,2.3
15m,5m,20,asia,W3+W11,exit3,1.0,,mid,True,19,0.0294,5.3,0.01,-1.382,-26.3,-23.9,2.3
15m,5m,20,asia,W3,fixed2r,1.0,,high,False,4,0.0062,50.0,1.27,0.156,0.6,-2.3,12.22
15m,5m,20,asia,W3,exit3,1.0,,high,False,4,0.0062,50.0,0.84,-0.094,-0.4,-2.3,12.22
15m,5m,20,asia,W3+W11,fixed2r,1.0,,high,True,1,0.0015,0.0,0.0,-1.062,-1.1,0.0,19.47
15m,5m,20,asia,W3+W11,exit3,1.0,,high,True,1,0.0015,0.0,0.0,-1.062,-1.1,0.0,19.47
15m,5m,20,asia,W3,fixed2r,3.0,,mid,False,85,0.1314,22.4,0.18,-1.075,-91.4,-90.0,2.34
15m,5m,20,asia,W3,exit3,3.0,,mid,False,85,0.1314,18.8,0.11,-1.093,-92.9,-91.5,2.34
15m,5m,20,asia,W3+W11,fixed2r,3.0,,mid,True,23,0.0356,13.0,0.06,-1.334,-30.7,-28.3,2.18
15m,5m,20,asia,W3+W11,exit3,3.0,,mid,True,23,0.0356,8.7,0.02,-1.312,-30.2,-27.8,2.18
15m,5m,20,asia,W3,fixed2r,3.0,,high,False,5,0.0077,40.0,0.71,-0.234,-1.2,-2.3,4.97
15m,5m,20,asia,W3,exit3,3.0,,high,False,5,0.0077,40.0,0.47,-0.434,-2.2,-2.3,4.97
15m,5m,20,asia,W3+W11,fixed2r,3.0,,high,True,1,0.0015,0.0,0.0,-1.062,-1.1,0.0,19.47
15m,5m,20,asia,W3+W11,exit3,3.0,,high,True,1,0.0015,0.0,0.0,-1.062,-1.1,0.0,19.47
15m,5m,20,asia,W4,fixed2r,1.0,,mid,,77,0.119,23.4,0.26,-0.89,-68.5,-69.8,2.64
15m,5m,20,asia,W4,exit3,1.0,,mid,,77,0.119,22.1,0.18,-0.935,-72.0,-72.8,2.64
15m,5m,20,asia,W4,fixed2r,1.0,,high,,15,0.0232,6.7,0.1,-1.127,-16.9,-15.8,6.07
15m,5m,20,asia,W4,exit3,1.0,,high,,15,0.0232,6.7,0.08,-1.027,-15.4,-14.3,6.07
15m,5m,20,asia,W4,fixed2r,3.0,,mid,,100,0.1546,26.0,0.29,-0.837,-83.7,-85.0,2.42
15m,5m,20,asia,W4,exit3,3.0,,mid,,100,0.1546,23.0,0.19,-0.897,-89.7,-90.5,2.42
15m,5m,20,asia,W4,fixed2r,3.0,,high,,17,0.0263,11.8,0.16,-0.985,-16.8,-15.5,5.8
15m,5m,20,asia,W4,exit3,3.0,,high,,17,0.0263,11.8,0.12,-0.927,-15.8,-14.5,5.8
15m,5m,20,asia,W5,target_or_2r,,2.0,,,3520,5.4417,35.9,0.7,-0.253,-891.7,-901.3,6.41
15m,5m,20,asia,W5,exit3,,2.0,,,3520,5.4417,34.8,0.62,-0.259,-912.0,-910.0,6.41
15m,5m,20,asia,W5,target_or_2r,,4.0,,,3571,5.5205,35.8,0.7,-0.254,-906.3,-909.7,6.63
15m,5m,20,asia,W5,exit3,,4.0,,,3571,5.5205,34.7,0.63,-0.256,-914.1,-912.1,6.63
15m,5m,20,asia,W6,fixed2r,,,,,121,0.1871,33.1,0.76,-0.186,-22.5,-30.8,5.67
15m,5m,20,asia,W6,exit3,,,,,121,0.1871,33.1,0.62,-0.252,-30.5,-29.6,5.67
15m,5m,20,asia,W7,fixed2r,,,mid,,505,0.7807,24.4,0.23,-0.953,-481.4,-478.4,2.36
15m,5m,20,asia,W7,exit3,,,mid,,505,0.7807,21.0,0.14,-0.984,-496.9,-494.9,2.36
15m,5m,20,asia,W7,fixed2r,,,high,,344,0.5318,20.9,0.19,-1.099,-378.2,-376.4,1.89
15m,5m,20,asia,W7,exit3,,,high,,344,0.5318,18.9,0.13,-1.083,-372.7,-371.9,1.89
15m,5m,20,asia,W8,fixed2r,,,mid,,422,0.6524,21.6,0.24,-0.959,-404.8,-403.7,2.67
15m,5m,20,asia,W8,exit3,,,mid,,422,0.6524,19.0,0.16,-0.998,-421.3,-419.7,2.67
15m,5m,20,asia,W8,fixed2r,,,high,,239,0.3695,17.2,0.19,-1.059,-253.1,-250.8,3.2
15m,5m,20,asia,W8,exit3,,,high,,239,0.3695,16.7,0.14,-1.04,-248.6,-245.8,3.2
15m,5m,20,london,W1,fixed2r,1.0,,,False,3262,5.0428,33.7,0.68,-0.276,-899.3,-901.1,6.0
15m,5m,20,london,W1,exit3,1.0,,,False,3262,5.0428,33.6,0.59,-0.284,-926.2,-928.6,6.0
15m,5m,20,london,W1+W11,fixed2r,1.0,,,True,1224,1.8922,31.8,0.63,-0.322,-394.4,-399.4,6.45
15m,5m,20,london,W1+W11,exit3,1.0,,,True,1224,1.8922,31.8,0.54,-0.323,-394.8,-397.9,6.45
15m,5m,20,london,W1,fixed2r,3.0,,,False,3796,5.8684,33.4,0.69,-0.261,-991.3,-992.3,6.66
15m,5m,20,london,W1,exit3,3.0,,,False,3796,5.8684,33.4,0.6,-0.271,-1027.7,-1028.1,6.66
15m,5m,20,london,W1+W11,fixed2r,3.0,,,True,1530,2.3653,32.3,0.67,-0.28,-428.0,-427.8,7.47
15m,5m,20,london,W1+W11,exit3,3.0,,,True,1530,2.3653,32.3,0.58,-0.296,-452.9,-451.8,7.47
15m,5m,20,london,W2,fixed2r,1.0,,,,3826,5.9148,32.8,0.63,-0.33,-1262.9,-1266.4,5.29
15m,5m,20,london,W2,exit3,1.0,,,,3826,5.9148,32.7,0.53,-0.339,-1298.4,-1298.4,5.29
15m,5m,20,london,W2,fixed2r,3.0,,,,4525,6.9954,32.6,0.64,-0.315,-1425.1,-1429.5,5.8
15m,5m,20,london,W2,exit3,3.0,,,,4525,6.9954,32.5,0.55,-0.323,-1462.1,-1462.8,5.8
15m,5m,20,london,W3,fixed2r,1.0,,mid,False,345,0.5333,22.3,0.24,-0.927,-319.8,-319.7,2.88
15m,5m,20,london,W3,exit3,1.0,,mid,False,345,0.5333,20.3,0.16,-0.967,-333.8,-331.8,2.88
15m,5m,20,london,W3+W11,fixed2r,1.0,,mid,True,199,0.3076,24.6,0.28,-0.838,-166.8,-166.5,2.87
15m,5m,20,london,W3+W11,exit3,1.0,,mid,True,199,0.3076,22.6,0.19,-0.881,-175.3,-173.3,2.87
15m,5m,20,london,W3,fixed2r,1.0,,high,False,96,0.1484,22.9,0.27,-0.859,-82.5,-84.1,3.31
15m,5m,20,london,W3,exit3,1.0,,high,False,96,0.1484,21.9,0.2,-0.833,-80.0,-81.1,3.31
15m,5m,20,london,W3+W11,fixed2r,1.0,,high,True,64,0.0989,23.4,0.25,-0.901,-57.7,-55.0,2.98
15m,5m,20,london,W3+W11,exit3,1.0,,high,True,64,0.0989,21.9,0.19,-0.847,-54.2,-51.5,2.98
15m,5m,20,london,W3,fixed2r,3.0,,mid,False,392,0.606,22.2,0.24,-0.937,-367.3,-367.3,2.79
15m,5m,20,london,W3,exit3,3.0,,mid,False,392,0.606,20.2,0.16,-0.968,-379.3,-377.4,2.79
15m,5m,20,london,W3+W11,fixed2r,3.0,,mid,True,254,0.3927,23.6,0.27,-0.856,-217.4,-215.4,2.88
15m,5m,20,london,W3+W11,exit3,3.0,,mid,True,254,0.3927,21.7,0.18,-0.897,-227.9,-225.9,2.88
15m,5m,20,london,W3,fixed2r,3.0,,high,False,111,0.1716,22.5,0.26,-0.886,-98.4,-100.0,3.41
15m,5m,20,london,W3,exit3,3.0,,high,False,111,0.1716,21.6,0.19,-0.868,-96.4,-97.5,3.41
15m,5m,20,london,W3+W11,fixed2r,3.0,,high,True,74,0.1144,23.0,0.25,-0.929,-68.8,-66.9,2.98
15m,5m,20,london,W3+W11,exit3,3.0,,high,True,74,0.1144,21.6,0.19,-0.882,-65.3,-62.9,2.98
15m,5m,20,london,W4,fixed2r,1.0,,mid,,411,0.6354,22.6,0.26,-0.901,-370.1,-368.5,2.68
15m,5m,20,london,W4,exit3,1.0,,mid,,411,0.6354,20.9,0.18,-0.947,-389.1,-387.5,2.68
15m,5m,20,london,W4,fixed2r,1.0,,high,,129,0.1994,17.1,0.2,-1.038,-134.0,-135.1,3.74
15m,5m,20,london,W4,exit3,1.0,,high,,129,0.1994,17.1,0.15,-1.042,-134.5,-134.6,3.74
15m,5m,20,london,W4,fixed2r,3.0,,mid,,469,0.725,21.5,0.24,-0.944,-442.9,-441.2,2.62
15m,5m,20,london,W4,exit3,3.0,,mid,,469,0.725,19.8,0.17,-0.984,-461.4,-459.7,2.62
15m,5m,20,london,W4,fixed2r,3.0,,high,,151,0.2334,15.9,0.19,-1.064,-160.7,-160.2,3.89
15m,5m,20,london,W4,exit3,3.0,,high,,151,0.2334,15.9,0.14,-1.061,-160.2,-158.7,3.89
15m,5m,20,london,W5,target_or_2r,,2.0,,,5803,8.9711,37.5,0.63,-0.296,-1720.2,-1725.6,6.27
15m,5m,20,london,W5,exit3,,2.0,,,5803,8.9711,32.9,0.57,-0.303,-1759.4,-1764.6,6.27
15m,5m,20,london,W5,target_or_2r,,4.0,,,5879,9.0886,37.6,0.64,-0.29,-1704.1,-1709.4,6.32
15m,5m,20,london,W5,exit3,,4.0,,,5879,9.0886,33.0,0.58,-0.296,-1740.5,-1745.8,6.32
15m,5m,20,london,W6,fixed2r,,,,,151,0.2334,32.5,0.81,-0.14,-21.1,-46.9,14.88
15m,5m,20,london,W6,exit3,,,,,151,0.2334,32.5,0.77,-0.134,-20.2,-36.9,14.88
15m,5m,20,london,W7,fixed2r,,,mid,,1061,1.6402,25.3,0.27,-0.904,-959.1,-956.7,2.21
15m,5m,20,london,W7,exit3,,,mid,,1061,1.6402,23.1,0.18,-0.949,-1007.1,-1004.7,2.21
15m,5m,20,london,W7,fixed2r,,,high,,669,1.0342,21.4,0.22,-1.013,-677.5,-679.0,2.4
15m,5m,20,london,W7,exit3,,,high,,669,1.0342,19.4,0.15,-1.019,-682.0,-682.5,2.4
15m,5m,20,london,W8,fixed2r,,,mid,,839,1.297,20.1,0.22,-0.993,-833.5,-834.6,2.8
15m,5m,20,london,W8,exit3,,,mid,,839,1.297,18.4,0.15,-1.018,-854.0,-854.6,2.8
15m,5m,20,london,W8,fixed2r,,,high,,517,0.7992,21.9,0.26,-0.884,-456.9,-457.7,3.47
15m,5m,20,london,W8,exit3,,,high,,517,0.7992,20.7,0.18,-0.924,-477.9,-477.2,3.47
15m,5m,20,pre_ny,W1,fixed2r,1.0,,,False,1612,2.492,34.4,0.72,-0.23,-370.6,-378.5,7.0
15m,5m,20,pre_ny,W1,exit3,1.0,,,False,1612,2.492,34.2,0.64,-0.243,-391.9,-396.7,7.0
15m,5m,20,pre_ny,W1+W11,fixed2r,1.0,,,True,611,0.9446,37.8,0.86,-0.106,-65.0,-97.6,8.03
15m,5m,20,pre_ny,W1+W11,exit3,1.0,,,True,611,0.9446,37.8,0.77,-0.143,-87.1,-103.5,8.03
15m,5m,20,pre_ny,W1,fixed2r,3.0,,,False,1905,2.945,33.6,0.72,-0.226,-430.6,-442.5,8.27
15m,5m,20,pre_ny,W1,exit3,3.0,,,False,1905,2.945,33.5,0.65,-0.228,-433.6,-440.3,8.27
15m,5m,20,pre_ny,W1+W11,fixed2r,3.0,,,True,776,1.1996,35.2,0.79,-0.162,-126.0,-135.6,9.5
15m,5m,20,pre_ny,W1+W11,exit3,3.0,,,True,776,1.1996,35.2,0.72,-0.174,-135.2,-141.9,9.5
15m,5m,20,pre_ny,W2,fixed2r,1.0,,,,1846,2.8538,34.0,0.67,-0.282,-520.1,-527.6,5.77
15m,5m,20,pre_ny,W2,exit3,1.0,,,,1846,2.8538,34.1,0.58,-0.288,-532.4,-537.0,5.77
15m,5m,20,pre_ny,W2,fixed2r,3.0,,,,2228,3.4443,33.8,0.69,-0.258,-574.1,-585.1,6.72
15m,5m,20,pre_ny,W2,exit3,3.0,,,,2228,3.4443,33.9,0.61,-0.26,-579.7,-586.7,6.72
15m,5m,20,pre_ny,W3,fixed2r,1.0,,mid,False,404,0.6246,20.0,0.32,-0.75,-303.0,-303.3,5.79
15m,5m,20,pre_ny,W3,exit3,1.0,,mid,False,404,0.6246,20.0,0.23,-0.799,-323.0,-322.8,5.79
15m,5m,20,pre_ny,W3+W11,fixed2r,1.0,,mid,True,214,0.3308,20.6,0.34,-0.713,-152.5,-153.0,5.83
15m,5m,20,pre_ny,W3+W11,exit3,1.0,,mid,True,214,0.3308,20.6,0.26,-0.757,-162.0,-161.9,5.83
15m,5m,20,pre_ny,W3,fixed2r,1.0,,high,False,176,0.2721,20.5,0.31,-0.743,-130.9,-132.7,6.56
15m,5m,20,pre_ny,W3,exit3,1.0,,high,False,176,0.2721,20.5,0.24,-0.755,-132.9,-133.9,6.56
15m,5m,20,pre_ny,W3+W11,fixed2r,1.0,,high,True,95,0.1469,18.9,0.3,-0.754,-71.6,-72.8,7.81
15m,5m,20,pre_ny,W3+W11,exit3,1.0,,high,True,95,0.1469,18.9,0.22,-0.806,-76.6,-76.8,7.81
15m,5m,20,pre_ny,W3,fixed2r,3.0,,mid,False,458,0.708,20.1,0.31,-0.76,-348.2,-348.6,5.87
15m,5m,20,pre_ny,W3,exit3,3.0,,mid,False,458,0.708,20.1,0.23,-0.814,-372.7,-372.6,5.87
15m,5m,20,pre_ny,W3+W11,fixed2r,3.0,,mid,True,258,0.3989,19.4,0.31,-0.761,-196.2,-198.0,5.9
15m,5m,20,pre_ny,W3+W11,exit3,3.0,,mid,True,258,0.3989,19.4,0.23,-0.801,-206.7,-208.0,5.9
15m,5m,20,pre_ny,W3,fixed2r,3.0,,high,False,203,0.3138,19.2,0.29,-0.798,-161.9,-163.8,6.12
15m,5m,20,pre_ny,W3,exit3,3.0,,high,False,203,0.3138,19.2,0.22,-0.8,-162.4,-163.5,6.12
15m,5m,20,pre_ny,W3+W11,fixed2r,3.0,,high,True,113,0.1747,19.5,0.3,-0.753,-85.0,-87.9,7.1
15m,5m,20,pre_ny,W3+W11,exit3,3.0,,high,True,113,0.1747,19.5,0.23,-0.797,-90.0,-91.4,7.1
15m,5m,20,pre_ny,W4,fixed2r,1.0,,mid,,434,0.6709,24.7,0.39,-0.625,-271.2,-270.1,5.71
15m,5m,20,pre_ny,W4,exit3,1.0,,mid,,434,0.6709,24.4,0.29,-0.694,-301.2,-299.6,5.71
15m,5m,20,pre_ny,W4,fixed2r,1.0,,high,,217,0.3355,19.8,0.29,-0.786,-170.5,-172.2,5.51
15m,5m,20,pre_ny,W4,exit3,1.0,,high,,217,0.3355,19.4,0.22,-0.792,-172.0,-171.9,5.51
15m,5m,20,pre_ny,W4,fixed2r,3.0,,mid,,508,0.7853,23.6,0.37,-0.663,-336.7,-335.6,5.59
