ts,direction,entry,stop_pts,R,mae_r,risk_usd
2019-04-08 09:15:00-04:00,short,1302.975,1.9252499999999568,1.3441760810284133,0.11946500454487644,19.252499999999568
2019-04-09 09:15:00-04:00,short,1304.855,1.5945000000000067,0.21762307933517283,0.7795547193477158,15.945000000000068
2019-04-22 09:15:00-04:00,short,1276.305,1.1137500000000224,1.2306397306396812,0.35286195286197186,11.137500000000225
2019-04-24 11:15:00-04:00,short,1274.778,1.6898571428571114,-1.177529799644958,2.1836165356328396,16.898571428571113
2019-04-25 09:45:00-04:00,short,1282.378,1.959535714285737,1.346902509705277,0.07654874514740186,19.59535714285737
2019-04-26 09:15:00-04:00,short,1282.228,1.563428571428533,-1.1918859649123479,1.4135599415205258,15.63428571428533
2019-05-01 14:30:00-04:00,short,1286.178,2.046214285714281,1.3533877892972765,0.00830802527306719,20.462142857142812
2019-05-10 09:15:00-04:00,short,1286.685,1.553357142857148,-1.1931300869084862,1.7014760656642427,15.53357142857148
2019-05-13 09:15:00-04:00,short,1296.175,2.298750000000041,-1.1305057096248432,1.396411092985309,22.98750000000041
2019-05-23 09:15:00-04:00,short,1281.418,1.608107142857266,-1.186554733826382,1.6665556221821582,16.08107142857266
2019-05-27 09:15:00-04:00,short,1285.705,0.7258928571428669,9.52895448954459,0.8816728167282932,7.258928571428669
2019-06-18 09:15:00-04:00,short,1351.525,2.563607142857133,1.3829773895598967,0.8281300065476266,25.63607142857133
2019-06-19 14:15:00-04:00,short,1353.348,2.617928571428617,1.3854055823852325,0.04965758096645375,26.17928571428617
2019-06-20 09:15:00-04:00,short,1384.348,7.797964285714353,-1.0384715791209356,1.1413235139207596,77.97964285714353
2019-07-29 14:45:00-04:00,short,1422.728,1.6202142857142934,-1.1851606930300767,1.5862099369571458,16.202142857142935
2019-09-03 09:15:00-04:00,short,1537.045,2.9194285714285035,-1.1027598355842292,2.7070366020748398,29.194285714285037
