feature,label,quintile,rule,is_hit,is_n,oos_hit,oos_n
on_atr_ratio+atr_pctile,L2_mid,topA_bottomB,predict_up,0.549,71,0.617,47
on_atr_ratio+atr_pctile,L2_mid,topA_bottomB,predict_down,0.451,71,0.383,47
on_atr_ratio+atr_pctile,L2_mid,topA_topB,predict_up,0.538,91,0.421,38
on_atr_ratio+atr_pctile,L2_mid,topA_topB,predict_down,0.462,91,0.579,38
dist_pdh_pdl+pd_range_pctile,L1_first30m,bottomA_bottomB,predict_up,0.505,91,0.622,45
dist_pdh_pdl+pd_range_pctile,L1_first30m,bottomA_bottomB,predict_down,0.495,91,0.378,45
dist_pdh_pdl+pd_range_pctile,L1_first30m,bottomA_topB,predict_up,0.611,90,0.475,40
dist_pdh_pdl+pd_range_pctile,L1_first30m,bottomA_topB,predict_down,0.389,90,0.525,40
dist_pdh_pdl+pd_range_pctile,L1_first30m,topA_bottomB,predict_up,0.521,96,0.49,49
dist_pdh_pdl+pd_range_pctile,L1_first30m,topA_bottomB,predict_down,0.479,96,0.51,49
dist_pdh_pdl+pd_range_pctile,L1_first30m,topA_topB,predict_up,0.447,38,0.5,22
dist_pdh_pdl+pd_range_pctile,L1_first30m,topA_topB,predict_down,0.553,38,0.5,22
dist_pdh_pdl+pd_range_pctile,L2_mid,bottomA_bottomB,predict_up,0.462,91,0.6,45
dist_pdh_pdl+pd_range_pctile,L2_mid,bottomA_bottomB,predict_down,0.538,91,0.4,45
dist_pdh_pdl+pd_range_pctile,L2_mid,bottomA_topB,predict_up,0.522,90,0.615,39
dist_pdh_pdl+pd_range_pctile,L2_mid,bottomA_topB,predict_down,0.478,90,0.385,39
dist_pdh_pdl+pd_range_pctile,L2_mid,topA_bottomB,predict_up,0.469,96,0.49,49
dist_pdh_pdl+pd_range_pctile,L2_mid,topA_bottomB,predict_down,0.531,96,0.51,49
dist_pdh_pdl+pd_range_pctile,L2_mid,topA_topB,predict_up,0.447,38,0.591,22
dist_pdh_pdl+pd_range_pctile,L2_mid,topA_topB,predict_down,0.553,38,0.409,22
gap,L3_reversal_touch,bottom20,predict_reversal,0.314,277,0.367,199
gap,L3_reversal_touch,bottom20,predict_continuation,0.686,277,0.633,199
gap,L3_reversal_touch,top20,predict_reversal,0.231,277,0.293,249
gap,L3_reversal_touch,top20,predict_continuation,0.769,277,0.707,249
on_atr_ratio,L3_reversal_touch,bottom20,predict_reversal,0.375,277,0.389,113
on_atr_ratio,L3_reversal_touch,bottom20,predict_continuation,0.625,277,0.611,113
on_atr_ratio,L3_reversal_touch,top20,predict_reversal,0.278,277,0.346,159
on_atr_ratio,L3_reversal_touch,top20,predict_continuation,0.722,277,0.654,159
pm_range,L3_reversal_touch,bottom20,predict_reversal,0.347,277,,0
pm_range,L3_reversal_touch,bottom20,predict_continuation,0.653,277,,0
pm_range,L3_reversal_touch,top20,predict_reversal,0.365,277,0.36,358
