level,model,params,verdict,n,pf,freq_tr_wk,last6_pos,last6_of,canary_pass,label,reasons,per_year_pf
ONL,break_retest_continuation,{'exit_type': 'exit3'},DEAD,5513,0.699,8.54,3,6,,,PF 0.699 < 1.15; only 3/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.394, 2015: 0.38, 2016: 0.57, 2017: 0.343, 2018: 0.546, 2019: 0.793, 2020: 0.479, 2021: 1.145, 2022: 1.18, 2023: 0.982, 2024: 0.849, 2025: 1.279, 2026: 1.297}"
ONL,failed_break_back_into_range,"{'fb_bars': 2, 'exit_type': 1.5}",DEAD,2440,0.945,3.78,2,6,,,PF 0.945 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 1.184, 2015: 0.921, 2016: 0.852, 2017: 0.917, 2018: 0.931, 2019: 0.912, 2020: 0.848, 2021: 0.847, 2022: 1.028, 2023: 1.106, 2024: 0.969, 2025: 0.789, 2026: 1.14}"
ONL,failed_break_back_into_range,"{'fb_bars': 2, 'exit_type': 'exit3'}",DEAD,2440,0.921,3.78,2,6,,,PF 0.921 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.921, 2015: 0.92, 2016: 0.849, 2017: 0.874, 2018: 0.907, 2019: 0.973, 2020: 0.809, 2021: 0.888, 2022: 1.068, 2023: 1.093, 2024: 0.933, 2025: 0.763, 2026: 1.142}"
ONL,failed_break_back_into_range,"{'fb_bars': 4, 'exit_type': 1.5}",DEAD,3565,0.979,5.523,2,6,,,PF 0.979 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 1.135, 2015: 0.923, 2016: 0.915, 2017: 0.908, 2018: 0.951, 2019: 0.979, 2020: 0.921, 2021: 0.907, 2022: 1.01, 2023: 1.371, 2024: 0.898, 2025: 0.807, 2026: 1.397}"
ONL,failed_break_back_into_range,"{'fb_bars': 4, 'exit_type': 'exit3'}",DEAD,3565,0.946,5.523,2,6,,,PF 0.946 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.949, 2015: 0.929, 2016: 0.877, 2017: 0.862, 2018: 0.891, 2019: 0.967, 2020: 0.905, 2021: 0.944, 2022: 1.069, 2023: 1.351, 2024: 0.871, 2025: 0.718, 2026: 1.287}"
PMH,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 1, 'exit_type': 1.5}",DEAD,6435,0.728,9.964,0,6,,,PF 0.728 < 1.15; only 0/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.511, 2015: 0.502, 2016: 0.634, 2017: 0.585, 2018: 0.925, 2019: 0.723, 2020: 0.787, 2021: 0.813, 2022: 0.941, 2023: 0.725, 2024: 0.827, 2025: 0.882, 2026: 0.929}"
PMH,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 1, 'exit_type': 'exit3'}",DEAD,6435,0.7,9.964,0,6,,,PF 0.700 < 1.15; only 0/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.482, 2015: 0.458, 2016: 0.581, 2017: 0.538, 2018: 0.869, 2019: 0.752, 2020: 0.792, 2021: 0.797, 2022: 0.967, 2023: 0.671, 2024: 0.759, 2025: 0.894, 2026: 0.961}"
PMH,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 3, 'exit_type': 1.5}",DEAD,8577,0.76,13.28,1,6,,,PF 0.760 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.554, 2015: 0.567, 2016: 0.645, 2017: 0.602, 2018: 1.02, 2019: 0.768, 2020: 0.792, 2021: 0.818, 2022: 1.029, 2023: 0.753, 2024: 0.839, 2025: 0.902, 2026: 0.849}"
PMH,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 3, 'exit_type': 'exit3'}",DEAD,8577,0.737,13.28,1,6,,,PF 0.737 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.536, 2015: 0.535, 2016: 0.605, 2017: 0.561, 2018: 0.926, 2019: 0.791, 2020: 0.796, 2021: 0.816, 2022: 1.044, 2023: 0.712, 2024: 0.793, 2025: 0.918, 2026: 0.876}"
PMH,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 1, 'exit_type': 1.5}",DEAD,5991,0.752,9.276,0,6,,,PF 0.752 < 1.15; only 0/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.527, 2015: 0.523, 2016: 0.688, 2017: 0.6, 2018: 0.969, 2019: 0.724, 2020: 0.794, 2021: 0.808, 2022: 0.946, 2023: 0.746, 2024: 0.828, 2025: 0.894, 2026: 0.928}"
