lane,exit_type,verdict,beats_incumbent_B_1_07,n,pf,freq_tr_wk,last6_pos,last6_of,canary_pass,label,reasons,per_year_pf
overnight,1.5,DEAD,False,570,0.622,0.909,3,6,,,PF 0.622 < 1.15; only 3/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.417, 2015: 0.379, 2016: 0.443, 2017: 0.422, 2018: 0.381, 2019: 0.683, 2020: 0.591, 2021: 1.225, 2022: 1.047, 2023: 1.19, 2024: 0.546, 2025: 0.737, 2026: 0.304}"
overnight,2.0,DEAD,False,570,0.625,0.909,2,6,,,PF 0.625 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.548, 2015: 0.41, 2016: 0.509, 2017: 0.416, 2018: 0.383, 2019: 0.773, 2020: 0.498, 2021: 1.033, 2022: 1.103, 2023: 0.82, 2024: 0.598, 2025: 0.814, 2026: 0.41}"
overnight,exit3,DEAD,False,570,0.539,0.909,2,6,,,PF 0.539 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.383, 2015: 0.312, 2016: 0.394, 2017: 0.315, 2018: 0.311, 2019: 0.663, 2020: 0.483, 2021: 1.016, 2022: 1.076, 2023: 0.91, 2024: 0.508, 2025: 0.71, 2026: 0.34}"
premarket,1.5,DEAD,False,637,0.638,1.017,2,6,,,PF 0.638 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.283, 2015: 0.397, 2016: 0.396, 2017: 0.496, 2018: 0.408, 2019: 0.619, 2020: 0.733, 2021: 0.879, 2022: 1.104, 2023: 1.036, 2024: 0.943, 2025: 0.683, 2026: 0.684}"
premarket,2.0,DEAD,False,637,0.711,1.017,2,6,,,PF 0.711 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.381, 2015: 0.448, 2016: 0.54, 2017: 0.654, 2018: 0.503, 2019: 0.875, 2020: 0.64, 2021: 0.663, 2022: 1.193, 2023: 0.995, 2024: 1.154, 2025: 0.718, 2026: 0.92}"
premarket,exit3,DEAD,False,637,0.614,1.017,1,6,,,PF 0.614 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.283, 2015: 0.354, 2016: 0.409, 2017: 0.501, 2018: 0.404, 2019: 0.714, 2020: 0.618, 2021: 0.656, 2022: 1.394, 2023: 0.906, 2024: 0.96, 2025: 0.635, 2026: 0.755}"
atr_or,1.5,DEAD,False,577,0.675,0.921,2,6,,,PF 0.675 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.159, 2015: 0.456, 2016: 0.454, 2017: 0.436, 2018: 0.5, 2019: 0.794, 2020: 0.899, 2021: 0.731, 2022: 1.313, 2023: 0.493, 2024: 0.598, 2025: 1.429, 2026: 3.131}"
atr_or,2.0,DEAD,False,577,0.747,0.921,3,6,,,PF 0.747 < 1.15; only 3/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.3, 2015: 0.461, 2016: 0.482, 2017: 0.477, 2018: 0.614, 2019: 0.88, 2020: 0.973, 2021: 1.001, 2022: 1.286, 2023: 0.552, 2024: 0.58, 2025: 1.635, 2026: 2.722}"
atr_or,exit3,DEAD,False,577,0.641,0.921,2,6,,,PF 0.641 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.173, 2015: 0.407, 2016: 0.406, 2017: 0.354, 2018: 0.507, 2019: 0.737, 2020: 0.871, 2021: 0.784, 2022: 1.177, 2023: 0.469, 2024: 0.569, 2025: 1.484, 2026: 2.637}"
