pd_tf,sig_tf,session,tick_mult,disp_min,disc,entry_style,exit_type,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts
4h,5m,24h,1,2,False,mid,exit3,1244,1.923,31.7,0.62,-0.26,-323.7,-327.6,10.29
4h,5m,24h,1,2,True,top,fixed2r,668,1.033,32.0,0.67,-0.278,-185.7,-194.1,9.29
4h,5m,24h,1,2,True,top,exit3,668,1.033,31.9,0.59,-0.292,-194.8,-200.6,9.29
4h,5m,24h,1,2,True,mid,fixed2r,663,1.025,30.6,0.63,-0.321,-212.6,-217.0,9.45
4h,5m,24h,1,2,True,mid,exit3,663,1.025,30.6,0.55,-0.324,-214.5,-215.9,9.45
4h,5m,24h,3,1,False,top,fixed2r,1537,2.376,33.8,0.77,-0.185,-284.5,-297.6,10.4
4h,5m,24h,3,1,False,top,exit3,1537,2.376,33.8,0.7,-0.196,-300.9,-309.0,10.4
4h,5m,24h,3,1,False,mid,fixed2r,1534,2.371,33.2,0.76,-0.193,-295.8,-301.1,10.36
4h,5m,24h,3,1,False,mid,exit3,1534,2.371,33.2,0.69,-0.203,-311.4,-313.5,10.36
4h,5m,24h,3,1,True,top,fixed2r,796,1.231,33.8,0.74,-0.215,-171.1,-177.3,9.27
4h,5m,24h,3,1,True,top,exit3,796,1.231,33.5,0.64,-0.245,-194.7,-198.3,9.27
4h,5m,24h,3,1,True,mid,fixed2r,792,1.224,32.6,0.71,-0.237,-187.7,-188.2,9.34
4h,5m,24h,3,1,True,mid,exit3,792,1.224,32.6,0.62,-0.258,-204.2,-202.6,9.34
4h,5m,24h,3,2,False,top,fixed2r,1136,1.756,33.1,0.76,-0.191,-217.1,-228.5,11.1
4h,5m,24h,3,2,False,top,exit3,1136,1.756,33.1,0.69,-0.196,-223.0,-231.0,11.1
4h,5m,24h,3,2,False,mid,fixed2r,1139,1.761,32.1,0.73,-0.213,-242.9,-250.3,11.05
4h,5m,24h,3,2,False,mid,exit3,1139,1.761,32.1,0.67,-0.213,-242.2,-246.2,11.05
4h,5m,24h,3,2,True,top,fixed2r,601,0.929,32.9,0.73,-0.215,-129.2,-137.9,10.4
4h,5m,24h,3,2,True,top,exit3,601,0.929,32.8,0.65,-0.237,-142.3,-148.1,10.4
4h,5m,24h,3,2,True,mid,fixed2r,596,0.921,31.5,0.7,-0.245,-145.8,-153.2,10.36
