pd_tf,sig_tf,session,tick_mult,disp_min,disc,entry_style,exit_type,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts
4h,15m,24h,3,2,True,top,exit3,289,0.447,38.4,0.88,-0.072,-20.9,-29.3,15.78
4h,15m,24h,3,2,True,mid,fixed2r,300,0.464,39.7,1.0,-0.0,-0.1,-34.9,16.55
4h,15m,24h,3,2,True,mid,exit3,300,0.464,39.7,0.88,-0.072,-21.5,-39.3,16.55
15m,1m,ny_am,1,1,False,top,fixed2r,843,1.303,32.1,0.68,-0.27,-227.3,-241.4,9.5
15m,1m,ny_am,1,1,False,top,exit3,843,1.303,31.9,0.6,-0.276,-232.8,-241.9,9.5
15m,1m,ny_am,1,1,False,mid,fixed2r,836,1.292,31.8,0.68,-0.272,-227.3,-228.9,9.71
15m,1m,ny_am,1,1,False,mid,exit3,836,1.292,31.8,0.61,-0.268,-223.8,-224.9,9.71
15m,1m,ny_am,1,1,True,top,fixed2r,437,0.676,33.0,0.68,-0.28,-122.2,-136.8,8.65
15m,1m,ny_am,1,1,True,top,exit3,437,0.676,32.7,0.59,-0.291,-127.2,-138.3,8.65
15m,1m,ny_am,1,1,True,mid,fixed2r,428,0.662,32.9,0.68,-0.277,-118.5,-127.6,9.29
15m,1m,ny_am,1,1,True,mid,exit3,428,0.662,32.9,0.6,-0.286,-122.5,-130.6,9.29
15m,1m,ny_am,1,2,False,top,fixed2r,610,0.943,33.3,0.74,-0.217,-132.4,-142.0,10.87
15m,1m,ny_am,1,2,False,top,exit3,610,0.943,33.1,0.64,-0.251,-152.9,-158.6,10.87
15m,1m,ny_am,1,2,False,mid,fixed2r,613,0.948,32.1,0.7,-0.246,-150.5,-156.3,10.9
15m,1m,ny_am,1,2,False,mid,exit3,613,0.948,32.1,0.63,-0.247,-151.5,-155.4,10.9
15m,1m,ny_am,1,2,True,top,fixed2r,319,0.493,33.5,0.7,-0.256,-81.6,-94.4,8.67
15m,1m,ny_am,1,2,True,top,exit3,319,0.493,33.2,0.59,-0.298,-95.1,-105.9,8.67
15m,1m,ny_am,1,2,True,mid,fixed2r,317,0.49,31.9,0.65,-0.302,-95.6,-111.7,9.5
15m,1m,ny_am,1,2,True,mid,exit3,317,0.49,31.9,0.57,-0.308,-97.6,-110.9,9.5
15m,1m,ny_am,3,1,False,top,fixed2r,773,1.195,32.6,0.73,-0.224,-173.0,-185.6,10.59
15m,1m,ny_am,3,1,False,top,exit3,773,1.195,32.5,0.64,-0.243,-188.0,-197.1,10.59
15m,1m,ny_am,3,1,False,mid,fixed2r,768,1.187,31.5,0.7,-0.249,-191.3,-191.5,10.66
15m,1m,ny_am,3,1,False,mid,exit3,768,1.187,31.5,0.63,-0.241,-184.8,-185.5,10.66
15m,1m,ny_am,3,1,True,top,fixed2r,393,0.608,34.1,0.75,-0.205,-80.6,-89.4,9.51
15m,1m,ny_am,3,1,True,top,exit3,393,0.608,33.8,0.66,-0.23,-90.6,-98.3,9.51
15m,1m,ny_am,3,1,True,mid,fixed2r,385,0.595,33.0,0.72,-0.233,-89.7,-96.0,10.06
15m,1m,ny_am,3,1,True,mid,exit3,385,0.595,33.0,0.65,-0.238,-91.7,-98.1,10.06
15m,1m,ny_am,3,2,False,top,fixed2r,556,0.86,33.8,0.78,-0.173,-96.3,-102.7,12.06
15m,1m,ny_am,3,2,False,top,exit3,556,0.86,33.6,0.67,-0.22,-122.3,-125.9,12.06
15m,1m,ny_am,3,2,False,mid,fixed2r,559,0.864,32.0,0.73,-0.222,-124.1,-126.5,11.58
15m,1m,ny_am,3,2,False,mid,exit3,559,0.864,32.0,0.66,-0.224,-125.1,-126.6,11.58
15m,1m,ny_am,3,2,True,top,fixed2r,287,0.444,35.2,0.79,-0.173,-49.6,-61.3,10.01
15m,1m,ny_am,3,2,True,top,exit3,287,0.444,34.8,0.66,-0.234,-67.1,-78.3,10.01
15m,1m,ny_am,3,2,True,mid,fixed2r,285,0.441,32.6,0.71,-0.245,-69.8,-84.0,10.69
15m,1m,ny_am,3,2,True,mid,exit3,285,0.441,32.6,0.63,-0.256,-72.8,-85.0,10.69
15m,1m,london,1,1,False,top,fixed2r,1458,2.254,31.1,0.46,-0.556,-811.2,-812.2,3.4
15m,1m,london,1,1,False,top,exit3,1458,2.254,30.5,0.37,-0.554,-808.2,-808.7,3.4
15m,1m,london,1,1,False,mid,fixed2r,1445,2.234,31.5,0.47,-0.539,-778.8,-779.9,3.3
15m,1m,london,1,1,False,mid,exit3,1445,2.234,31.1,0.38,-0.536,-774.8,-775.4,3.3
15m,1m,london,1,1,True,top,fixed2r,778,1.203,28.9,0.4,-0.673,-523.2,-524.0,3.12
15m,1m,london,1,1,True,top,exit3,778,1.203,28.1,0.31,-0.68,-528.7,-528.0,3.12
15m,1m,london,1,1,True,mid,fixed2r,769,1.189,29.3,0.41,-0.646,-496.7,-495.0,3.1
15m,1m,london,1,1,True,mid,exit3,769,1.189,28.9,0.32,-0.648,-498.2,-496.5,3.1
15m,1m,london,1,2,False,top,fixed2r,1103,1.705,29.6,0.44,-0.596,-657.2,-660.0,3.49
15m,1m,london,1,2,False,top,exit3,1103,1.705,29.3,0.35,-0.585,-645.7,-646.3,3.49
15m,1m,london,1,2,False,mid,fixed2r,1088,1.682,30.5,0.46,-0.566,-615.6,-616.7,3.34
15m,1m,london,1,2,False,mid,exit3,1088,1.682,30.3,0.36,-0.567,-617.1,-617.7,3.34
15m,1m,london,1,2,True,top,fixed2r,573,0.886,28.8,0.4,-0.678,-388.4,-393.9,3.18
15m,1m,london,1,2,True,top,exit3,573,0.886,28.1,0.31,-0.685,-392.4,-394.1,3.18
15m,1m,london,1,2,True,mid,fixed2r,562,0.869,29.4,0.41,-0.64,-359.5,-359.3,3.06
15m,1m,london,1,2,True,mid,exit3,562,0.869,29.4,0.32,-0.648,-364.0,-363.3,3.06
15m,1m,london,3,1,False,top,fixed2r,1104,1.707,31.5,0.53,-0.446,-492.9,-490.6,4.31
15m,1m,london,3,1,False,top,exit3,1104,1.707,31.2,0.45,-0.436,-481.4,-479.1,4.31
15m,1m,london,3,1,False,mid,fixed2r,1091,1.687,32.4,0.56,-0.41,-447.5,-445.5,4.33
15m,1m,london,3,1,False,mid,exit3,1091,1.687,32.1,0.47,-0.407,-444.5,-442.5,4.33
15m,1m,london,3,1,True,top,fixed2r,579,0.895,30.4,0.49,-0.505,-292.4,-295.0,4.09
15m,1m,london,3,1,True,top,exit3,579,0.895,30.1,0.4,-0.514,-297.4,-299.0,4.09
15m,1m,london,3,1,True,mid,fixed2r,567,0.877,30.3,0.5,-0.487,-276.1,-274.5,4.19
15m,1m,london,3,1,True,mid,exit3,567,0.877,29.8,0.41,-0.487,-276.1,-275.5,4.19
15m,1m,london,3,2,False,top,fixed2r,828,1.28,31.2,0.53,-0.452,-374.0,-377.6,4.5
15m,1m,london,3,2,False,top,exit3,828,1.28,31.0,0.44,-0.446,-369.5,-369.6,4.5
15m,1m,london,3,2,False,mid,fixed2r,808,1.249,32.2,0.56,-0.408,-329.9,-328.8,4.42
15m,1m,london,3,2,False,mid,exit3,808,1.249,32.2,0.47,-0.414,-334.9,-332.8,4.42
15m,1m,london,3,2,True,top,fixed2r,422,0.652,31.3,0.51,-0.489,-206.3,-214.0,4.29
15m,1m,london,3,2,True,top,exit3,422,0.652,31.0,0.41,-0.506,-213.3,-217.3,4.29
15m,1m,london,3,2,True,mid,fixed2r,406,0.628,31.0,0.52,-0.463,-187.8,-187.6,4.33
15m,1m,london,3,2,True,mid,exit3,406,0.628,31.0,0.42,-0.475,-192.8,-193.1,4.33
15m,1m,asia,1,1,False,top,fixed2r,2391,3.696,31.1,0.48,-0.532,-1272.1,-1270.3,3.53
15m,1m,asia,1,1,False,top,exit3,2391,3.696,30.4,0.37,-0.551,-1318.1,-1316.0,3.53
15m,1m,asia,1,1,False,mid,fixed2r,2386,3.689,31.6,0.5,-0.503,-1199.9,-1198.0,3.5
15m,1m,asia,1,1,False,mid,exit3,2386,3.689,31.3,0.39,-0.53,-1264.4,-1262.1,3.5
15m,1m,asia,1,1,True,top,fixed2r,1290,1.994,30.5,0.45,-0.581,-749.1,-752.0,3.32
15m,1m,asia,1,1,True,top,exit3,1290,1.994,29.6,0.35,-0.604,-779.6,-780.0,3.32
15m,1m,asia,1,1,True,mid,fixed2r,1294,2.0,31.2,0.48,-0.532,-687.9,-688.8,3.29
15m,1m,asia,1,1,True,mid,exit3,1294,2.0,30.8,0.37,-0.56,-724.4,-724.3,3.29
15m,1m,asia,1,2,False,top,fixed2r,1709,2.642,31.1,0.48,-0.527,-899.8,-897.6,3.73
15m,1m,asia,1,2,False,top,exit3,1709,2.642,30.7,0.38,-0.548,-936.8,-934.6,3.73
15m,1m,asia,1,2,False,mid,fixed2r,1708,2.64,32.4,0.52,-0.471,-804.0,-801.7,3.65
15m,1m,asia,1,2,False,mid,exit3,1708,2.64,32.1,0.41,-0.501,-856.0,-853.7,3.65
15m,1m,asia,1,2,True,top,fixed2r,920,1.422,30.2,0.45,-0.573,-527.4,-528.9,3.59
15m,1m,asia,1,2,True,top,exit3,920,1.422,29.7,0.35,-0.59,-542.9,-543.4,3.59
15m,1m,asia,1,2,True,mid,fixed2r,930,1.438,32.5,0.52,-0.472,-438.7,-437.0,3.47
15m,1m,asia,1,2,True,mid,exit3,930,1.438,32.4,0.41,-0.508,-472.2,-471.0,3.47
15m,1m,asia,3,1,False,top,fixed2r,1840,2.845,31.1,0.54,-0.431,-792.5,-790.3,4.26
15m,1m,asia,3,1,False,top,exit3,1840,2.845,30.9,0.45,-0.443,-815.0,-812.8,4.26
15m,1m,asia,3,1,False,mid,fixed2r,1846,2.854,31.9,0.57,-0.399,-736.7,-736.3,4.08
15m,1m,asia,3,1,False,mid,exit3,1846,2.854,31.9,0.47,-0.422,-778.2,-777.3,4.08
15m,1m,asia,3,1,True,top,fixed2r,993,1.535,32.0,0.54,-0.437,-434.2,-431.8,3.97
15m,1m,asia,3,1,True,top,exit3,993,1.535,31.6,0.44,-0.46,-457.2,-454.8,3.97
15m,1m,asia,3,1,True,mid,fixed2r,996,1.54,32.6,0.57,-0.397,-395.1,-392.7,3.85
15m,1m,asia,3,1,True,mid,exit3,996,1.54,32.6,0.47,-0.424,-422.1,-419.7,3.85
15m,1m,asia,3,2,False,top,fixed2r,1312,2.028,31.7,0.57,-0.397,-520.2,-518.1,4.52
15m,1m,asia,3,2,False,top,exit3,1312,2.028,31.5,0.47,-0.421,-551.7,-549.6,4.52
15m,1m,asia,3,2,False,mid,fixed2r,1321,2.042,33.1,0.61,-0.351,-463.1,-462.7,4.37
15m,1m,asia,3,2,False,mid,exit3,1321,2.042,33.0,0.5,-0.385,-508.1,-507.2,4.37
15m,1m,asia,3,2,True,top,fixed2r,709,1.096,32.3,0.56,-0.408,-289.2,-286.9,4.22
15m,1m,asia,3,2,True,top,exit3,709,1.096,32.0,0.46,-0.43,-304.7,-302.4,4.22
15m,1m,asia,3,2,True,mid,fixed2r,714,1.104,34.2,0.63,-0.332,-236.7,-234.3,4.05
15m,1m,asia,3,2,True,mid,exit3,714,1.104,34.2,0.52,-0.371,-264.7,-262.3,4.05
15m,1m,24h,1,1,False,top,fixed2r,9476,14.649,31.7,0.52,-0.473,-4480.7,-4481.5,4.0
15m,1m,24h,1,1,False,top,exit3,9476,14.649,31.3,0.42,-0.491,-4648.9,-4648.6,4.0
15m,1m,24h,1,1,False,mid,fixed2r,9410,14.547,31.9,0.53,-0.461,-4334.0,-4334.7,3.99
15m,1m,24h,1,1,False,mid,exit3,9410,14.547,31.6,0.43,-0.478,-4500.0,-4499.7,3.99
15m,1m,24h,1,1,True,top,fixed2r,5074,7.844,30.2,0.46,-0.558,-2828.9,-2831.7,3.62
15m,1m,24h,1,1,True,top,exit3,5074,7.844,29.6,0.36,-0.575,-2916.9,-2918.2,3.62
15m,1m,24h,1,1,True,mid,fixed2r,5032,7.779,30.4,0.47,-0.539,-2710.4,-2713.1,3.68
15m,1m,24h,1,1,True,mid,exit3,5032,7.779,30.1,0.38,-0.551,-2774.9,-2776.1,3.68
15m,1m,24h,1,2,False,top,fixed2r,6898,10.664,31.4,0.52,-0.472,-3256.4,-3255.3,4.16
15m,1m,24h,1,2,False,top,exit3,6898,10.664,31.1,0.42,-0.49,-3380.0,-3378.4,4.16
15m,1m,24h,1,2,False,mid,fixed2r,6855,10.597,31.8,0.53,-0.452,-3100.0,-3098.8,4.11
15m,1m,24h,1,2,False,mid,exit3,6855,10.597,31.6,0.43,-0.471,-3230.0,-3228.3,4.11
15m,1m,24h,1,2,True,top,fixed2r,3717,5.746,29.9,0.46,-0.558,-2075.0,-2073.4,3.78
15m,1m,24h,1,2,True,top,exit3,3717,5.746,29.4,0.36,-0.574,-2133.0,-2131.4,3.78
15m,1m,24h,1,2,True,mid,fixed2r,3689,5.703,30.3,0.48,-0.528,-1946.6,-1945.0,3.77
15m,1m,24h,1,2,True,mid,exit3,3689,5.703,30.2,0.38,-0.542,-2000.6,-1999.0,3.77
15m,1m,24h,3,1,False,top,fixed2r,7576,11.712,32.1,0.59,-0.373,-2826.6,-2826.9,4.89
15m,1m,24h,3,1,False,top,exit3,7576,11.712,32.0,0.49,-0.387,-2934.6,-2935.4,4.89
15m,1m,24h,3,1,False,mid,fixed2r,7526,11.635,32.4,0.6,-0.36,-2708.0,-2708.3,4.86
15m,1m,24h,3,1,False,mid,exit3,7526,11.635,32.3,0.51,-0.373,-2805.0,-2805.8,4.86
15m,1m,24h,3,1,True,top,fixed2r,4004,6.19,31.3,0.55,-0.427,-1709.9,-1717.1,4.51
15m,1m,24h,3,1,True,top,exit3,4004,6.19,31.0,0.45,-0.443,-1775.4,-1779.1,4.51
15m,1m,24h,3,1,True,mid,fixed2r,3980,6.153,31.4,0.56,-0.414,-1646.0,-1648.2,4.44
15m,1m,24h,3,1,True,mid,exit3,3980,6.153,31.3,0.46,-0.422,-1679.5,-1680.4,4.44
15m,1m,24h,3,2,False,top,fixed2r,5490,8.487,32.1,0.6,-0.364,-1996.2,-1994.7,5.11
15m,1m,24h,3,2,False,top,exit3,5490,8.487,31.9,0.5,-0.382,-2096.2,-2095.7,5.11
15m,1m,24h,3,2,False,mid,fixed2r,5460,8.441,32.5,0.62,-0.344,-1876.6,-1875.1,5.11
15m,1m,24h,3,2,False,mid,exit3,5460,8.441,32.4,0.52,-0.361,-1972.6,-1972.1,5.11
15m,1m,24h,3,2,True,top,fixed2r,2907,4.494,31.3,0.56,-0.418,-1216.2,-1222.8,4.7
15m,1m,24h,3,2,True,top,exit3,2907,4.494,31.1,0.46,-0.438,-1272.2,-1275.8,4.7
15m,1m,24h,3,2,True,mid,fixed2r,2884,4.458,31.6,0.57,-0.396,-1141.3,-1145.6,4.63
15m,1m,24h,3,2,True,mid,exit3,2884,4.458,31.6,0.48,-0.409,-1180.3,-1182.6,4.63
30m,5m,ny_am,1,1,False,top,fixed2r,326,0.504,29.8,0.71,-0.223,-72.7,-81.0,19.97
30m,5m,ny_am,1,1,False,top,exit3,326,0.504,29.4,0.69,-0.18,-58.7,-64.2,19.97
30m,5m,ny_am,1,1,False,mid,fixed2r,335,0.518,32.8,0.83,-0.123,-41.3,-56.0,20.2
30m,5m,ny_am,1,1,False,mid,exit3,335,0.518,32.8,0.8,-0.117,-39.3,-49.4,20.2
30m,5m,ny_am,1,1,True,top,fixed2r,152,0.235,27.6,0.6,-0.334,-50.8,-56.1,14.22
30m,5m,ny_am,1,1,True,top,exit3,152,0.235,27.0,0.57,-0.275,-41.8,-45.1,14.22
30m,5m,ny_am,1,1,True,mid,fixed2r,157,0.243,32.5,0.78,-0.173,-27.2,-36.4,13.72
30m,5m,ny_am,1,1,True,mid,exit3,157,0.243,32.5,0.71,-0.186,-29.2,-35.4,13.72
30m,5m,ny_am,1,2,False,top,fixed2r,253,0.391,30.8,0.75,-0.191,-48.3,-56.8,19.72
30m,5m,ny_am,1,2,False,top,exit3,253,0.391,30.4,0.75,-0.141,-35.8,-43.4,19.72
30m,5m,ny_am,1,2,False,mid,fixed2r,263,0.407,33.1,0.84,-0.116,-30.5,-47.2,20.56
30m,5m,ny_am,1,2,False,mid,exit3,263,0.407,33.1,0.82,-0.103,-27.1,-40.2,20.56
30m,5m,ny_am,1,2,True,top,fixed2r,115,0.178,24.3,0.51,-0.414,-47.7,-49.1,13.6
30m,5m,ny_am,1,2,True,top,exit3,115,0.178,23.5,0.51,-0.31,-35.7,-36.4,13.6
30m,5m,ny_am,1,2,True,mid,fixed2r,122,0.189,31.1,0.75,-0.195,-23.8,-32.2,13.44
30m,5m,ny_am,1,2,True,mid,exit3,122,0.189,31.1,0.69,-0.191,-23.3,-29.2,13.44
30m,5m,ny_am,3,1,False,top,fixed2r,314,0.485,30.6,0.75,-0.194,-60.8,-69.7,20.4
30m,5m,ny_am,3,1,False,top,exit3,314,0.485,30.3,0.73,-0.154,-48.3,-53.9,20.4
30m,5m,ny_am,3,1,False,mid,fixed2r,323,0.499,33.7,0.88,-0.091,-29.5,-44.2,20.85
30m,5m,ny_am,3,1,False,mid,exit3,323,0.499,33.7,0.84,-0.09,-29.0,-39.2,20.85
30m,5m,ny_am,3,1,True,top,fixed2r,145,0.224,28.3,0.63,-0.308,-44.7,-50.0,15.7
30m,5m,ny_am,3,1,True,top,exit3,145,0.224,27.6,0.6,-0.249,-36.2,-39.5,15.7
30m,5m,ny_am,3,1,True,mid,fixed2r,150,0.232,33.3,0.82,-0.142,-21.3,-30.4,15.54
30m,5m,ny_am,3,1,True,mid,exit3,150,0.232,33.3,0.75,-0.152,-22.8,-28.9,15.54
30m,5m,ny_am,3,2,False,top,fixed2r,245,0.379,31.0,0.76,-0.181,-44.3,-53.0,20.3
30m,5m,ny_am,3,2,False,top,exit3,245,0.379,30.6,0.77,-0.13,-31.8,-39.4,20.3
30m,5m,ny_am,3,2,False,mid,fixed2r,255,0.394,33.3,0.86,-0.104,-26.4,-43.1,21.5
30m,5m,ny_am,3,2,False,mid,exit3,255,0.394,33.3,0.84,-0.091,-23.1,-36.2,21.5
30m,5m,ny_am,3,2,True,top,fixed2r,110,0.17,24.5,0.53,-0.399,-43.9,-43.6,14.65
30m,5m,ny_am,3,2,True,top,exit3,110,0.17,23.6,0.52,-0.294,-32.4,-32.7,14.65
30m,5m,ny_am,3,2,True,mid,fixed2r,117,0.181,31.6,0.78,-0.172,-20.2,-26.9,16.02
30m,5m,ny_am,3,2,True,mid,exit3,117,0.181,31.6,0.73,-0.164,-19.2,-24.5,16.02
30m,5m,london,1,1,False,top,fixed2r,537,0.83,36.3,0.78,-0.178,-95.3,-109.8,7.2
30m,5m,london,1,1,False,top,exit3,537,0.83,35.9,0.68,-0.211,-113.3,-118.2,7.2
30m,5m,london,1,1,False,mid,fixed2r,537,0.83,36.1,0.77,-0.195,-104.5,-116.2,7.0
30m,5m,london,1,1,False,mid,exit3,537,0.83,36.1,0.66,-0.232,-124.5,-130.1,7.0
30m,5m,london,1,1,True,top,fixed2r,290,0.448,33.1,0.66,-0.293,-84.8,-96.3,6.6
30m,5m,london,1,1,True,top,exit3,290,0.448,32.8,0.58,-0.301,-87.3,-90.3,6.6
30m,5m,london,1,1,True,mid,fixed2r,295,0.456,34.6,0.71,-0.245,-72.2,-89.4,6.76
30m,5m,london,1,1,True,mid,exit3,295,0.456,34.6,0.62,-0.265,-78.2,-85.2,6.76
30m,5m,london,1,2,False,top,fixed2r,418,0.646,36.6,0.81,-0.15,-62.5,-78.7,7.55
30m,5m,london,1,2,False,top,exit3,418,0.646,36.4,0.72,-0.178,-74.5,-76.3,7.55
30m,5m,london,1,2,False,mid,fixed2r,418,0.646,35.6,0.77,-0.192,-80.2,-89.8,7.52
30m,5m,london,1,2,False,mid,exit3,418,0.646,35.6,0.67,-0.219,-91.7,-95.3,7.52
30m,5m,london,1,2,True,top,fixed2r,232,0.359,32.8,0.68,-0.267,-61.9,-76.0,7.56
30m,5m,london,1,2,True,top,exit3,232,0.359,32.8,0.61,-0.265,-61.4,-67.0,7.56
30m,5m,london,1,2,True,mid,fixed2r,238,0.368,34.0,0.73,-0.223,-53.0,-72.8,7.44
30m,5m,london,1,2,True,mid,exit3,238,0.368,34.0,0.64,-0.241,-57.5,-68.0,7.44
30m,5m,london,3,1,False,top,fixed2r,482,0.745,37.6,0.86,-0.106,-51.0,-72.5,8.23
30m,5m,london,3,1,False,top,exit3,482,0.745,37.1,0.77,-0.139,-67.0,-77.4,8.23
30m,5m,london,3,1,False,mid,fixed2r,479,0.741,37.6,0.85,-0.118,-56.5,-75.0,8.03
30m,5m,london,3,1,False,mid,exit3,479,0.741,37.6,0.75,-0.162,-77.5,-88.5,8.03
30m,5m,london,3,1,True,top,fixed2r,262,0.405,35.5,0.78,-0.178,-46.7,-72.6,7.8
30m,5m,london,3,1,True,top,exit3,262,0.405,35.1,0.7,-0.193,-50.7,-65.6,7.8
30m,5m,london,3,1,True,mid,fixed2r,263,0.407,36.9,0.83,-0.134,-35.4,-64.8,7.62
30m,5m,london,3,1,True,mid,exit3,263,0.407,36.9,0.73,-0.171,-44.9,-61.6,7.62
30m,5m,london,3,2,False,top,fixed2r,379,0.586,37.7,0.88,-0.088,-33.5,-53.2,8.48
30m,5m,london,3,2,False,top,exit3,379,0.586,37.5,0.81,-0.115,-43.5,-51.4,8.48
30m,5m,london,3,2,False,mid,fixed2r,375,0.58,36.8,0.83,-0.133,-49.7,-63.8,8.41
30m,5m,london,3,2,False,mid,exit3,375,0.58,36.8,0.74,-0.167,-62.7,-70.8,8.41
30m,5m,london,3,2,True,top,fixed2r,210,0.325,33.8,0.75,-0.201,-42.1,-67.9,8.53
30m,5m,london,3,2,True,top,exit3,210,0.325,33.8,0.69,-0.196,-41.1,-55.9,8.53
30m,5m,london,3,2,True,mid,fixed2r,213,0.329,35.2,0.8,-0.156,-33.3,-61.9,8.57
30m,5m,london,3,2,True,mid,exit3,213,0.329,35.2,0.71,-0.187,-39.8,-57.1,8.57
30m,5m,asia,1,1,False,top,fixed2r,639,0.988,32.9,0.67,-0.292,-186.8,-187.9,7.85
30m,5m,asia,1,1,False,top,exit3,639,0.988,32.7,0.58,-0.298,-190.3,-191.3,7.85
30m,5m,asia,1,1,False,mid,fixed2r,635,0.982,32.8,0.67,-0.292,-185.2,-183.8,7.83
30m,5m,asia,1,1,False,mid,exit3,635,0.982,32.8,0.58,-0.31,-196.7,-194.3,7.83
30m,5m,asia,1,1,True,top,fixed2r,347,0.536,31.1,0.58,-0.384,-133.4,-131.6,6.87
30m,5m,asia,1,1,True,top,exit3,347,0.536,30.8,0.51,-0.367,-127.4,-125.6,6.87
30m,5m,asia,1,1,True,mid,fixed2r,346,0.535,31.8,0.62,-0.343,-118.7,-115.3,7.2
30m,5m,asia,1,1,True,mid,exit3,346,0.535,31.8,0.54,-0.342,-118.2,-114.3,7.2
30m,5m,asia,1,2,False,top,fixed2r,450,0.696,31.1,0.63,-0.325,-146.3,-148.0,8.66
30m,5m,asia,1,2,False,top,exit3,450,0.696,31.1,0.57,-0.304,-136.8,-138.5,8.66
30m,5m,asia,1,2,False,mid,fixed2r,445,0.688,31.7,0.64,-0.322,-143.1,-139.8,8.53
30m,5m,asia,1,2,False,mid,exit3,445,0.688,31.7,0.56,-0.318,-141.6,-138.2,8.53
30m,5m,asia,1,2,True,top,fixed2r,236,0.365,30.9,0.59,-0.377,-88.9,-87.1,6.93
30m,5m,asia,1,2,True,top,exit3,236,0.365,30.9,0.53,-0.341,-80.4,-78.6,6.93
30m,5m,asia,1,2,True,mid,fixed2r,235,0.363,32.3,0.62,-0.349,-82.1,-76.8,7.46
30m,5m,asia,1,2,True,mid,exit3,235,0.363,32.3,0.55,-0.341,-80.1,-74.8,7.46
30m,5m,asia,3,1,False,top,fixed2r,567,0.877,33.0,0.71,-0.243,-137.8,-138.8,8.64
30m,5m,asia,3,1,False,top,exit3,567,0.877,32.8,0.63,-0.257,-145.8,-146.8,8.64
30m,5m,asia,3,1,False,mid,fixed2r,560,0.866,33.2,0.73,-0.22,-123.0,-126.0,8.54
30m,5m,asia,3,1,False,mid,exit3,560,0.866,33.2,0.64,-0.247,-138.5,-140.9,8.54
30m,5m,asia,3,1,True,top,fixed2r,307,0.475,31.6,0.64,-0.318,-97.5,-95.7,7.5
30m,5m,asia,3,1,True,top,exit3,307,0.475,31.3,0.56,-0.316,-97.0,-95.2,7.5
30m,5m,asia,3,1,True,mid,fixed2r,303,0.468,33.0,0.72,-0.232,-70.2,-70.2,8.15
30m,5m,asia,3,1,True,mid,exit3,303,0.468,33.0,0.63,-0.256,-77.7,-78.2,8.15
30m,5m,asia,3,2,False,top,fixed2r,391,0.604,31.2,0.67,-0.275,-107.4,-107.8,9.7
30m,5m,asia,3,2,False,top,exit3,391,0.604,31.2,0.61,-0.261,-101.9,-102.8,9.7
30m,5m,asia,3,2,False,mid,fixed2r,384,0.594,32.0,0.7,-0.247,-94.7,-95.1,9.68
30m,5m,asia,3,2,False,mid,exit3,384,0.594,32.0,0.63,-0.253,-97.2,-98.1,9.68
30m,5m,asia,3,2,True,top,fixed2r,206,0.318,31.6,0.65,-0.303,-62.4,-60.5,8.04
30m,5m,asia,3,2,True,top,exit3,206,0.318,31.6,0.59,-0.286,-58.9,-57.0,8.04
30m,5m,asia,3,2,True,mid,fixed2r,201,0.311,33.3,0.72,-0.232,-46.7,-44.7,8.53
30m,5m,asia,3,2,True,mid,exit3,201,0.311,33.3,0.64,-0.25,-50.2,-49.2,8.53
30m,5m,24h,1,1,False,top,fixed2r,2893,4.472,33.2,0.71,-0.246,-710.7,-707.3,8.6
30m,5m,24h,1,1,False,top,exit3,2893,4.472,33.1,0.63,-0.253,-732.0,-729.1,8.6
30m,5m,24h,1,1,False,mid,fixed2r,2897,4.479,33.1,0.71,-0.242,-700.6,-704.4,8.54
30m,5m,24h,1,1,False,mid,exit3,2897,4.479,33.2,0.63,-0.249,-720.0,-723.0,8.54
30m,5m,24h,1,1,True,top,fixed2r,1578,2.439,32.2,0.65,-0.31,-489.3,-485.0,7.34
30m,5m,24h,1,1,True,top,exit3,1578,2.439,32.0,0.56,-0.311,-491.3,-487.0,7.34
30m,5m,24h,1,1,True,mid,fixed2r,1585,2.45,32.1,0.66,-0.299,-473.3,-471.7,7.34
30m,5m,24h,1,1,True,mid,exit3,1585,2.45,32.1,0.58,-0.296,-469.3,-467.2,7.34
30m,5m,24h,1,2,False,top,fixed2r,2121,3.279,32.8,0.71,-0.242,-512.3,-510.8,9.19
30m,5m,24h,1,2,False,top,exit3,2121,3.279,32.7,0.64,-0.237,-502.1,-500.6,9.19
30m,5m,24h,1,2,False,mid,fixed2r,2124,3.284,32.5,0.7,-0.252,-534.4,-533.4,9.16
30m,5m,24h,1,2,False,mid,exit3,2124,3.284,32.6,0.63,-0.248,-527.1,-526.1,9.16
30m,5m,24h,1,2,True,top,fixed2r,1150,1.778,31.7,0.65,-0.298,-342.8,-338.5,7.84
30m,5m,24h,1,2,True,top,exit3,1150,1.778,31.6,0.58,-0.287,-329.8,-325.5,7.84
30m,5m,24h,1,2,True,mid,fixed2r,1157,1.789,31.7,0.66,-0.295,-341.3,-339.7,7.85
30m,5m,24h,1,2,True,mid,exit3,1157,1.789,31.7,0.59,-0.283,-327.8,-326.0,7.85
30m,5m,24h,3,1,False,top,fixed2r,2651,4.098,33.6,0.75,-0.205,-543.3,-546.3,9.4
30m,5m,24h,3,1,False,top,exit3,2651,4.098,33.5,0.67,-0.215,-571.0,-575.0,9.4
30m,5m,24h,3,1,False,mid,fixed2r,2652,4.1,33.7,0.76,-0.191,-505.7,-510.7,9.39
